Date,Palladium spot price (EUR Hedged)
1990-04,10000
1990-05,10196.581196581197
1990-06,9764.957264957266
1990-07,9978.632478632479
1990-08,9551.28205128205
1990-09,8205.128205128205
1990-10,8269.23076923077
1990-11,7927.350427350428
1990-12,6987.179487179487
1991-01,7136.752136752137
1991-02,7316.239316239316
1991-03,7799.145299145299
1991-04,8525.641025641025
1991-05,8376.068376068377
1991-06,8269.23076923077
1991-07,7534.188034188034
1991-08,6901.709401709401
1991-09,7038.461538461538
1991-10,7393.1623931623935
1991-11,7158.119658119658
1991-12,6816.239316239316
1992-01,7393.1623931623935
1992-02,7170.940170940171
1992-03,7316.239316239316
1992-04,7038.461538461538
1992-05,6880.34188034188
1992-06,7000
1992-07,7811.965811965812
1992-08,7393.1623931623935
1992-09,8183.760683760684
1992-10,8021.3675213675215
1992-11,8132.478632478633
1992-12,9081.196581196582
1993-01,9602.564102564103
1993-02,8559.82905982906
1993-03,9615.384615384615
1993-04,10200.854700854701
1993-05,10470.08547008547
1993-06,11794.871794871795
1993-07,12136.752136752137
1993-08,10747.863247863248
1993-09,10705.128205128205
1993-10,11111.111111111111
1993-11,10555.555555555555
1993-12,10534.188034188035
1994-01,10641.02564102564
1994-02,11602.564102564103
1994-03,11410.25641025641
1994-04,11688.034188034188
1994-05,11495.726495726496
1994-06,12072.649572649572
1994-07,12820.51282051282
1994-08,12982.905982905982
1994-09,12991.452991452992
1994-10,13581.196581196582
1994-11,13213.675213675213
1994-12,13397.435897435897
1995-01,13418.803418803418
1995-02,13183.760683760684
1995-03,14914.529914529914
1995-04,13931.623931623932
1995-05,13645.299145299145
1995-06,13589.74358974359
1995-07,13076.923076923076
1995-08,12435.897435897436
1995-09,12158.119658119658
1995-10,11666.666666666666
1995-11,11294.871794871795
1995-12,10897.435897435897
1996-01,10918.803418803418
1996-02,11752.136752136752
1996-03,11880.34188034188
1996-04,11004.273504273504
1996-05,11239.31623931624
1996-06,11311.965811965812
1996-07,11111.111111111111
1996-08,10726.495726495727
1996-09,10149.57264957265
1996-10,9957.264957264957
1996-11,9786.324786324787
1996-12,9957.264957264957
1997-01,10568.376068376068
1997-02,13034.188034188035
1997-03,12521.367521367521
1997-04,13333.333333333334
1997-05,15555.555555555555
1997-06,16410.25641025641
1997-07,18034.188034188035
1997-08,16324.786324786324
1997-09,16581.196581196582
1997-10,17692.30769230769
1997-11,17478.63247863248
1997-12,17435.897435897437
1998-01,20085.470085470086
1998-02,19914.529914529914
1998-03,22735.042735042734
1998-04,31196.581196581195
1998-05,24358.97435897436
1998-06,25384.615384615383
1998-07,26282.05128205128
1998-08,23290.59829059829
1998-09,23931.62393162393
1998-10,23504.273504273504
1998-11,23418.803418803418
1998-12,28119.65811965812
1999-01,28632.478632478633
1999-02,30000
1999-03,30940.17094017094
1999-04,25213.675213675215
1999-05,28888.88888888889
1999-06,27435.897435897437
1999-07,28803.418803418805
1999-08,29145.299145299145
1999-09,32222.222222222223
1999-10,33760.68376068376
1999-11,33675.21367521367
1999-12,37948.717948717946
2000-01,41367.52136752137
2000-02,61709.40170940171
2000-03,48974.35897435898
2000-04,51282.05128205128
2000-05,48547.00854700855
2000-06,54529.91452991453
2000-07,70256.41025641025
2000-08,61196.581196581195
2000-09,60854.70085470085
2000-10,64786.32478632479
2000-11,69316.23931623931
2000-12,81538.46153846153
2001-01,89743.58974358975
2001-02,71709.4017094017
2001-03,63076.92307692308
2001-04,58290.59829059829
2001-05,55128.205128205125
2001-06,51452.99145299145
2001-07,39059.82905982906
2001-08,38717.94871794872
2001-09,30769.23076923077
2001-10,27350.42735042735
2001-11,29658.119658119656
2001-12,37606.83760683761
2002-01,31623.931623931625
2002-02,32222.222222222223
2002-03,32991.45299145299
2002-04,30769.23076923077
2002-05,29743.589743589742
2002-06,27435.897435897437
2002-07,27521.36752136752
2002-08,28205.128205128207
2002-09,27179.48717948718
2002-10,26581.196581196582
2002-11,22393.162393162394
2002-12,19914.529914529914
2003-01,21880.34188034188
2003-02,20854.700854700855
2003-03,15384.615384615385
2003-04,13162.393162393162
2003-05,15641.02564102564
2003-06,15299.145299145299
2003-07,15213.675213675213
2003-08,17222.222222222223
2003-09,17863.247863247863
2003-10,17350.42735042735
2003-11,16068.376068376068
2003-12,16495.726495726496
2004-01,19658.119658119656
2004-02,19572.649572649574
2004-03,24358.97435897436
2004-04,21538.46153846154
2004-05,21025.641025641027
2004-06,18547.008547008547
2004-07,18461.53846153846
2004-08,18269.23076923077
2004-09,18547.008547008547
2004-10,18205.128205128207
2004-11,17948.71794871795
2004-12,15726.495726495727
2005-01,16153.846153846154
2005-02,15555.555555555555
2005-03,16965.811965811965
2005-04,16752.136752136754
2005-05,15811.965811965812
2005-06,15641.02564102564
2005-07,16410.25641025641
2005-08,15555.555555555555
2005-09,16581.196581196582
2005-10,19401.709401709402
2005-11,22051.28205128205
2005-12,21623.931623931625
2006-01,24786.324786324785
2006-02,24444.444444444445
2006-03,28376.068376068375
2006-04,30940.17094017094
2006-05,30341.880341880344
2006-06,26666.666666666668
2006-07,26452.991452991453
2006-08,29145.299145299145
2006-09,26923.076923076922
2006-10,27008.547008547008
2006-11,27948.71794871795
2006-12,27692.30769230769
2007-01,28290.59829059829
2007-02,29572.649572649574
2007-03,30064.102564102563
2007-04,31709.40170940171
2007-05,31367.521367521367
2007-06,31196.581196581195
2007-07,31196.581196581195
2007-08,28205.128205128207
2007-09,29380.34188034188
2007-10,31623.931623931625
2007-11,29829.05982905983
2007-12,31196.581196581195
2008-01,33162.393162393164
2008-02,48547.00854700855
2008-03,38034.18803418803
2008-04,35897.4358974359
2008-05,36752.13675213675
2008-06,39914.529914529914
2008-07,32649.57264957265
2008-08,25811.965811965812
2008-09,17008.547008547008
2008-10,16923.076923076922
2008-11,15982.905982905982
2008-12,15683.760683760684
2009-01,16752.136752136754
2009-02,16666.666666666668
2009-03,18376.068376068375
2009-04,18632.478632478633
2009-05,20170.94017094017
2009-06,21282.05128205128
2009-07,21880.34188034188
2009-08,24700.8547008547
2009-09,25128.20512820513
2009-10,27692.30769230769
2009-11,30811.965811965812
2009-12,34358.97435897436
2010-01,35811.96581196581
2010-02,36752.13675213675
2010-03,40940.17094017094
2010-04,47179.48717948718
2010-05,40256.41025641026
2010-06,38119.65811965812
2010-07,41623.931623931625
2010-08,42222.22222222222
2010-09,48974.35897435898
2010-10,54700.8547008547
2010-11,60000
2010-12,67606.83760683761
2011-01,68888.88888888889
2011-02,67521.36752136752
2011-03,65470.08547008547
2011-04,66410.2564102564
2011-05,66410.2564102564
2011-06,65042.73504273504
2011-07,70427.35042735042
2011-08,66923.07692307692
2011-09,52478.63247863248
2011-10,55811.96581196581
2011-11,52991.45299145299
2011-12,54358.97435897436
2012-01,59145.29914529915
2012-02,61709.40170940171
2012-03,55641.02564102564
2012-04,58034.18803418803
2012-05,52222.22222222222
2012-06,49401.7094017094
2012-07,50512.820512820515
2012-08,53247.86324786325
2012-09,54871.794871794875
2012-10,51794.8717948718
2012-11,58547.00854700855
2012-12,59743.58974358974
2013-01,63162.393162393164
2013-02,63589.743589743586
2013-03,65811.96581196581
2013-04,59743.58974358974
2013-05,63589.743589743586
2013-06,54957.26495726496
2013-07,62649.57264957265
2013-08,62136.75213675214
2013-09,62051.282051282054
2013-10,63418.80341880342
2013-11,61880.34188034188
2013-12,60769.230769230766
2014-01,60427.35042735043
2014-02,63760.68376068376
2014-03,66495.7264957265
2014-04,68632.47863247863
2014-05,71452.99145299145
2014-06,72136.75213675214
2014-07,75213.67521367522
2014-08,76752.13675213675
2014-09,66239.31623931623
2014-10,67008.54700854702
2014-11,69145.29914529914
2014-12,68205.1282051282
2015-01,66239.31623931623
2015-02,69059.82905982906
2015-03,62307.692307692305
2015-04,66581.19658119658
2015-05,66923.07692307692
2015-06,57863.24786324786
2015-07,52136.75213675214
2015-08,48974.35897435898
2015-09,56495.72649572649
2015-10,57863.24786324786
2015-11,45982.905982905984
2015-12,46752.13675213675
2016-01,42820.51282051282
2016-02,42222.22222222222
2016-03,48632.47863247863
2016-04,53675.21367521367
2016-05,46153.846153846156
2016-06,50341.88034188034
2016-07,60427.35042735043
2016-08,57606.83760683761
2016-09,61709.40170940171
2016-10,52307.692307692305
2016-11,65811.96581196581
2016-12,57777.77777777778
2017-01,64615.38461538462
2017-02,66752.13675213675
2017-03,68205.1282051282
2017-04,70427.35042735042
2017-05,69572.64957264958
2017-06,71880.34188034188
2017-07,76410.2564102564
2017-08,79914.52991452992
2017-09,79914.52991452992
2017-10,83504.2735042735
2017-11,86324.78632478633
2017-12,90256.41025641025
2018-01,89829.05982905983
2018-02,88974.35897435897
2018-03,82905.9829059829
2018-04,82307.69230769231
2018-05,84273.50427350428
2018-06,81452.99145299145
2018-07,79316.23931623931
2018-08,83675.21367521367
2018-09,93504.2735042735
2018-10,92478.63247863248
2018-11,102991.45299145298
2018-12,107948.71794871795
2019-01,117948.71794871795
2019-02,131965.81196581197
2019-03,118803.4188034188
2019-04,116752.13675213675
2019-05,117094.0170940171
2019-06,130256.41025641025
2019-07,131025.64102564103
2019-08,131794.87179487178
2019-09,143076.92307692306
2019-10,153333.33333333334
2019-11,156581.1965811966
2019-12,164102.5641025641
2020-01,196153.84615384616
2020-02,232393.1623931624
2020-03,197179.4871794872
2020-04,169743.58974358975
2020-05,164102.5641025641
2020-06,162820.5128205128
2020-07,176495.7264957265
2020-08,185982.90598290597
2020-09,199572.64957264956
2020-10,190427.35042735044
2020-11,205128.20512820513
2020-12,202564.10256410256
2021-01,198888.88888888888
2021-02,201880.34188034188
2021-03,224358.97435897434
2021-04,254786.32478632478
2021-05,240769.23076923078
2021-06,231367.52136752137
2021-07,227179.4871794872
2021-08,212991.452991453
2021-09,162307.6923076923
2021-10,168547.00854700856
2021-11,151025.64102564103
2021-12,164786.32478632478
2022-01,208974.35897435897
2022-02,214444.44444444444
2022-03,193076.92307692306
2022-04,197606.8376068376
2022-05,173675.2136752137
2022-06,161367.52136752137
2022-07,178888.88888888888
2022-08,177777.77777777778
2022-09,189230.76923076922
2022-10,157179.4871794872
2022-11,163076.92307692306
2022-12,152820.5128205128
2023-01,138290.59829059828
2023-02,120769.23076923077
2023-03,127350.42735042734
2023-04,127948.71794871795
