Date,MSCI ACWI
1987-12,10000
1988-01,10362.212139605464
1988-02,11282.110059171597
1988-03,11476.420852926867
1988-04,11556.986830015314
1988-05,11443.912967032968
1988-06,11860.614285714286
1988-07,12692.719556541022
1988-08,12268.07996735286
1988-09,12705.951237958045
1988-10,13206.140200210748
1988-11,13111.622940035424
1988-12,13247.062765957447
1989-01,14271.517099719102
1989-02,14363.729488091007
1989-03,14380.523217321284
1989-04,14824.704615384617
1989-05,15097.170723468142
1989-06,15156.392567825755
1989-07,16134.110132480584
1989-08,15999.009408053438
1989-09,16736.539218087608
1989-10,15588.74137805984
1989-11,15970.501447721183
1989-12,15816.957840616966
1990-01,14648.831209449343
1990-02,13848.459492735783
1990-03,13221.54347281383
1990-04,12888.758410290236
1990-05,14003.356298158813
1990-06,14003.615335619794
1990-07,13718.972344975053
1990-08,11882.573531193217
1990-09,10658.782997118155
1990-10,11298.613515901061
1990-11,10889.580588829558
1990-12,11256.10995911215
1991-01,11701.476679841897
1991-02,12589.058648240123
1991-03,13320.208712002508
1991-04,14148.504439676513
1991-05,14680.777571500252
1991-06,14299.854233171407
1991-07,15000.589941804918
1991-08,14640.996177370032
1991-09,14599.65963984801
1991-10,14834.15830721003
1991-11,13664.873024696259
1991-12,14213.518422266647
1992-01,14099.681533101044
1992-02,14193.2896011396
1992-03,13924.026879011944
1992-04,13983.490232707947
1992-05,14241.92158597267
1992-06,13341.067346938777
1992-07,12747.021001096091
1992-08,12704.204986110122
1992-09,12886.939833843464
1992-10,13094.690390162441
1992-11,14184.781931413783
1992-12,14309.69796314258
1993-01,14640.787490729293
1993-02,15358.471875000003
1993-03,16320.996452215244
1993-04,16481.739034188737
1993-05,16910.515640667385
1993-06,17291.088377601085
1993-07,18398.230914381445
1993-08,19417.903100844072
1993-09,18333.239570002563
1993-10,19097.764143288732
1993-11,18591.24064882113
1993-12,19588.08257287144
1994-01,21170.337446120688
1994-02,20784.073316039005
1994-03,19439.825282523
1994-04,20026.383605693198
1994-05,19711.498710453918
1994-06,19297.24298037889
1994-07,19116.460032786887
1994-08,19820.13485967504
1994-09,19147.316171456405
1994-10,19262.73741041567
1994-11,18700.18632616777
1994-12,19149.219099455717
1995-01,18376.155359883673
1995-02,18369.127133269416
1995-03,18464.034249731223
1995-04,18769.496339258814
1995-05,19269.910738871044
1995-06,19113.356386529125
1995-07,19805.27922632881
1995-08,19958.17380088052
1995-09,20770.35855432997
1995-10,20105.485991528687
1995-11,20782.756934475572
1995-12,21747.61778126225
1996-01,22500.964846849707
1996-02,22724.483415802075
1996-03,23059.588674429735
1996-04,23824.066071428573
1996-05,24137.996922575916
1996-06,24082.159722110024
1996-07,22830.45350835322
1996-08,22902.493054789124
1996-09,23954.05419847328
1996-10,24124.65872218234
1996-11,25088.199023622048
1996-12,25272.049400402415
1997-01,26394.93005952381
1997-02,27920.45983953067
1997-03,27679.5482283121
1997-04,28724.0025974026
1997-05,30344.692730294813
1997-06,32255.83407643312
1997-07,34652.37725040916
1997-08,33140.15501730104
1997-09,33992.02500682997
1997-10,31387.780847639486
1997-11,31212.128785357738
1997-12,32475.109973918516
1998-01,33953.44471432514
1998-02,36196.27155053704
1998-03,37879.80088454805
1998-04,37975.89658643726
1998-05,36687.93287671234
1998-06,37620.14901960785
1998-07,37721.470373066426
1998-08,32304.337544177615
1998-09,31409.90638444924
1998-10,33012.210866128626
1998-11,36029.613628970124
1998-12,37462.341374617215
1999-01,39477.1675509487
1999-02,39763.39762207298
1999-03,42619.548426736175
1999-04,45069.23248089081
1999-05,44062.93198163733
1999-06,46829.9692680093
1999-07,45042.394595100064
1999-08,45503.176014376244
1999-09,44624.304303797464
1999-10,47835.21903759687
1999-11,51060.52548281668
1999-12,55595.095819231545
2000-01,53965.93034419364
2000-02,54578.418900555895
2000-03,59146.62131267664
2000-04,59403.7398789213
2000-05,56506.237729764594
2000-06,56874.80399748849
2000-07,57073.7429406037
2000-08,61074.80238041771
2000-09,58648.87180832858
2000-10,59878.812189616256
2000-11,54442.217549516354
2000-12,51657.55815153143
2001-01,53032.01121274078
2001-02,48806.29191176471
2001-03,47664.976019021735
2001-04,50883.307908968
2001-05,52665.70924528302
2001-06,51052.1750235849
2001-07,48669.26412335809
2001-08,44389.31452282158
2001-09,40453.858219253096
2001-10,41720.134439283334
2001-11,45002.61847606203
2001-12,45862.529853625325
2002-01,45514.842514762066
2002-02,45107.39244018032
2002-03,46749.88679504814
2002-04,43842.00812611012
2002-05,42131.33595397891
2002-06,37228.25828571428
2002-07,34775.540938362465
2002-08,34688.14908979966
2002-09,30798.886308316432
2002-10,33053.44361313868
2002-11,34640.24533091568
2002-12,31227.15676551922
2003-01,29393.641531065092
2003-02,28969.585475792992
2003-03,28560.757448370812
2003-04,30451.678770999904
2003-05,30340.27166300119
2003-06,31991.90769230769
2003-07,33016.788178123345
2003-08,35010.017626063884
2003-09,33041.361997940265
2003-10,35136.2448631905
2003-11,34568.0819909955
2003-12,34908.90940617578
2004-01,36212.470058139545
2004-02,36779.750781124174
2004-03,37164.49986910995
2004-04,37153.31756926425
2004-05,36695.77009345794
2004-06,37569.83531057178
2004-07,36728.55295290307
2004-08,36747.27451077533
2004-09,36620.42514304134
2004-10,36557.8103478056
2004-11,36947.30053403536
2004-12,37468.6974524631
2005-01,38330.9900575374
2005-02,39012.34786150713
2005-03,39031.011169392164
2005-04,38216.79884232461
2005-05,40936.83420647149
2005-06,42186.418392325504
2005-07,43753.98055073183
2005-08,43726.94579439252
2005-09,45638.46576980568
2005-10,44487.919238126924
2005-11,47126.33882232984
2005-12,48182.38169026024
2006-01,49225.50103977555
2006-02,50179.42368
2006-03,50286.79109385328
2006-04,50190.5664034458
2006-05,47013.03212620454
2006-06,47585.03206166915
2006-07,47718.87130884311
2006-08,48659.95214380204
2006-09,49983.200047393366
2006-10,51720.633601134214
