Date,Silver spot price
1978-12,10000
1979-01,11301.899950335792
1979-02,13012.162174565541
1979-03,12609.978610366674
1979-04,13090.21305013604
1979-05,15174.994605020218
1979-06,14595.639733946584
1979-07,14975.714234717914
1979-08,17068.133703248233
1979-09,26587.34982599882
1979-10,27279.02055449605
1979-11,31100.094214078992
1979-12,51530.22208753204
1980-01,55907.710612440795
1980-02,56815.45260771275
1980-03,22731.748255874303
1980-04,23585.890168490187
1980-05,22348.04583444502
1980-06,26925.87538835439
1980-07,25054.9397646863
1980-08,26008.60175227412
1980-09,33125.59851355884
1980-10,31269.151899406534
1980-11,31591.731212291576
1980-12,27421.619074153074
1981-01,23336.340651010836
1981-02,23752.62862404721
1981-03,23390.94228419143
1981-04,21550.54796505122
1981-05,21876.690978035138
1981-06,17812.363548108875
1981-07,18821.011310071524
1981-08,20796.22404116133
1981-09,19411.27264397308
1981-10,19195.75193117794
1981-11,17212.948127162577
1981-12,17214.789308026433
1982-01,17749.459685590173
1982-02,17367.762125607052
1982-03,15926.731783923919
1982-04,16173.966979367906
1982-05,14065.309483943662
1982-06,13417.278444473926
1982-07,15871.08770875709
1982-08,18605.14189394359
1982-09,19905.933587197862
1982-10,24266.512819919615
1982-11,23849.935063343866
1982-12,26058.538356164237
1983-01,32899.53577506307
1983-02,28366.377456327336
1983-03,25587.178655466494
1983-04,29559.67040894533
1983-05,33696.686393706856
1983-06,29739.21395059004
1983-07,31566.426381655798
1983-08,32176.26739073964
1983-09,30184.820374521532
1983-10,23086.253539862213
1983-11,26606.96454985214
1983-12,24780.02371638475
1984-01,23972.61623105803
1984-02,26574.403422679574
1984-03,25655.875055622382
1984-04,24249.49039846225
1984-05,25594.335908237248
1984-06,23548.39025139196
1984-07,20705.386018445308
1984-08,21926.60117296428
1984-09,22933.54395000454
1984-10,22598.5413814248
1984-11,21568.759808709103
1984-12,19996.887024982974
1985-01,20623.6085678476
1985-02,19315.93809963002
1985-03,22563.253140076085
1985-04,19938.695195521042
1985-05,19327.130798937957
1985-06,19070.250983340273
1985-07,18810.06366088369
1985-08,17913.969653286335
1985-09,17643.632685016382
1985-10,16810.152149848167
1985-11,16500.21897321374
1985-12,15195.812480165487
1986-01,15661.402837432684
1986-02,13972.006040939059
1986-03,13470.796656147928
1986-04,12313.750855040344
1986-05,12330.576928554534
1986-06,12001.25424160198
1986-07,11651.09144747548
1986-08,11583.097747501768
1986-09,12272.296258459372
1986-10,12329.114273262845
1986-11,11959.575537677181
1986-12,11569.991480073502
1987-01,11429.231574975522
1987-02,11063.166410928106
1987-03,12737.479670750534
1987-04,16202.49925539576
1987-05,15141.593140631392
1987-06,14325.921183958566
1987-07,16932.338239648772
1987-08,15480.376161912503
1987-09,15270.604330384747
1987-10,13648.388821416258
1987-11,13522.516356146853
1987-12,12115.36530630229
1988-01,11966.363872918708
1988-02,11538.984854783404
1988-03,12522.424150466071
1988-04,11915.91218435966
1988-05,12289.34382895519
1988-06,12843.493399579016
1988-07,13795.971306635203
1988-08,13398.859410581148
1988-09,12705.095055574147
1988-10,12670.803224891311
1988-11,11708.526356621689
1988-12,11684.681965030533
1989-01,11742.682213376776
1989-02,11909.117059364391
1989-03,11800.741780613163
1989-04,11605.1978220179
1989-05,11204.57679345898
1989-06,11306.355345134218
1989-07,10755.087208475226
1989-08,10758.309453746178
1989-09,11378.207362314799
1989-10,10852.633642631568
1989-11,11378.186178580509
1989-12,10226.096835881612
1990-01,9903.847182009864
1990-02,9613.369540843281
1990-03,9487.7591837905
1990-04,9309.918583112141
1990-05,9406.75920433079
1990-06,9040.88670219315
1990-07,8795.265908040477
1990-08,8365.077920796293
1990-09,8318.316878336713
1990-10,7111.370876255837
