Date,MSCI Emerging Markets Latin America
1987-12,10000
1988-01,11945.250682852808
1988-02,12707.348964497041
1988-03,14846.85386735852
1988-04,15380.214395099541
1988-05,16563.50402930403
1988-06,16922.214285714286
1988-07,16535.83194678492
1988-08,17750.600181372993
1988-09,20095.21734041595
1988-10,18796.323603793466
1988-11,18035.338416125494
1988-12,19237.627051671738
1989-01,17987.518820224723
1989-02,21606.15394596516
1989-03,26040.27227341863
1989-04,33648.027692307696
1989-05,35474.658421694665
1989-06,27086.90966755827
1989-07,27784.692444038377
1989-08,28670.737687882724
1989-09,32571.26487046631
1989-10,32885.9448413418
1989-11,26955.73399463807
1989-12,30407.984884318765
1990-01,30058.986508068545
1990-02,32065.732479684808
1990-03,22579.246755199198
1990-04,27269.43260224274
1990-05,28421.362284045743
1990-06,28113.76565409113
1990-07,31080.41667854598
1990-08,26478.26506662629
1990-09,24444.79106628242
1990-10,23050.233524734984
1990-11,23344.703319382308
1990-12,23882.115201518693
1991-01,27094.305401844533
1991-02,30130.965579788382
1991-03,36696.302585396435
1991-04,41661.712988942076
1991-05,50910.28645258404
1991-06,51878.43627689104
1991-07,58433.276956483984
1991-08,61037.921253822635
1991-09,58378.67396332397
1991-10,62354.30219435737
1991-11,56568.79610894942
1991-12,62786.15914193449
1992-01,72963.36571428571
1992-02,80974.08361823362
1992-03,88049.91887543676
1992-04,86874.56516627748
1992-05,86314.65204960114
1992-06,67588.02944606415
1992-07,66275.52149068324
1992-08,59929.61079848993
1992-09,59851.52033231307
1992-10,66282.40889631092
1992-11,70108.11352313167
1992-12,74856.40824442288
1993-01,75215.75139678615
1993-02,76721.92875
1993-03,82401.36156849432
1993-04,75638.17750266459
1993-05,77720.95744226186
1993-06,85028.73603451194
1993-07,91132.34284454634
1993-08,99725.66244335851
1993-09,97437.63532121835
1993-10,102487.89721191194
1993-11,112135.95247296579
1993-12,126296.49430318065
1994-01,149075.9603987069
1994-02,144204.43613918958
1994-03,131640.17724047307
1994-04,121946.6713758566
1994-05,126374.53633081156
1994-06,116359.65152232748
1994-07,123461.96636065576
1994-08,143707.94534711968
1994-09,148266.50092547495
1994-10,138248.12408026756
1994-11,136302.11002101182
1994-12,118310.51712023752
1995-01,103236.66591808709
1995-02,87315.22866730584
1995-03,81027.28765166641
1995-04,90947.62258210305
1995-05,94450.96975676918
1995-06,95122.58660497573
1995-07,96923.53071444636
1995-08,101001.53632501738
1995-09,101425.23013377143
1995-10,91814.0521986908
1995-11,93665.96860384347
1995-12,98041.2673618189
1996-01,109405.58831931438
1996-02,103697.86367118916
1996-03,104931.31182006699
1996-04,111685.49464285713
1996-05,116676.2054546935
1996-06,118741.8281121254
1996-07,112329.064725537
1996-08,114443.43438707135
1996-09,118074.31703244273
1996-10,117286.64264178032
1996-11,116885.69546456692
1996-12,122999.9352917505
1997-01,138781.51056547617
1997-02,154410.56873436287
1997-03,153820.7561703613
1997-04,162392.7038961039
1997-05,173369.09871402328
1997-06,190345.7576433121
1997-07,206635.74697217674
1997-08,192162.3446366782
1997-09,205063.9412439668
1997-10,163095.0571351931
1997-11,165201.02296173046
1997-12,180931.3736487094
1998-01,164533.55059343085
1998-02,172794.53456348114
1998-03,185727.79371602324
1998-04,180243.47409169946
1998-05,154540.16815068494
1998-06,146463.15784313725
1998-07,154073.56111010007
1998-08,100217.84525600364
1998-09,105325.22736933046
1998-10,109277.749895998
1998-11,121122.86170704564
1998-12,111049.18331064987
1999-01,101099.72434996486
1999-02,111123.89526229806
1999-03,137149.71107801155
1999-04,159053.62727186937
1999-05,156159.99330527926
1999-06,165624.90772656858
1999-07,147646.88146624278
1999-08,144836.53744443392
1999-09,145933.0707172996
1999-10,152249.90643834308
1999-11,177498.38613449538
1999-12,206479.62333266975
2000-01,202799.1222755592
2000-02,220094.79709697346
2000-03,225660.70400921177
2000-04,211679.90053935058
2000-05,196638.37207352466
2000-06,208923.5518417748
2000-07,211516.4769230769
2000-08,224816.51095890414
2000-09,214968.43304050202
2000-10,216003.3440180587
2000-11,190162.9247812068
2000-12,185983.20193444384
2001-01,213318.96149790165
2001-02,195265.2587153979
2001-03,191719.2754076087
2001-04,203034.82712933753
2001-05,218886.29554245283
2001-06,216648.71617924527
2001-07,198036.61761279267
2001-08,182743.76763485477
2001-09,154085.4201073267
2001-10,161771.77564698076
2001-11,174272.79932569116
2001-12,195607.17746510837
2002-01,199402.25064258423
2002-02,205911.34102415908
2002-03,213649.9677441541
2002-04,204092.9496447602
2002-05,180870.64391179293
2002-06,147275.18057142856
2002-07,126954.29788408463
2002-08,137852.80211532596
2002-09,112543.34129817445
2002-10,128072.6169708029
2002-11,131805.8077969175
2002-12,127472.85090111569
2003-01,119148.36057692309
2003-02,117005.48914858096
2003-03,122929.51588802204
2003-04,141272.3436169257
2003-05,137193.67897140924
2003-06,145425.43334208452
2003-07,153981.3360487719
2003-08,166075.44099935936
2003-09,160846.76199794025
2003-10,173647.56907589055
2003-11,174417.0430715358
2003-12,183803.50788598575
2004-01,188940.65058139537
2004-02,197413.81285231115
2004-03,203428.4741328534
2004-04,186297.76563153928
2004-05,181282.71028037384
2004-06,188120.05856026328
2004-07,196978.60294044352
2004-08,204696.3950458261
2004-09,215801.53422515918
2004-10,216857.4903509461
2004-11,225498.658217375
2004-12,237953.17001688565
2005-01,244284.91180667432
2005-02,271601.0194161575
2005-03,255702.64984572664
2005-04,248214.8949293818
2005-05,279868.695531587
2005-06,298980.5745947734
2005-07,318833.92170677247
2005-08,333748.8869158879
2005-09,391124.2955156951
2005-10,371132.8844215254
2005-11,409958.0967117002
2005-12,413265.13783165213
2006-01,472162.5301534907
2006-02,486281.23199999996
2006-03,465967.4502313286
2006-04,485762.50294328795
2006-05,407535.896176562
2006-06,430051.46042633516
2006-07,440897.0965927782
2006-08,442342.62169480976
2006-09,452597.29720379144
2006-10,486676.1689508506
2006-11,495238.54349999997
2006-12,531151.7941230069
2007-01,549365.8785548864
2007-02,524196.3800015139
2007-03,557142.2799969965
2007-04,575026.7790959206
2007-05,643328.4946406006
2007-06,658294.0619178083
2007-07,657969.6881155614
2007-08,638929.128858081
2007-09,694662.6550109318
2007-10,763455.4891119262
2007-11,704600.2834631801
2007-12,715991.8755247605
2008-01,664807.7166778749
2008-02,709268.839229907
2008-03,657306.7161522894
2008-04,734752.7999999999
2008-05,805297.0350270828
2008-06,731557.0872621163
2008-07,675234.4135929793
2008-08,656223.386671191
2008-09,543668.2324966791
2008-10,416980.99203574506
2008-11,390951.5292370551
2008-12,368964.89010562625
2009-01,399759.9626404494
2009-02,384009.3687598861
2009-03,404896.5266456267
2009-04,476745.71742372884
2009-05,541731.2215633423
2009-06,528379.2565445026
2009-07,575981.0271749895
2009-08,582787.6304932735
2009-09,636352.9210817456
2009-10,640121.4000000001
2009-11,683860.2154962393
2009-12,727832.501457726
2010-01,684166.4256336818
2010-02,733714.1684303611
2010-03,790863.5467171156
2010-04,797946.6045061961
2010-05,789114.6267652557
2010-06,764972.3001548366
2010-07,806444.3347405588
2010-08,810492.4922082019
2010-09,832175.9203399764
2010-10,846048.9786533881
2010-11,871280.665563933
2010-12,901521.7388863942
2011-01,840794.9930324276
2011-02,848537.5053057686
2011-03,855849.2418244526
2011-04,822442.3019515479
2011-05,827022.5122836289
2011-06,820414.7749671348
2011-07,803292.7801683029
2011-08,750301.3720276816
2011-09,662884.2366585202
2011-10,751332.4475251769
2011-11,737347.6746609033
2011-12,752751.0475770924
2012-01,832603.8122950819
2012-02,858159.30100424
2012-03,836082.3529649597
2012-04,813666.2770243682
2012-05,753292.4261549625
2012-06,770943.090595711
2012-07,800735.1072289157
2012-08,775906.334454048
2012-09,786001.1058932715
2012-10,779160.4326483493
2012-11,766802.1925458186
2012-12,803885.5830832196
2013-01,812125.1283542436
2013-02,815094.0755426916
2013-03,835938.7548613823
2013-04,816877.3630813953
2013-05,764607.6855297555
2013-06,691910.1749999999
2013-07,674893.7263728814
2013-08,655814.7993502078
2013-09,697890.7282191782
2013-10,724128.559093908
2013-11,693520.3618690765
2013-12,667919.2448118338
2014-01,617136.9656111276
2014-02,615070.4211829436
2014-03,670673.5637075718
2014-04,686119.4320288809
2014-05,698104.1709855221
2014-06,724363.9527895739
2014-07,747280.4141415651
2014-08,818474.018789809
2014-09,743471.0222522451
2014-10,746164.8735867136
2014-11,714262.597260274
2014-12,667427.1577464789
2015-01,672525.792605042
2015-02,705056.9004448398
2015-03,681671.0623292126
2015-04,721470.03841284
2015-05,685843.2241203281
2015-06,679152.2470462063
2015-07,635058.5339108233
2015-08,555811.5203566651
2015-09,513798.484370258
2015-10,554399.1108650268
2015-11,553292.471859344
2015-12,514920.3989528796
2016-01,489841.6704395604
2016-02,509901.460525349
2016-03,587075.2444268775
2016-04,621264.4593528018
2016-05,566739.6919849381
2016-06,634643.2358674112
2016-07,669062.9707369747
2016-08,672689.0043837586
2016-09,665464.0075441268
2016-10,746068.3258541933
2016-11,686545.4768970382
2016-12,699181.098055213
2017-01,737521.7121338912
2017-02,775442.7800887043
2017-03,773010.0281171079
2017-04,756460.6351509608
2017-05,719771.8345601995
2017-06,712488.9476340695
2017-07,750866.1531849577
2017-08,779238.2424862579
2017-09,792846.8417584279
2017-10,775410.3289224952
2017-11,738850.8166596337
2017-12,762964.6631701825
2018-01,831265.3043268843
2018-02,817511.2866710332
2018-03,802881.1513513515
2018-04,808766.9116317576
2018-05,718051.1705103
2018-06,698647.0080802883
2018-07,758128.3542944785
2018-08,700034.4634966955
2018-09,737751.9207843815
2018-10,780709.649814455
2018-11,761031.9908794789
2018-12,749348.88209607
2019-01,858630.5169568245
2019-02,832143.045935529
2019-03,824310.6185847798
2019-04,829333.2109645214
2019-05,817894.37094431
2019-06,850978.1641476275
2019-07,869646.0648910411
2019-08,807438.8291591156
2019-09,839857.3336210855
2019-10,856454.1224314148
2019-11,834181.9380622836
2019-12,900387.7442585009
2020-01,864035.3169381107
2020-02,765173.5582399563
2020-03,502462.6665936474
2020-04,538195.3531997058
2020-05,559887.4567887931
2020-06,586094.9044115021
2020-07,614641.4560938556
2020-08,572109.8077386934
2020-09,553660.2713358386
2020-10,547898.6208069756
2020-11,652140.790166945
2020-12,712743.175535816
2021-01,672290.775
2021-02,653078.6714132498
2021-03,706598.6045373133
2021-04,711259.5343155108
2021-05,760859.164396361
2021-06,802336.8577583306
2021-07,769412.6837271886
2021-08,779728.5946087545
2021-09,714685.7676137836
2021-10,673203.5578016315
2021-11,669739.4818621841
2021-12,712510.6974395197
2022-01,776789.8820544999
2022-02,811268.0639164213
2022-03,925652.467885776
2022-04,848754.9242504743
2022-05,903920.9435452254
2022-06,774266.3052084337
2022-07,822260.5928613454
2022-08,862080.9561
2022-09,855701.6964300368
2022-10,922864.8738349809
2022-11,886469.6527563607
2022-12,828569.707087943
2023-01,896586.4202160067
2023-02,858060.3637630661
2023-03,845477.4463448277
2023-04,860044.937583098
