Date,S&P 500 Minimum Volatility
1990-12,10000
1991-01,10132.302595718806
1991-02,10719.77648996606
1991-03,11874.074973165232
1991-04,12316.777729955296
1991-05,12798.080376004738
1991-06,12960.796205528459
1991-07,13680.911613809985
1991-08,13565.851769086294
1991-09,13073.464757330554
1991-10,13305.354376917201
1991-11,12267.52755275016
1991-12,12902.113047510229
1992-01,12640.844274184981
1992-02,13036.836123879335
1992-03,13124.12334805893
1992-04,13496.674759330028
1992-05,13320.839916365921
1992-06,12870.648119621052
1992-07,12902.195653877696
1992-08,12473.188922666424
1992-09,12893.013318310906
1992-10,13383.171608593277
1992-11,14713.88000333685
1992-12,15164.45436263012
1993-01,15811.904064185746
1993-02,16551.926685274793
1993-03,17213.67436699149
1993-04,16547.502053742286
1993-05,16832.819050555438
1993-06,17599.462352319384
1993-07,18519.817768139943
1993-08,19348.74460661408
1993-09,18494.385755637923
1993-10,19046.546995843935
1993-11,18866.12467533228
1993-12,19148.135691484207
1994-01,19861.376691875103
1994-02,19303.650187431438
1994-03,18197.98143761163
1994-04,18320.479986951395
1994-05,18498.366438567773
1994-06,17955.95426630082
1994-07,18014.070198994923
1994-08,19031.177374386876
1994-09,18456.670987278354
1994-10,18131.780604691987
1994-11,17350.552794754105
1994-12,18000.994022445815
1995-01,18064.36320193495
1995-02,18787.507850967544
1995-03,18708.823667565182
1995-04,18651.07819201307
1995-05,19475.722613286514
1995-06,19433.526094744262
1995-07,19739.020980545753
1995-08,20652.71101701978
1995-09,21504.879519148886
1995-10,20601.42986261327
1995-11,21704.63402769917
1995-12,22443.98756836312
1996-01,23371.7924663271
1996-02,23751.210494364208
1996-03,24329.79160233413
1996-04,24939.413913268705
1996-05,25663.6309440965
1996-06,25097.260425051307
1996-07,23331.536157907187
1996-08,23747.03694795285
1996-09,24973.379722410184
1996-10,25363.899179370874
1996-11,26351.912675170202
1996-12,26670.463057883804
1997-01,28128.683025746403
1997-02,29733.549237371433
1997-03,28923.514536028466
1997-04,29595.290788381455
1997-05,31648.18272144808
1997-06,33305.18833960986
1997-07,36206.231582796376
1997-08,36440.68403187551
1997-09,37582.31663928316
1997-10,35455.377124739425
1997-11,35513.70513468582
1997-12,37284.823727439885
1998-01,37608.06963083039
1998-02,40671.73209903931
1998-03,42755.479517899796
1998-04,42464.510903956136
1998-05,40914.428198046575
1998-06,41194.522344482364
1998-07,39275.70417621869
1998-08,34857.233528011784
1998-09,34879.64902329931
1998-10,35727.8136685837
1998-11,38078.586981174514
1998-12,38557.34112682215
1999-01,38326.13997665463
1999-02,38934.9095083504
1999-03,40513.00717590654
1999-04,44549.89069438966
1999-05,46338.378185068876
1999-06,48287.190209079665
1999-07,45252.77691240339
1999-08,44985.35745888091
1999-09,42407.788124138955
1999-10,43166.78032391023
1999-11,44090.62132573694
1999-12,44940.356409818334
2000-01,43685.192627133285
2000-02,41432.45775753084
2000-03,46391.90463202913
2000-04,48950.29059700817
2000-05,50019.51575890661
2000-06,47226.70330800649
2000-07,48609.962412972505
2000-08,53975.40726999678
2000-09,53905.9008577654
2000-10,57102.26812044072
2000-11,54438.985966719825
2000-12,52777.58461073808
2001-01,53082.344670336075
2001-02,52065.001409095516
2001-03,52138.744426498095
2001-04,54926.70135849484
2001-05,59287.055608986055
2001-06,58401.05711503757
2001-07,56734.7116663293
2001-08,53611.738597086296
2001-09,50185.653048664055
2001-10,51377.1096271591
2001-11,54575.468481946315
2001-12,57126.77656173832
2002-01,59132.35364497486
2002-02,59717.455321225156
2002-03,61275.32314871145
2002-04,58585.19989740322
2002-05,56103.67778960658
2002-06,49498.71031847514
2002-07,46451.67082051427
2002-08,47305.936725829546
2002-09,42899.87572533237
2002-10,44041.95227308861
2002-11,45717.997541892924
2002-12,42171.743851817584
2003-01,40253.01466384767
2003-02,39880.16542639199
2003-03,39681.916151650985
2003-04,40954.640185607896
2003-05,41388.13806079793
2003-06,43309.377358353784
2003-07,44273.852189793346
2003-08,46678.49364936416
2003-09,43633.87971373584
2003-10,45949.87397231914
2003-11,45508.38637713109
2003-12,45273.65156960425
2004-01,47473.736261376194
2004-02,48042.82631305572
2004-03,49069.77256711614
2004-04,50035.54872654241
2004-05,49925.64522430568
2004-06,51085.30648329592
2004-07,49956.817950385695
2004-08,50210.10816312566
2004-09,49962.76127387984
2004-10,49695.226800798235
2004-11,50198.604680015
2004-12,50926.53511123962
2005-01,52493.075595609465
2005-02,52847.710603505315
2005-03,53431.468287198295
2005-04,52652.757896219926
2005-05,56567.4700563594
2005-06,58381.85935014042
2005-07,60058.65516220059
2005-08,59028.66934920039
2005-09,60084.42934195701
2005-10,58770.04292289265
2005-11,61799.7821601356
2005-12,62044.291050640895
