Date,Dow Jones US Select Dividend
1992-02,10000
1992-03,10251.867604876321
1992-04,10463.906850439405
1992-05,10348.432349441955
1992-06,10055.023533551263
1992-07,9844.33945429005
1992-08,9281.858164814648
1992-09,9739.800512409398
1992-10,10163.903594309993
1992-11,11267.384170834583
1992-12,11788.741558277256
1993-01,12132.652213696982
1993-02,12804.547171394997
1993-03,13310.664153733536
1993-04,12818.773599435986
1993-05,12865.041127018463
1993-06,13322.962738937376
1993-07,14156.451079121036
1993-08,14745.356163933417
1993-09,14268.686544312233
1993-10,14540.890533159394
1993-11,14519.28793095561
1993-12,14807.854231045976
1994-01,15607.707509881422
1994-02,15037.075697864368
1994-03,14140.726895797457
1994-04,14549.484802745095
1994-05,14573.123112160849
1994-06,14140.367780716077
1994-07,14145.139820977314
1994-08,14639.552214531343
1994-09,13943.99073892498
1994-10,13804.391665585292
1994-11,13430.17001550673
1994-12,13756.818230711913
1995-01,14105.829123829453
1995-02,14703.91461887564
1995-03,14390.99327281868
1995-04,14402.291513587477
1995-05,15425.22704663296
1995-06,15356.057579503655
1995-07,15565.417447443671
1995-08,16607.073349511582
1995-09,17550.393037265887
1995-10,17061.2444928964
1995-11,18035.160124613194
1995-12,18675.990925713966
1996-01,19318.87430414234
1996-02,19780.083756071817
1996-03,20110.79947676173
1996-04,20187.575350618827
1996-05,20884.580944048077
1996-06,20750.4777243149
1996-07,19748.35893586542
1996-08,20382.095188833715
1996-09,21500.54848901513
1996-10,22568.120103623707
1996-11,23851.526563132174
1996-12,23981.28670384816
1997-01,25444.61361619746
1997-02,27603.746963670143
1997-03,26684.97788155973
1997-04,27775.55757228259
1997-05,29191.655468865036
1997-06,30644.18965138987
1997-07,34175.0663767315
1997-08,34392.51935716506
1997-09,35660.68201268131
1997-10,34133.02176457616
1997-11,34691.69164353011
1997-12,36936.75051413665
1998-01,36955.931059064416
1998-02,39625.522179376065
1998-03,41975.01095565745
1998-04,41953.02153292134
1998-05,40425.6075105735
1998-06,40657.65436609426
1998-07,39625.277124268294
1998-08,33450.54299535102
1998-09,33291.30593324414
1998-10,33487.19881644201
1998-11,36249.945920276405
1998-12,36449.594608536565
1999-01,36120.79898164104
1999-02,36715.19291003613
1999-03,38238.61356358745
1999-04,43324.56150960977
1999-05,43826.911254475206
1999-06,45401.72789861269
1999-07,42433.41569920473
1999-08,40579.63181736206
1999-09,38654.06800134373
1999-10,41150.145716922896
1999-11,41283.132384923265
1999-12,40912.69263589633
