Date,MSCI Emerging Markets Small Cap
1994-05,10000
1994-06,9919.849629371416
1994-07,9961.040315764434
1994-08,11424.113975948414
1994-09,11953.53098441339
1994-10,11732.518102896904
1994-11,11397.592610266753
1994-12,11271.050857524384
1995-01,9848.026655781223
1995-02,10001.591961305292
1995-03,9792.142766254405
1995-04,9539.680514698097
1995-05,10175.520737429772
1995-06,10165.761545579078
1995-07,10291.579179436892
1995-08,10280.077979044927
1995-09,10279.145973038716
1995-10,9706.795710196795
1995-11,9503.357743526865
1995-12,9946.817581315647
1996-01,10795.092217501224
1996-02,10903.828199790107
1996-03,10868.502231679518
1996-04,11451.193981640854
1996-05,11098.88754983777
1996-06,11144.223695248696
1996-07,10307.512067320926
1996-08,10346.138354744444
1996-09,10640.15577286239
1996-10,10455.087058094547
1996-11,10341.795418850921
1996-12,10442.65102509524
1997-01,11505.393217232499
1997-02,12781.399835278185
1997-03,12690.927172165264
1997-04,12191.703301168709
1997-05,12046.781040113454
1997-06,12363.692103111005
1997-07,12701.828276082068
1997-08,11488.295504859547
1997-09,10936.567128934228
1997-10,9112.420682758573
1997-11,7936.528409105295
1997-12,7640.562084755864
1998-01,7308.480997442618
1998-02,8332.343039489378
1998-03,8727.397467342302
1998-04,8544.294131567905
1998-05,7656.574890068114
1998-06,6746.232503622087
1998-07,6722.571369037372
1998-08,5234.165763678659
1998-09,5023.853809152112
1998-10,5264.529566671874
1998-11,6012.23207687939
1998-12,6046.513103110939
1999-01,6008.54412529363
1999-02,6079.689928413903
1999-03,6995.735618356378
1999-04,8010.217282993869
1999-05,8101.253562219845
1999-06,8839.451196110136
1999-07,8425.63045059495
1999-08,8400.947804161777
1999-09,7962.270805848776
1999-10,8192.873440003057
1999-11,8986.583762698318
1999-12,9975.603278388375
2000-01,10937.390841737919
2000-02,10898.478770830845
2000-03,10816.637119936962
2000-04,10497.256172235584
2000-05,9519.666580774694
2000-06,9145.816136818257
2000-07,9189.159630261363
2000-08,9511.694736818197
2000-09,8741.79001680799
2000-10,8258.221652100712
2000-11,7556.485658101336
2000-12,6957.1229992503395
2001-01,7680.198115757333
2001-02,7459.971464144829
2001-03,7289.441026432541
2001-04,7344.408952271569
2001-05,7816.947083106799
2001-06,7679.350621170562
2001-07,6991.847287113254
2001-08,6752.167723645845
2001-09,5889.497231541984
2001-10,6147.902277206762
2001-11,6881.698412744489
2001-12,7378.812068211333
2002-01,7941.054780920464
2002-02,7961.3205863672565
2002-03,8521.811698415506
2002-04,8348.028868453952
2002-05,7844.640086431806
2002-06,6828.270002283911
2002-07,6774.158665689625
2002-08,6733.438917210717
2002-09,5943.925849183783
2002-10,6251.4823794828935
2002-11,6616.969566635718
2002-12,6123.0574657302805
2003-01,6125.691308074847
2003-02,5972.615290644317
2003-03,5685.227811122853
2003-04,5962.099385203892
2003-05,6133.6444535432665
2003-06,6747.203886144213
2003-07,7215.893193688725
2003-08,7877.1991015538
2003-09,7458.401439685903
2003-10,8055.2913258303015
2003-11,8046.749681862623
2003-12,8174.731504010049
2004-01,8563.051705525248
2004-02,8941.411263986382
2004-03,9123.71055171978
2004-04,8761.208680495289
2004-05,8177.548734516981
2004-06,8184.028081641488
2004-07,8083.447332807347
2004-08,8351.152390162693
2004-09,8658.326954169663
2004-10,8650.56035219152
2004-11,9143.578257104415
2004-12,9476.602600192304
2005-01,9940.087389784723
2005-02,10550.781996056758
2005-03,10186.195759362516
2005-04,9882.571577205195
2005-05,10609.66956397572
2005-06,11231.985632515054
2005-07,11838.15092167692
2005-08,11731.008911507157
2005-09,12680.829321672083
2005-10,11971.85865872727
2005-11,13328.959402940112
2005-12,14171.854953597645
2006-01,14931.771764308965
2006-02,15372.741189952125
2006-03,15382.369025775139
2006-04,15903.281070424198
2006-05,14126.313794848942
2006-06,13500.052914363216
2006-07,13606.454691050772
2006-08,13943.364344003074
2006-09,14614.906101928285
2006-10,15403.471605352488
2006-11,16096.470975914259
2006-12,16831.6561271096
2007-01,17102.63913287177
2007-02,17220.628374891035
2007-03,17920.900369832063
2007-04,18806.72442749377
2007-05,20655.613674238863
2007-06,21490.790437589818
2007-07,22909.45708299683
2007-08,21773.968910542626
2007-09,22587.17915929428
2007-10,23704.39058657549
2007-11,21125.99373388939
2007-12,21469.054487021625
2008-01,18222.030472598202
2008-02,19144.330531158634
2008-03,17203.849153516196
2008-04,18394.008957633247
2008-05,18074.328918315132
2008-06,15656.53739336274
2008-07,15489.454284511132
2008-08,15230.896332826733
2008-09,12482.2758088101
2008-10,9766.575907308976
2008-11,9221.654360819013
2008-12,9516.24589092438
2009-01,9692.256505082101
2009-02,9453.74296914683
2009-03,10256.105380053828
2009-04,12583.891289018049
2009-05,14592.147819031017
2009-06,14518.05867890285
2009-07,16350.006990813046
2009-08,16377.901241849879
2009-09,17259.73737113531
2009-10,17187.439461688264
2009-11,17730.510444729585
2009-12,19703.32179173557
2010-01,19577.008053102843
2010-02,20198.57699320921
2010-03,22134.678638265872
2010-04,22967.431761201722
2010-05,22257.266691818644
2010-06,22647.636554189976
2010-07,22882.886621885413
2010-08,23579.123600859428
2010-09,24562.488212550434
2010-10,25213.882427284545
2010-11,26291.618350507866
2010-12,27079.155674715796
2011-01,25574.901889607914
2011-02,24331.61134453056
2011-03,24785.555530836926
2011-04,24767.16503581844
2011-05,24785.386639041542
2011-06,24136.816146934045
2011-07,24952.14038698484
2011-08,21897.922448689365
2011-09,19698.85618087064
2011-10,20850.52443977457
2011-11,19957.800079063687
2011-12,20425.412729743748
2012-01,22217.93355460627
2012-02,23705.251341765743
2012-03,23087.111014758444
2012-04,22897.90682012784
2012-05,22214.580256960835
2012-06,22542.554644595406
2012-07,23083.2656726137
2012-08,23011.242361722758
2012-09,23837.394939459216
2012-10,23379.66541945637
2012-11,23803.09643875011
2012-12,24556.889482043818
2013-01,24564.425353167575
2013-02,25644.136910045694
2013-03,26378.502192642136
2013-04,26369.66556363355
2013-05,26351.123033702253
2013-06,23915.03436116947
2013-07,23716.254833224157
2013-08,23005.08124830455
2013-09,24007.780093504738
2013-10,24632.722055726634
2013-11,24255.11797669158
2013-12,23810.12846980629
2014-01,23640.89139218697
2014-02,24106.776480185363
2014-03,24671.11813210266
2014-04,24659.87114663297
2014-05,25856.479069456323
2014-06,26231.010656103274
2014-07,26991.348286174576
2014-08,28050.95901370597
2014-09,28127.932416484535
2014-10,27764.855203588308
2014-11,27429.08825847729
2014-12,27408.495569062525
2015-01,29860.679320478648
2015-02,30714.16711323729
2015-03,32048.504752923724
2015-04,33536.11089998688
2015-05,34434.065255368245
2015-06,32223.49685410275
2015-07,30346.68706293359
2015-08,26826.282124097936
2015-09,26858.191793092526
2015-10,28928.548441822244
