Date,Dow Jones Industrial Average
1990-02,10000
1990-03,10495.772368451431
1990-04,10186.726272612124
1990-05,10920.671518687826
1990-06,11018.49678411024
1990-07,10794.374395281175
1990-08,9346.050601505984
1990-09,8791.706191806457
1990-10,8509.10232118817
1990-11,8809.26641682612
1990-12,9185.690398101919
1991-01,9583.912145482562
1991-02,9986.144390100793
1991-03,11001.184135580863
1991-04,11508.066385794798
1991-05,12285.770567937034
1991-06,12252.498413329922
1991-07,12779.421147353429
1991-08,12644.951014501465
1991-09,12204.711814076902
1991-10,12412.187479461223
1991-11,11326.812685755105
1991-12,12026.546391946673
1992-01,12332.675776898435
1992-02,12833.198466414286
1992-03,13069.196162003816
1992-04,13463.688691467189
1992-05,13412.391479951417
1992-06,12746.082068220867
1992-07,12427.651581991371
1992-08,11687.66317869044
1992-09,12029.95001884501
1992-10,12369.438081415523
1992-11,13572.898206994549
1992-12,13569.28625482132
1993-01,13880.85034127072
1993-02,14557.430522699944
1993-03,14935.342353190741
1993-04,14402.43465338473
1993-05,14931.074449574015
1993-06,15343.75505428399
1993-07,16111.755505995763
1993-08,16824.98709545089
1993-09,15756.702543614212
1993-10,16512.539475520352
1993-11,17049.670540362124
1993-12,17394.189200338446
1994-01,18699.748162740034
1994-02,18013.39788260717
1994-03,16767.092815497395
1994-04,17038.99330691605
1994-05,17094.700061014595
1994-06,16249.05636423933
1994-07,16367.040425884456
1994-08,17108.704302169488
1994-09,16652.402690583458
1994-10,16626.195571647273
1994-11,16214.757777044268
1994-12,17002.231673193684
1995-01,16711.110806961704
1995-02,17318.171562948137
1995-03,17287.63233730169
1995-04,17634.671459893987
1995-05,18579.248502791612
1995-06,18832.33360084968
1995-07,19248.309637206938
1995-08,19491.710881722574
1995-09,20543.762041794933
1995-10,20095.25734621616
1995-11,21571.890797181517
1995-12,22135.433942406617
1996-01,23639.421668977953
1996-02,24251.331259494247
1996-03,24724.9573259363
1996-04,24869.09251054296
1996-05,25594.2323220002
1996-06,25481.85460789251
1996-07,24561.426697168776
1996-08,24796.102653121012
1996-09,26233.942464659092
1996-10,26995.154141594376
1996-11,28902.98722780002
1996-12,29247.080012638093
1997-01,31756.10555278518
1997-02,33551.13545021469
1997-03,32541.128348696122
1997-04,34856.918411857456
1997-05,36438.99119650057
1997-06,38609.123859256266
1997-07,42552.54653043189
1997-08,40670.53823369648
1997-09,41334.629110193906
1997-10,38033.152180961406
1997-11,39263.81701713843
1997-12,40820.85611994476
1998-01,41764.06716673284
1998-02,45158.430886071
1998-03,46732.31061593323
1998-04,47827.1786128217
1998-05,46360.27799933574
1998-06,47027.95521725993
1998-07,46799.61279414831
1998-08,39660.045327372776
1998-09,39392.71748663357
1998-10,41584.44451940708
1998-11,45516.25098970758
1998-12,45608.02517359772
1999-01,48029.5459824314
1999-02,49468.50632684517
1999-03,53428.80651219765
1999-04,59730.62922125732
1999-05,59384.61205000702
1999-06,62535.28784371116
1999-07,58687.73774042091
1999-08,60470.426533182064
1999-09,57296.234831941
1999-10,60710.34114596285
1999-11,63837.8182396617
1999-12,67892.18460352774
2000-01,66313.06896187205
2000-02,61994.40754564604
2000-03,68056.10713447745
2000-04,70372.14853820868
2000-05,67500.8516996095
2000-06,65323.43576959329
2000-07,68056.3173778419
2000-08,75454.90101529547
2000-09,72902.10450938955
2000-10,78244.6572888351
2000-11,72103.15836454151
2000-12,69744.5844648412
2001-01,70549.62960610795
2001-02,68494.974595579
2001-03,67569.66843975245
2001-04,73126.77135754314
2001-05,77994.7951747893
2001-06,75114.26050003832
2001-07,72977.49538259355
2001-08,66144.2122334628
2001-09,59039.19108624267
2001-10,61225.92484421455
2001-11,67728.55431029397
2001-12,69634.10355043414
2002-01,70410.1817787338
2002-02,71778.07909353824
2002-03,73340.95388732638
2002-04,67968.72677842449
2002-05,65272.85970626696
2002-06,57270.23626587568
2002-07,55262.71807081012
2002-08,54656.80516813764
2002-09,47829.514928283235
2002-10,52994.60240810924
2002-11,55947.596237571255
2002-12,49734.466929929935
2003-01,46616.867508368305
2003-02,45954.493900518086
2003-03,46129.00545494202
2003-04,47974.97440818821
2003-05,47301.69079863342
2003-06,49754.72071428785
2003-07,51700.87034435995
2003-08,54738.43347315979
2003-09,50634.702471138546
2003-10,53747.32114648846
2003-11,52122.58660503187
2003-12,52974.47570998822
2004-01,54275.08733584919
2004-02,54743.22185190575
2004-03,54498.16203096026
2004-04,55123.94872009426
2004-05,53914.6547322928
2004-06,55487.11671903845
2004-07,54516.44881203574
2004-08,54509.77399694002
2004-09,52776.111762905595
2004-10,51230.956310613954
2004-11,51186.912263347935
2004-12,51729.36756009874
2005-01,52652.675008440456
2005-02,53283.70763508865
2005-03,53231.050119571904
2005-04,51763.40666387242
2005-05,56005.549168765036
2005-06,56144.699432102134
2005-07,58227.75879177007
2005-08,57037.06507862872
2005-09,58316.269839971894
2005-10,57773.68009810588
2005-11,61332.745633391365
2005-12,60756.20066452026
2006-01,60036.33442074403
2006-02,62171.39491178713
2006-03,61729.30675970633
2006-04,61077.995612096245
2006-05,58635.90112364472
2006-06,59324.143007241204
2006-07,59340.16643425267
2006-08,60181.74415563017
2006-09,62760.853180981874
2006-10,64815.5780588465
2006-11,63304.4043277413
2006-12,64787.88356017039
2007-01,66793.08186457385
2007-02,63841.341455399386
2007-03,63858.84361733091
2007-04,66177.96745790298
2007-05,70020.46217876644
2007-06,68712.82041311117
2007-07,66786.62514904758
2007-08,67733.82301268671
2007-09,68189.71884087923
2007-10,67176.21599912335
2007-11,63358.779778956865
2007-12,63111.55118846048
2008-01,58862.29926144679
2008-02,56899.175405349044
2008-03,54641.09849420911
2008-04,58211.212547786476
2008-05,57686.8577936387
2008-06,51052.32790886583
2008-07,51774.516806696185
2008-08,55846.52725043197
2008-09,54177.852719434864
2008-10,52308.37987645877
2008-11,49885.84675226919
2008-12,45441.50712980061
2009-01,45079.07487280474
2009-02,40555.593840503716
2009-03,41591.10080331122
2009-04,44846.830061261695
2009-05,44136.23375116943
2009-06,43844.00495921685
2009-07,47667.45390960327
2009-08,49094.20598114087
2009-09,49015.30269890235
2009-10,48564.44853966188
2009-11,51156.90475673746
2009-12,53856.7877219255
2010-01,53707.656416987076
2010-02,56904.2650963528
2010-03,60333.07600089528
2010-04,62009.80090982399
2010-05,62016.903897077405
2010-06,60067.252259370194
2010-07,60667.83352527171
2010-08,59893.81284207835
2010-09,60015.370623097944
2010-10,61007.239398777434
2010-11,64640.39136967439
2010-12,66230.64397166598
2011-01,66478.23715543591
2011-02,67876.88441563823
2011-03,66694.21936459973
2011-04,66397.30110674167
2011-05,67543.17215266371
2011-06,66488.69811819422
2011-07,66005.08333673114
2011-08,62556.54838792255
2011-09,62986.00365830891
2011-10,66653.00049237316
2011-11,70372.42409573853
2011-12,74129.03313689292
2012-01,75381.17363824038
2012-02,76020.89832850345
2012-03,78163.3673052778
2012-04,79129.01540213481
2012-05,79396.6916648203
2012-06,81386.48502067804
2012-07,84375.80558880419
2012-08,83045.81137153425
2012-09,83223.57250884263
2012-10,80844.38220078283
2012-11,80787.14171725817
2012-12,80138.66142198794
2013-01,82644.82352457159
2013-02,86796.43290539108
2013-03,92427.99799511081
2013-04,92296.18436325408
2013-05,94838.89683188357
2013-06,93122.88819709522
2013-07,95538.81451104757
2013-08,91891.80529159664
2013-09,92100.54221791279
2013-10,93807.39886634507
2013-11,97606.43734583656
2013-12,99405.04101982356
2014-01,96168.0781360383
2014-02,98183.06110238106
2014-03,99276.9026493538
2014-04,99690.34119792999
2014-05,102679.50552484495
2014-06,103058.65413352421
2014-07,103696.50759216267
2014-08,108980.8781378166
2014-09,113958.85756836562
2014-10,116967.0900663058
2014-11,120709.7772507966
2014-12,124253.1251765566
2015-01,128665.29576243716
2015-02,137189.16133340896
2015-03,140670.41193115356
2015-04,135555.98191606818
2015-05,140456.6927677661
2015-06,134867.07828947462
2015-07,138317.18989225864
2015-08,126878.15573961454
2015-09,125297.12315722898
2015-10,138360.2220876469
