Date,MSCI Europe Mid Cap
1994-05,10000
1994-06,9690.721129787804
1994-07,9811.670391166395
1994-08,10050.1820405931
1994-09,9571.869882086805
1994-10,9625.05797591885
1994-11,9377.26683909127
1994-12,9659.942014322698
1995-01,9381.05974743971
1995-02,9390.025481765217
1995-03,9231.287455300107
1995-04,9369.774081517182
1995-05,9709.660405170214
1995-06,9746.83718830785
1995-07,10086.008585935691
1995-08,9971.606650956443
1995-09,10332.529573847054
1995-10,9998.489697356797
1995-11,9863.256312520902
1995-12,10314.068663279217
1996-01,10570.194818610518
1996-02,11065.970486481965
1996-03,11228.999865238438
1996-04,11533.494970161586
1996-05,11943.42109816234
1996-06,11971.410736622964
1996-07,11633.781162108964
1996-08,11777.3329558744
1996-09,11909.447704192318
1996-10,12186.728859039249
1996-11,12406.113890231822
1996-12,13082.561291402024
1997-01,13433.058246624147
1997-02,14161.047661750885
1997-03,14534.759087747812
1997-04,14283.412230723052
1997-05,14885.848159382127
1997-06,15623.66423116916
1997-07,16195.42620527554
1997-08,16307.910138655097
1997-09,17013.22156264037
1997-10,16352.2842556829
1997-11,15974.774391838175
1997-12,16666.17527194267
1998-01,17614.11157602524
1998-02,18938.219476436712
1998-03,20780.408405061866
1998-04,21381.784118948464
1998-05,21796.51479285248
1998-06,21381.684219275532
1998-07,21887.25963489932
1998-08,19144.351168501573
1998-09,17284.216461092266
1998-10,17829.920324183146
1998-11,18989.953572491057
1998-12,19505.80288719043
1999-01,20258.86768182514
1999-02,20340.373683069618
1999-03,20765.061158001055
1999-04,21592.80080633659
1999-05,21457.657883492797
1999-06,21967.63822720675
1999-07,21838.147207201015
1999-08,22282.703487245766
1999-09,21872.589795451313
1999-10,22120.982082016544
1999-11,23730.788185541656
1999-12,26420.962255623792
2000-01,25739.82205391213
2000-02,28597.38169692494
2000-03,28481.018532939033
2000-04,27776.853217811404
2000-05,26706.282001971627
2000-06,26875.377708369837
2000-07,27737.230975860944
2000-08,28738.41061241444
2000-09,27800.471554134347
2000-10,27746.03084612736
2000-11,25757.49664282531
2000-12,25831.00373857327
2001-01,26188.96769153796
2001-02,25089.657396009974
2001-03,23764.356157746588
2001-04,24877.504701343394
2001-05,25416.86902763676
2001-06,24365.89141740323
2001-07,23554.529991770374
2001-08,22348.25233878941
2001-09,19193.397961183367
2001-10,20396.396538190354
2001-11,21811.78249224452
2001-12,22340.84061340744
2002-01,22274.305625924517
2002-02,22237.913443069487
2002-03,23454.61676934909
2002-04,22886.471533489897
2002-05,22311.358924124437
2002-06,20279.40355943478
2002-07,18498.36626232048
2002-08,18362.60506604019
2002-09,16221.284767692443
2002-10,17335.75602569733
2002-11,18130.56496000524
2002-12,16417.943522176913
2003-01,15142.795379949472
2003-02,14484.860532770334
2003-03,14207.955871480948
2003-04,15869.550742382355
2003-05,16141.261025421993
2003-06,16853.103909054225
2003-07,17625.414365225824
2003-08,18434.805755869525
2003-09,17635.25022978654
2003-10,19155.219985572097
2003-11,19286.48271251183
2003-12,19451.43561382448
2004-01,20562.458408977065
2004-02,21271.260155370757
2004-03,21055.053130951284
2004-04,21317.798415858048
2004-05,21365.804588668252
2004-06,21931.251504861393
2004-07,21399.253448492018
2004-08,21294.93391240652
2004-09,21608.199660664417
2004-10,21883.18920327065
2004-11,22792.405939887834
2004-12,23316.05415687715
2005-01,24210.63919778584
2005-02,24971.1230808495
2005-03,24787.681311839424
2005-04,24104.749075529762
2005-05,25662.184052088203
2005-06,26592.663602536573
2005-07,27566.859545603493
2005-08,27944.805822278387
2005-09,28885.212434593952
2005-10,27822.956641984256
2005-11,29408.833533309946
2005-12,30638.142113005808
2006-01,32301.49398355652
2006-02,33352.612144966784
2006-03,34217.87403528991
2006-04,34703.682017651634
2006-05,32806.3746722669
2006-06,33262.30560216518
2006-07,33558.64427835835
2006-08,34785.98082780437
2006-09,35975.013205005416
2006-10,37629.710635293704
2006-11,37981.73531339353
2006-12,39801.082022795774
2007-01,40727.73928303235
2007-02,40051.806567257954
2007-03,41576.075099859314
2007-04,42917.469735680424
2007-05,44428.679342125346
2007-06,43531.60817572824
2007-07,42111.11644144967
2007-08,41137.13135467255
2007-09,40541.39486942566
2007-10,41797.22880501473
2007-11,38072.387138678474
2007-12,37156.69202995384
2008-01,33249.34952121678
2008-02,33424.84106229945
2008-03,32442.40896443505
2008-04,34138.1527928367
2008-05,34815.891018124916
2008-06,30853.31154087256
2008-07,29338.9396439014
2008-08,30650.784722956683
2008-09,26015.975136128156
2008-10,21513.604034813306
2008-11,20308.71105430313
2008-12,19374.862422327355
2009-01,19386.74277815277
2009-02,17853.823842964117
2009-03,18029.19490396277
2009-04,21291.367426065524
2009-05,22425.881025991184
2009-06,21810.009446088818
2009-07,24023.12093176956
2009-08,25479.349853321644
2009-09,26336.105555903858
2009-10,25382.379416613516
2009-11,25723.417502647077
2009-12,27274.59216024435
2010-01,27000.195298309267
2010-02,27110.253468629267
2010-03,29446.48777634396
2010-04,29567.18087144763
2010-05,27934.063878947036
2010-06,27930.191384511538
2010-07,29490.996484002473
2010-08,28897.333656809573
2010-09,30438.98767342931
2010-10,31149.233187965187
2010-11,31026.54801666674
2010-12,32988.67398712875
2011-01,33243.49408579811
2011-02,34051.821521812475
2011-03,33264.662099785695
2011-04,34116.18562398113
2011-05,34248.6734057401
2011-06,33063.76045966161
2011-07,32031.763660795394
2011-08,28644.963525073817
2011-09,26645.168377484453
2011-10,28552.049466669443
2011-11,28213.23803969503
2011-12,28649.59564690933
2012-01,29916.659691448545
2012-02,31439.73336151272
2012-03,31887.976809296717
2012-04,31451.47986162424
2012-05,29228.171349188648
2012-06,30745.894113058348
2012-07,31831.8520887289
2012-08,32389.969331843127
2012-09,32821.21117131388
2012-10,33038.40807771899
2012-11,34083.57277455861
2012-12,34598.13910632718
2013-01,35308.26477594677
2013-02,36016.544627171694
2013-03,36910.49358637333
2013-04,37620.24279412739
2013-05,38209.44727347513
2013-06,36493.63797368356
2013-07,39207.390018123086
2013-08,38989.89208598816
2013-09,40796.6649075294
2013-10,42028.043050887136
2013-11,42439.04585814974
2013-12,43171.63011961689
2014-01,43123.30351063
2014-02,45641.04686034119
2014-03,45124.67232973522
2014-04,45619.626087140896
2014-05,46841.11942093484
2014-06,46306.40141982688
2014-07,45134.8314016447
2014-08,45818.606420534
2014-09,45422.08572923211
2014-10,44974.9902476609
2014-11,46684.875926643384
2014-12,47033.46338596746
2015-01,50750.80646165094
2015-02,54424.27156236139
2015-03,55313.51973301231
2015-04,55647.724312126906
2015-05,57087.93908126884
2015-06,54622.98136236615
2015-07,57255.17373976773
2015-08,52880.5617011549
2015-09,50876.7085159195
2015-10,55159.80206521364
2015-11,56870.44904633927
2015-12,54402.14016278249
2016-01,50315.037212294854
2016-02,49977.47555990026
2016-03,51670.27994779392
2016-04,52554.8474612878
2016-05,53449.21103499965
2016-06,49988.785535220566
2016-07,52921.50746421636
2016-08,53117.198629749146
2016-09,53651.58714107483
2016-10,52117.43274963134
2016-11,52682.096742133974
2016-12,55237.11985868444
2017-01,56034.21395645024
2017-02,57547.41177354615
2017-03,59126.19204368247
2017-04,60791.787190538926
2017-05,61893.99499766475
2017-06,60141.971532134994
2017-07,60872.38612305557
2017-08,60730.16329507591
2017-09,62737.28609383947
2017-10,64333.01953930812
2017-11,63031.29402664326
2017-12,63516.02442986706
2018-01,64449.29502471624
2018-02,62606.89291748706
2018-03,61208.82354498592
2018-04,63819.74740993984
2018-05,65038.89075041615
2018-06,64379.28048673117
2018-07,65815.08605733748
2018-08,65725.80815479429
2018-09,65590.08433269679
2018-10,60611.79292045344
2018-11,58714.04981439897
2018-12,55268.784967645
2019-01,59609.65571455454
2019-02,61967.08497551127
2019-03,62758.823032789616
2019-04,65597.33459417227
2019-05,62098.41464659131
2019-06,64918.832550891864
2019-07,65106.95634443095
2019-08,64363.616839432405
2019-09,66905.84352667014
2019-10,68112.87829327183
2019-11,70942.7159570532
2019-12,72302.32178757076
2020-01,71869.35965321856
2020-02,66178.73649300155
