Date,CAC 40
1991-02,10000
1991-03,10324.9346858428
1991-04,10120.603954687816
1991-05,10596.994769673456
1991-06,10069.755000493427
1991-07,10299.224540463614
1991-08,10942.13399400616
1991-09,11037.962717692217
1991-10,10897.569742015572
1991-11,10215.290005245908
1991-12,10367.681048766173
1992-01,11015.368953571113
1992-02,11651.474308033512
1992-03,11414.57739273156
1992-04,11942.49237785084
1992-05,11971.266964800474
1992-06,11369.597623239893
1992-07,10638.962037282308
1992-08,10215.809402122255
1992-09,10530.200331375207
1992-10,10564.532464901757
1992-11,10744.555422243691
1992-12,11268.678810165637
1993-01,10753.956505705573
1993-02,12040.24286997938
1993-03,12333.13076855156
1993-04,11779.193999927285
1993-05,11487.189076044897
1993-06,12214.188883868053
1993-07,13061.429068565581
1993-08,13879.323329749495
1993-09,13241.452025907516
1993-10,13663.046470438527
1993-11,13216.988433031564
1993-12,14207.478276225647
1994-01,14626.060218873843
1994-02,14023.559842311106
1994-03,13048.703845095079
1994-04,13582.95547210579
1994-05,12767.29461749017
1994-06,12098.519199505534
1994-07,13402.776695700952
1994-08,13364.601025289434
1994-09,12138.512758984269
1994-10,12309.342391614857
1994-11,12769.112506557385
1994-12,12156.431951218245
1995-01,11622.855540146784
1995-02,11487.55265385834
1995-03,12024.868722439503
1995-04,12415.091595639144
1995-05,12643.36652279373
1995-06,12316.354249445547
1995-07,12815.28688886465
1995-08,12570.391261666953
1995-09,11936.20767564704
1995-10,12107.297006715804
1995-11,12208.631337291137
1995-12,12500.58432148589
1996-01,13499.280635326262
1996-02,13297.858526678821
1996-03,13658.579657301942
1996-04,14354.727290670075
1996-05,14184.053477102389
1996-06,14529.088822059824
1996-07,13733.424747183572
1996-08,13559.37485391963
1996-09,14675.454861814462
1996-10,14728.693041640048
1996-11,15940.653712908572
1996-12,15949.847037619917
1997-01,17336.221179965825
1997-02,17964.12006378194
1997-03,18302.50712872213
1997-04,18200.70534095808
1997-05,17915.92003365692
1997-06,20114.267312796383
1997-07,21742.005183580826
1997-08,19584.58637829752
1997-09,21265.458549532283
1997-10,19364.362102726314
1997-11,20211.913925549652
1997-12,21206.039546878164
1998-01,22433.01078787312
1998-02,24200.518358082594
1998-03,27410.754631721644
1998-04,27463.109836857442
1998-05,28765.60138367328
1998-06,30240.74045218692
1998-07,30114.423131859287
1998-08,26326.305893596356
1998-09,23054.157512296722
1998-10,25396.949062748336
1998-11,27707.330248115893
1998-12,28429.707423739554
1999-01,30660.620887025987
1999-02,29515.92211124442
1999-03,30275.85168102799
1999-04,31797.788408100518
1999-05,31572.006585952393
1999-06,33254.385008128564
1999-07,32224.109364206284
1999-08,33747.39652315731
1999-09,33763.809464449885
1999-10,35949.32764074357
1999-11,39280.53144688388
1999-12,43822.60519085237
2000-01,41627.11459453283
2000-02,45534.64117466797
2000-03,46237.69678649153
2000-04,47290.46231515963
2000-05,47612.072860993816
2000-06,48047.89877993673
2000-07,48825.85142132956
2000-08,49444.712799497225
2000-09,46773.61048350656
2000-10,47751.323163542496
2000-11,44246.277222888784
2000-12,44240.14833974789
2001-01,44778.139624268304
2001-02,40067.83323205094
2001-03,38675.589905002314
2001-04,42106.67373046419
2001-05,41229.10076818798
2001-06,39790.16366195574
2001-07,38752.82422051514
2001-08,35733.933756122395
2001-09,31082.994426871515
2001-10,33081.32196892968
2001-11,34108.273472843335
2001-12,35246.42784798292
2002-01,34006.47168507929
2002-02,34015.30143197719
2002-03,35735.647765814334
2002-04,34127.17951914237
2002-05,33143.49377502844
2002-06,30456.44597493391
2002-07,26740.265204045063
2002-08,26355.444058359433
2002-09,21745.90066015343
2002-10,24663.0932161574
2002-11,26045.831580368875
2002-12,23994.577496610935
2003-01,23007.515672800746
2003-02,21568.163049067425
2003-03,20511.553983514343
2003-04,23258.64406251461
2003-05,23943.10526616493
2003-06,24929.232175597695
2003-07,25948.96406293012
2003-08,26766.598625675866
2003-09,25340.4906222894
2003-10,27265.998722283686
2003-11,27682.970534615204
2003-12,28763.212158042086
2004-01,29417.963860365344
2004-02,30121.434989689977
2004-03,29315.53879634968
2004-04,29759.778944689428
2004-05,30403.83107135994
2004-06,31173.94081991991
2004-07,30456.705673372082
2004-08,30015.63384597805
2004-09,30404.19464917338
2004-10,30957.144563732596
2004-11,31447.03969750326
2004-12,32041.281663732072
2005-01,32819.90952106414
2005-02,33771.44459853219
2005-03,34112.1170097283
2005-04,32877.04317746233
2005-05,35187.06078501644
2005-06,36293.895528512294
2005-07,38204.65275721832
2005-08,37755.166700427464
2005-09,39477.278983644195
2005-10,38073.505045940656
2005-11,39282.55709470163
2005-12,40563.85724896251
2006-01,42566.28802634381
2006-02,43017.54003251424
2006-03,44913.59832961965
2006-04,44634.3705688954
2006-05,43228.83068181228
2006-06,43798.86875360332
2006-07,44194.70111306751
2006-08,45567.57093662839
2006-09,46329.42227485444
2006-10,47200.55471586394
2006-11,47123.528159101654
2006-12,49031.272885924875
2007-01,49620.11312463967
2007-02,48814.16499161174
2007-03,49856.958100253985
2007-04,52813.05348229636
2007-05,55026.46327084989
2007-06,54867.52782668765
2007-07,52144.849400875704
2007-08,51351.41873256774
2007-09,51831.96472256416
2007-10,53038.212028192866
2007-11,51574.29193220832
2007-12,51071.775454342416
2008-01,44306.57920023269
2008-02,43586.59125024022
2008-03,42835.12784954112
2008-04,45691.9145488259
2008-05,46879.048049405035
2008-06,41564.735029683536
2008-07,41182.718627130176
2008-08,42030.737907142226
2008-09,37873.27755010882
2008-10,32761.89288997616
2008-11,30860.27704629385
2008-12,30472.547278100672
2009-01,28168.29497587402
2009-02,25604.188416410863
2009-03,26597.69076148776
2009-04,30144.9636681885
2009-05,31949.504235681532
2009-06,30740.34830754528
2009-07,33569.866670821844
2009-08,35863.67909583392
2009-09,37256.286000695996
2009-10,35413.56976279145
2009-11,36282.52073692029
2009-12,38876.4926167734
2010-01,36932.02653079244
2010-02,36636.38582877563
2010-03,39256.1717333832
2010-04,37724.62616409825
2010-05,35571.154775075185
2010-06,35049.68031122261
2010-07,37129.08570567857
2010-08,35647.60999527349
2010-09,37939.085134342
2010-10,39147.306148100826
2010-11,37074.65291303738
2010-12,39091.574863268776
2011-01,41153.84016080527
2011-02,42239.535451433796
2011-03,40994.33338007906
2011-04,42360.035526746346
2011-05,42218.292119191196
2011-06,42175.18217845438
2011-07,38933.937911297406
2011-08,34547.73516992069
2011-09,31767.923087710555
2011-10,34547.21577304434
2011-11,33700.02752803445
2011-12,33857.76835938109
2012-01,35344.33415917437
2012-02,37003.391661602545
2012-03,36763.79388254359
2012-04,34618.11344666574
2012-05,33187.019233266336
2012-06,35433.30684409264
2012-07,36518.794375970625
2012-08,37876.44587105453
2012-09,37419.0649817432
2012-10,38249.42476795945
2012-11,39730.95241805216
2012-12,40754.164264456114
2013-01,41789.37417870369
2013-02,41684.663768432096
2013-03,41850.611070425024
2013-04,43388.54522128904
2013-05,45260.4515636443
2013-06,43038.212028192866
2013-07,45992.749219606194
2013-08,45314.20914034623
2013-09,47805.70401649605
2013-10,49610.81592055306
2013-11,49667.37824038726
2013-12,49808.65419075369
2014-01,48309.67480561572
2014-02,51120.33906228088
2014-03,51004.04610166675
2014-04,52310.744763181
2014-05,53519.01771662745
2014-06,52635.315871210354
2014-07,50552.3266383076
2014-08,52158.35371966073
2014-09,52655.364590637364
2014-10,50515.86497758803
2014-11,52417.01336408163
2014-12,51157.68369769024
2015-01,55138.34135801507
2015-02,59296.68468973828
2015-03,60385.652180687786
2015-04,60832.12573559583
2015-05,61134.46665731753
2015-06,58809.802057850415
2015-07,62440.59398226779
2015-08,57162.119347014246
2015-09,54814.4974056126
2015-10,60306.75579517065
2015-11,61082.83860780861
2015-12,57268.284068539615
2016-01,54563.99229215035
2016-02,53844.57567872187
2016-03,54337.587193750616
2016-04,55109.82646950361
2016-05,57051.643631415194
2016-06,54019.3527276127
2016-07,56639.86578784716
2016-08,56619.60930966961
2016-09,56833.02948616068
2016-10,57659.18215767851
2016-11,58597.83619261314
2016-12,62355.36095485922
2017-01,60912.94388955544
2017-02,62333.0268891763
2017-03,65835.42390576063
2017-04,67906.1553723816
2017-05,69271.33812217253
2017-06,67411.01433015981
2017-07,67098.1815915359
2017-08,66990.45867938151
2017-09,70299.48423890179
2017-10,72624.6162955576
2017-11,70940.21222556368
2017-12,70291.38164763077
2018-01,72547.64167848295
2018-02,70426.00931797996
2018-03,68524.60123304819
2018-04,73479.95907152614
2018-05,73076.85515579309
2018-06,72379.98036679807
2018-07,74946.94360908114
2018-08,73529.97699071838
2018-09,74810.4461099771
2018-10,69403.26492876472
2018-11,68225.1169941464
2018-12,64669.118219923024
2019-01,68283.54914273546
2019-02,71675.15880559494
2019-03,73328.86652019675
2019-04,76943.08968425864
2019-05,72891.84598843823
2019-06,77869.33013384858
2019-07,77647.8073660865
2019-08,77110.64711656825
2019-09,79994.85797092416
2019-10,80728.45411907692
2019-11,83251.47638562102
2019-12,84360.96005318624
2020-01,82071.56250162312
2020-02,75054.45876248501
2020-03,62300.61652409223
2020-04,64835.7407378552
2020-05,67025.82960666074
2020-06,70699.8353511902
2020-07,68832.91521884788
2020-08,71185.93888776354
2020-09,69263.70298809023
2020-10,66247.14980964104
2020-11,79575.2891742109
2020-12,80176.17942045697
2021-01,78091.2164794241
2021-02,82488.3265552041
2021-03,87863.82452695929
2021-04,90999.2157107167
2021-05,94669.689556487
2021-06,95830.17799730953
2021-07,97392.21216323605
2021-08,98390.1293817619
2021-09,96247.46144776685
2021-10,100828.59383683666
2021-11,99313.35732946903
2021-12,105737.77729300737
2022-01,103582.48801491708
2022-02,98550.2074990521
2022-03,98673.6161968722
2022-04,97418.54558486685
2022-05,97893.94954578743
2022-06,89873.8904384229
2022-07,97974.35218224597
2022-08,93060.75385262635
2022-09,87661.36362455916
2022-10,95335.14083446302
2022-11,102584.2072185778
2022-12,98677.45973375716
2023-01,108101.65635663866
2023-02,110940.57580337713
2023-03,111893.04579522258
2023-04,115291.40761747457
