Date,MSCI AC Far East ex-Japan
1987-12,10000
1988-01,10632.048254931715
1988-02,11047.187426035502
1988-03,11508.94329495703
1988-04,11959.646554364472
1988-05,12009.815091575094
1988-06,13557.002431610943
1988-07,14523.088390243904
1988-08,13617.595157341073
1988-09,13617.148608985324
1988-10,13977.958640674395
1988-11,13594.859104326559
1988-12,13888.630395136783
1989-01,16169.394943820227
1989-02,16269.476768574477
1989-03,16721.349056097344
1989-04,17928.036923076925
1989-05,17874.591329642488
1989-06,16894.081238058847
1989-07,17600.448021927823
1989-08,17591.26722954166
1989-09,19053.8364955252
1989-10,18045.65945602901
1989-11,18536.47029490617
1989-12,18625.560308483287
1990-01,18065.263849609048
1990-02,18538.21905934499
1990-03,18976.455424705586
1990-04,17969.034746042216
1990-05,19418.845437586177
1990-06,20012.147035766782
1990-07,20588.028937990024
1990-08,16874.618685645062
1990-09,14333.778674351588
1990-10,14798.398409893993
1990-11,13981.21814114591
1990-12,14831.955183995327
1991-01,15677.270487483529
1991-02,17319.94048801555
1991-03,19740.59689752429
1991-04,20592.353969301865
1991-05,21161.746211741094
1991-06,21349.01476405274
1991-07,22103.77814644315
1991-08,21135.146788990827
1991-09,19978.289063274413
1991-10,20261.849529780564
1991-11,20128.632287778924
1991-12,20457.235137628788
1992-01,22047.35372822299
1992-02,23335.09358974359
1992-03,23785.55116600309
1992-04,24450.984185522182
1992-05,25625.02462680673
1992-06,25359.163556851312
1992-07,23518.871421264153
1992-08,22184.83524467555
1992-09,23168.845080891995
1992-10,26300.225747684835
1992-11,27012.359932060826
1992-12,26195.580116391848
1993-01,27553.602719406674
1993-02,29917.51875
1993-03,30086.061042267866
1993-04,31646.619644174792
1993-05,33582.76125585601
1993-06,33660.688969717485
1993-07,35317.837298298204
1993-08,38566.31141714794
1993-09,38462.718812388026
1993-10,46081.85935261113
1993-11,47001.05211841872
1993-12,58401.11928767609
1994-01,55149.668211206896
1994-02,51782.3549154665
1994-03,45195.56515111695
1994-04,47461.94992092778
1994-05,48422.00178817057
1994-06,45518.120348443845
1994-07,46579.062836065576
1994-08,50430.540915805024
1994-09,49086.897954213346
1994-10,49084.68260869566
1994-11,45070.185598836266
1994-12,44855.85244928253
1995-01,39226.48000646255
1995-02,42718.16907957814
1995-03,41255.227307633235
1995-04,40082.94612835192
1995-05,45661.44699403396
1995-06,44599.591201456315
1995-07,44777.36338556113
1995-08,43938.12443036997
1995-09,45274.0579206759
1995-10,43892.66716981132
1995-11,43525.48242648761
1995-12,46414.93152489219
1996-01,51284.04524678622
1996-02,51401.59829209897
1996-03,51782.291465943534
1996-04,53685.246428571416
1996-05,53807.676088903376
1996-06,52314.61473463123
1996-07,47807.959618138426
1996-08,49085.05054789121
1996-09,50760.89312977099
1996-10,49956.90595836325
1996-11,52139.26261417323
1996-12,52953.90924748492
1997-01,55184.66309523809
1997-02,57803.04841687516
1997-03,55278.03487519637
1997-04,54160.36363636363
1997-05,56736.32501093518
1997-06,58907.59394904458
1997-07,60841.48592471358
1997-08,51055.274740484434
1997-09,49342.64875694381
1997-10,36628.3743025751
1997-11,33592.77404326123
1997-12,32955.14030038672
1998-01,30874.060226331774
1998-02,37873.94591021757
1998-03,37085.67581313923
1998-04,33041.56615722523
1998-05,27498.95753424658
1998-06,24683.68545751634
1998-07,24055.610937215653
1998-08,20255.573719981876
1998-09,21391.218038876887
1998-10,26226.491521757216
1998-11,29443.163838712433
1998-12,29667.365430418515
1999-01,29635.859188334503
1999-02,30077.999836630966
1999-03,34318.70348166077
1999-04,42820.83986033783
1999-05,41446.81187834736
1999-06,49239.595701006976
1999-07,45732.95700392743
1999-08,47013.08676818311
1999-09,42877.18616033755
1999-10,45853.408705634756
1999-11,52206.115400614035
1999-12,56280.32138164444
2000-01,56507.198876519244
2000-02,53953.5348363187
2000-03,57469.267580864645
2000-04,55509.34428178316
2000-05,49807.35730409546
2000-06,50795.82557555463
2000-07,50642.14858812074
2000-08,51898.592162587025
2000-09,46634.71810610383
2000-10,44770.6848758465
2000-11,41230.9985720866
2000-12,38403.972058033316
2001-01,43619.87532551383
2001-02,41706.6152465398
2001-03,39028.678328804344
2001-04,38986.32390716539
2001-05,40576.21492924528
2001-06,39726.84502358491
2001-07,37015.87682467161
2001-08,34821.98962655602
2001-09,29369.58615704742
2001-10,31181.29210351692
2001-11,36056.93162508429
2001-12,39702.80444797459
2002-01,42178.09538034039
2002-02,42227.87973644666
2002-03,44933.73899587346
2002-04,44137.4273312611
2002-05,41535.63950143816
2002-06,36988.75199999999
2002-07,36340.76688132475
