Date,FTSE Emerging Markets US Dollar Government Bond (EUR Hedged)
1996-01,10000
1996-02,9411.619966547325
1996-03,9618.455186777439
1996-04,10060.076581744792
1996-05,10189.509867617719
1996-06,10454.49560645646
1996-07,10507.264207019532
1996-08,10810.808071033945
1996-09,11445.524207111688
1996-10,11518.696175059786
1996-11,12120.871981310736
1996-12,12222.713721587115
1997-01,12661.21102371638
1997-02,12842.712523557411
1997-03,12370.790192744547
1997-04,12805.665758928777
1997-05,13291.448371831557
1997-06,13589.435221151678
1997-07,14189.29790851661
1997-08,14063.237537035247
1997-09,14488.409062633915
1997-10,13007.109845500247
1997-11,13658.985453154735
1997-12,14035.784225635069
1998-01,14162.720080360146
1998-02,14475.580929210266
1998-03,14809.167691903622
1998-04,14781.161443717945
1998-05,14425.300544181953
1998-06,14143.16454937956
1998-07,14293.27767103026
1998-08,10773.466406786378
1998-09,11568.036567552748
1998-10,12189.132027480959
1998-11,13166.254267980814
1998-12,12816.208420305684
1999-01,12388.732991434086
1999-02,12587.182003750755
1999-03,13572.22967150947
1999-04,14397.782723490134
1999-05,13619.671647705543
1999-06,13987.383825677463
1999-07,13762.77168779346
1999-08,13845.491030904559
1999-09,14336.001253323378
1999-10,14889.92410942619
1999-11,15254.9821908277
1999-12,15934.375619174003
2000-01,15736.663855904673
2000-02,16389.202987701763
2000-03,16719.223308128632
2000-04,16466.549628380402
2000-05,16078.553885993651
2000-06,16818.171345894214
2000-07,16987.637255037484
2000-08,17993.373974187067
2000-09,17760.99307446676
2000-10,17434.84331153841
2000-11,17362.067614953256
2000-12,18087.815577150806
2001-01,18962.01785064256
2001-02,18664.73138791741
2001-03,18458.47675131207
2001-04,18362.791040580953
2001-05,18783.24417227667
2001-06,19115.356436875354
2001-07,17923.270805398508
2001-08,18734.27240430738
2001-09,18117.04750187768
2001-10,18076.563313565843
2001-11,17997.60394059616
2001-12,18283.075987337746
2002-01,18604.17559429185
2002-02,19333.0384337144
2002-03,19390.037000686563
2002-04,19597.305354731987
2002-05,19484.88409062634
2002-06,18417.808250738402
2002-07,17549.107698262396
2002-08,18855.80790976072
2002-09,18271.11412154472
2002-10,19520.926353427978
2002-11,20143.136902540286
2002-12,20773.106997875802
2003-01,21126.48889749013
2003-02,21834.303276611234
2003-03,22221.40510452809
2003-04,23492.929320855394
2003-05,24462.052409191652
2003-06,24484.48321145685
2003-07,23665.970887878244
2003-08,24305.93992341826
2003-09,25106.371214110946
2003-10,25330.633158697463
2003-11,25731.22664418057
2003-12,26442.58903434198
2004-01,26642.60470088424
2004-02,26647.793091054864
2004-03,27329.591794418102
2004-04,25807.587214258394
2004-05,25373.107919437112
2004-06,25820.959068854452
2004-07,26562.85278518867
2004-08,27734.986614321984
2004-09,28210.44774056206
2004-10,28646.770158001687
2004-11,28830.299092722893
2004-12,29525.31298525963
2005-01,29771.259267450914
2005-02,29958.373075664793
2005-03,29180.38180285039
2005-04,29682.54056021712
2005-05,30613.27140441336
2005-06,31156.716108430905
2005-07,31128.45182307866
2005-08,31669.684779954194
2005-09,32314.399856236436
2005-10,31809.06171235307
2005-11,32270.607262824677
2005-12,32827.792445961946
2006-01,33308.73686199159
2006-02,34025.73920736511
2006-03,33434.56684314566
2006-04,33394.386770065845
2006-05,32693.852725287183
2006-06,32665.404127673104
2006-07,33731.245075406754
2006-08,34583.44968044862
2006-09,34832.10535288886
2006-10,35530.611962787356
2006-11,35932.09014712727
2006-12,36274.1368426388
2007-01,36192.44964819397
2007-02,36705.6026319791
2007-03,37088.38233735595
2007-04,37425.93181367873
2007-05,37271.64401929749
2007-06,36589.65178805933
2007-07,36155.891311059204
2007-08,36605.67773922579
2007-09,37512.060933633766
2007-10,38408.067347700475
2007-11,38287.59163775268
2007-12,38537.85082687088
2008-01,38796.26583357524
2008-02,38661.09122074619
2008-03,38777.346179897984
2008-04,39298.793215465645
2008-05,39256.16178930344
2008-06,38409.3759647595
2008-07,38834.31710003087
2008-08,39095.321694014
2008-09,36776.72873382084
2008-10,31205.835326209664
2008-11,32021.241988176367
2008-12,34486.363196527556
2009-01,34842.04899941481
2009-02,34449.88779991061
2009-03,35697.36848168167
2009-04,37432.89881717606
2009-05,38798.62503052672
2009-06,39321.74009206398
2009-07,40328.14033535616
2009-08,41289.605249213215
2009-09,43198.74851974215
2009-10,43527.81963202057
2009-11,44155.95582035084
2009-12,43960.004239182024
2010-01,44133.92128944858
2010-02,44761.72571570755
2010-03,45706.040373600954
2010-04,46149.08097298443
2010-05,45496.680075383716
2010-06,46261.45615902462
2010-07,48187.70360745175
2010-08,49297.24499246623
2010-09,50076.738410214595
2010-10,51116.95995355332
2010-11,49523.617312450755
2010-12,49241.36151467816
2011-01,48944.89524151818
2011-02,48989.406652751095
2011-03,49598.98259631468
2011-04,50195.98844362119
2011-05,50942.55447579289
2011-06,51558.88546375269
2011-07,52454.36658787318
2011-08,52879.74085695986
2011-09,50920.01308617059
2011-10,53018.22387488884
2011-11,52588.74865797634
2011-12,53409.45429747077
2012-01,54164.71065278795
2012-02,55685.39740027555
2012-03,55822.4704294015
2012-04,56659.92083788355
2012-05,55323.48184293831
2012-06,57051.32635711422
2012-07,59224.2296899407
2012-08,59918.88417356686
2012-09,60881.64848886985
2012-10,61464.53601691987
2012-11,62412.186726752465
2012-12,62836.13257580994
2013-01,62132.48365380628
2013-02,61900.61882841911
2013-03,61419.33343470508
2013-04,63254.68729120878
2013-05,61113.80821387594
2013-06,57911.41952696258
2013-07,58503.08953428899
2013-08,56870.00916953503
2013-09,58390.281214433504
2013-10,59922.98512139267
2013-11,58605.13401805339
2013-12,58926.13225326348
2014-01,58375.5085866475
2014-02,60226.27094824051
2014-03,61020.90561829853
2014-04,62013.59302931026
2014-05,63951.811559143505
2014-06,64217.138275666635
2014-07,64353.02249070375
2014-08,64986.5129502403
2014-09,63420.199702335696
2014-10,64686.08396345088
2014-11,64498.260553028944
2014-12,63086.41941176742
2015-01,63799.40374983298
2015-02,64050.280385028316
2015-03,64246.66510001244
2015-04,65089.08272395091
2015-05,64841.099791266366
2015-06,63800.38060482069
2015-07,64063.79968943384
2015-08,63500.21887081093
2015-09,62729.775185118626
2015-10,64629.82264552605
2015-11,64320.31627984131
2015-12,63478.359436557424
2016-01,63500.61514217387
2016-02,64712.00748307783
2016-03,66820.88995175627
2016-04,67934.24660059072
2016-05,67764.22775466194
2016-06,70366.56944194857
2016-07,71343.48893896039
2016-08,72680.88635766716
2016-09,72923.45972546689
2016-10,71903.89037106666
2016-11,68732.99143408763
2016-12,69542.59225980658
2017-01,70606.02793252328
2017-02,72031.95974620202
2017-03,72369.86863143538
2017-04,73629.10843551144
2017-05,74194.91943250255
2017-06,73962.62147330008
2017-07,74553.97814978137
2017-08,75888.850490501
2017-09,75838.35814637158
2017-10,76024.05275016934
2017-11,75777.12039737724
2017-12,76359.16008902283
2018-01,76163.07027365763
2018-02,74660.21573750247
2018-03,74755.19184602554
2018-04,73736.28601576791
2018-05,72775.05149223816
2018-06,72027.72977979292
2018-07,73829.16096450607
2018-08,72197.10353280528
2018-09,73679.61921086705
2018-10,72182.70874515605
2018-11,71952.33684908973
2018-12,73198.26009224828
2019-01,75934.32954110854
2019-02,76755.95674191214
2019-03,77627.75374038696
2019-04,77765.74833082208
2019-05,78168.80238500067
2019-06,81271.091082512
2019-07,82627.94266045534
2019-08,82379.12110697945
2019-09,82292.85375282804
2019-10,82320.15039880566
2019-11,82132.40071328846
2019-12,84054.53799827668
2020-01,85446.76831487907
2020-02,84471.62743119393
2020-03,73085.61765342845
2020-04,74653.36853697535
2020-05,79412.83642747543
2020-06,81861.48011961866
2020-07,84976.05322938121
2020-08,85252.48475967985
2020-09,83721.73456269612
2020-10,83427.91317049346
2020-11,86940.24135690687
2020-12,88581.3577362768
2021-01,87381.5586366422
2021-02,84823.25836432083
