Date,MSCI Europe Quality
1994-06,10000
1994-07,10187.16663473412
1994-08,10875.543047660449
1994-09,10322.79601182879
1994-10,10644.589202677364
1994-11,10425.37352339138
1994-12,10801.745165932743
1995-01,10510.847992211704
1995-02,10724.33057026265
1995-03,11023.87568966955
1995-04,11052.154328698434
1995-05,11408.732801409275
1995-06,11609.95089859106
1995-07,12074.666013462578
1995-08,12204.35957900173
1995-09,12865.426453493312
1995-10,12591.204436277052
1995-11,12595.103486363812
1995-12,13062.453835016875
1996-01,13183.287740132524
1996-02,13539.38434011202
1996-03,13821.46895919899
1996-04,14035.27526506741
1996-05,14524.409880991829
1996-06,14579.277630242843
1996-07,14092.285255430763
1996-08,14548.858056432331
1996-09,14874.657730333558
1996-10,15307.491969942019
1996-11,15971.962501118182
1996-12,16769.069987142393
1997-01,17051.468285751063
1997-02,18064.28789057463
1997-03,18851.124333333282
1997-04,19118.75592119136
1997-05,19726.98906318295
1997-06,20955.958909823465
1997-07,22217.373025359528
1997-08,21821.786799691017
1997-09,23182.67228370823
1997-10,21893.997713859142
1997-11,22000.99079818408
1997-12,23357.971876079675
1998-01,25034.88087088882
1998-02,26914.431572473088
1998-03,28356.560825249573
1998-04,28777.297087567786
1998-05,28602.374097552856
1998-06,29667.17503679068
1998-07,29828.53069059509
1998-08,27347.65273130814
1998-09,25938.19712898719
1998-10,26336.08620628787
1998-11,28201.369119854025
1998-12,29700.750907363898
1999-01,30535.00391091824
1999-02,30722.250358487017
1999-03,31839.967343103468
1999-04,32070.203054958198
1999-05,31476.290190568077
1999-06,32448.00307083515
1999-07,31786.3386402737
1999-08,32141.826296058975
1999-09,32159.722276222146
1999-10,34346.86437821333
1999-11,36997.93464656739
1999-12,41025.92120847178
2000-01,39391.96532034891
2000-02,41498.85435758875
2000-03,43518.496081049125
2000-04,44733.096117300476
2000-05,42697.52153142224
2000-06,42585.064204592505
2000-07,43774.00697569084
2000-08,45392.38325660433
2000-09,44765.24043888997
2000-10,46014.05932308611
2000-11,43549.69351982254
2000-12,42983.29395344211
2001-01,41891.46085696893
2001-02,38713.268237809345
2001-03,37340.48730688077
2001-04,39857.35730834485
2001-05,40423.879080138606
2001-06,38852.00649133718
2001-07,37827.05310731131
2001-08,35184.575553737515
2001-09,32469.824343569675
2001-10,34047.00878099077
2001-11,35885.86269722285
2001-12,37487.88951429707
2002-01,36948.974160781894
2002-02,37684.44999645226
2002-03,39295.958292117655
2002-04,37527.624478223166
2002-05,35271.67036443661
2002-06,32936.0939381603
2002-07,30216.667080265364
2002-08,30051.58683667847
2002-09,28459.084849970648
2002-10,29907.437726197808
2002-11,30245.010284080716
2002-12,28416.239078272858
2003-01,26137.98080632776
2003-02,25237.526983212952
2003-03,24930.95888236359
2003-04,27143.571981588604
2003-05,27267.425103064845
2003-06,28019.774220343308
2003-07,28022.76221005895
2003-08,29364.069838568772
2003-09,28400.5720565492
2003-10,29961.553333067823
2003-11,30185.653786761497
2003-12,30807.447240420533
2004-01,31398.925641589947
2004-02,32519.740151610295
2004-03,32323.251406975698
2004-04,32462.4216595357
2004-05,32737.501002741174
2004-06,33212.369864652785
2004-07,32356.05610526839
2004-08,32285.54614614621
2004-09,32336.881543757958
2004-10,32427.174583323103
2004-11,32936.257209418996
2004-12,33234.90999757083
2005-01,34142.281222384445
2005-02,35714.89432188586
2005-03,35676.02424804426
2005-04,35313.23001904412
2005-05,37251.91074568514
2005-06,38559.32867494726
2005-07,39198.89925634092
2005-08,39731.104836541796
2005-09,41285.20907998279
2005-10,39996.65356293789
2005-11,41312.844594586255
2005-12,42830.207281818555
2006-01,43894.066338665194
2006-02,44475.56676280245
2006-03,45711.8998122831
2006-04,46816.222404711414
2006-05,44625.84908962806
2006-06,45688.38050543689
2006-07,45957.20946115503
2006-08,46614.468400693644
2006-09,47132.59628010676
2006-10,49094.66839220132
2006-11,48778.47910132185
2006-12,49756.08932142519
2007-01,50454.89591431333
2007-02,49450.0402520016
2007-03,51443.73507313521
2007-04,53131.06145331765
2007-05,54945.261269260875
2007-06,56178.15471490057
2007-07,54346.40732760353
2007-08,54015.91576780585
2007-09,55654.93993790273
2007-10,56742.59252528536
2007-11,54813.926789566984
2007-12,53946.84446859993
2008-01,48387.41714825898
2008-02,49401.139195095966
2008-03,46594.44072867035
2008-04,50518.40455073711
2008-05,51910.73043140754
2008-06,48382.25864060738
2008-07,46974.25827406568
2008-08,47571.62435379372
2008-09,41257.5218119558
2008-10,39173.1637032202
2008-11,37195.42368066691
2008-12,35335.242183656104
2009-01,35342.74959039903
2009-02,32906.196396087995
2009-03,33173.736587023224
2009-04,35864.22335417782
2009-05,37946.86017316977
