Date,MSCI Europe Quality
2009-06,37560.551120881464
2009-07,40536.8295730045
2009-08,41441.257430820806
2009-09,41814.28025020065
2009-10,42109.71962935011
2009-11,42928.654861311166
2009-12,46103.66645150073
2010-01,45795.296811076136
2010-02,46603.56411810594
2010-03,49149.75998629349
2010-04,48016.204589379544
2010-05,46530.85778461957
2010-06,46681.75355606601
2010-07,47672.06691575665
2010-08,48380.465247987704
2010-09,49519.32749488719
2010-10,50466.20099584885
2010-11,50526.12414198332
2010-12,52696.21513968915
2011-01,51979.69197827513
2011-02,53281.13757005856
2011-03,51964.77329394924
2011-04,53931.287046688994
2011-05,55402.83554733749
2011-06,54061.69514889202
2011-07,54415.32852306055
2011-08,50473.62526226811
2011-09,48937.3358763738
2011-10,52194.81320120123
2011-11,53066.624804977706
2011-12,54674.87167134134
2012-01,55061.411831562895
2012-02,56983.71040955306
2012-03,57361.66167455839
2012-04,58082.65938297388
2012-05,55597.41442757155
2012-06,58333.366666942755
2012-07,61518.44151065055
2012-08,61589.6150879192
2012-09,61737.52434980687
2012-10,61640.221722810165
2012-11,63456.00916327466
2012-12,63760.52351878022
2013-01,65076.923121950094
2013-02,66483.84895898246
2013-03,69652.325340676
2013-04,70311.35434729245
2013-05,69425.9025124616
2013-06,66516.4418299999
2013-07,69132.37316120368
2013-08,68788.81777604198
2013-09,71486.45844283163
2013-10,72651.58374080277
2013-11,73495.21023482257
2013-12,74127.60853803084
2014-01,72465.5493584902
2014-02,76596.51139621559
2014-03,76165.59957963366
2014-04,78088.08980913933
2014-05,80120.55637335453
2014-06,80862.45727986883
2014-07,79866.50515880511
2014-08,81579.96392606063
2014-09,82506.63288395749
2014-10,81624.19668920628
2014-11,84726.4888641956
2014-12,83978.17260781358
2015-01,91933.63957662285
2015-02,97524.64010383186
2015-03,98896.19423533454
2015-04,98964.14998870366
2015-05,101084.92956070119
2015-06,95598.32911204277
2015-07,101860.31731409415
2015-08,92816.38989119588
2015-09,91174.29927354025
2015-10,98905.68428466923
2015-11,101599.7337784695
2015-12,97157.00690271078
2016-01,92083.80149488692
2016-02,91357.25185362644
2016-03,92627.36046481522
2016-04,93766.86374206778
2016-05,96455.82655191983
2016-06,94424.84310996027
2016-07,98538.75846774745
2016-08,97026.17521218413
2016-09,97144.15689468624
2016-10,92270.2144546099
2016-11,92281.69809926634
2016-12,96983.67161974021
2017-01,97317.49222241103
2017-02,101828.26481883624
2017-03,104735.05602488283
2017-04,106620.68218362842
2017-05,109845.1188208413
2017-06,105912.80535445303
2017-07,103661.71654428693
2017-08,103858.76007362563
2017-09,107126.71363693527
2017-10,109363.24609823902
2017-11,107409.13550273904
2017-12,107710.50354018787
2018-01,107495.21803343717
2018-02,102724.5035099271
2018-03,101788.304600447
2018-04,106143.35709713388
2018-05,108827.96614299298
2018-06,108507.5828682237
2018-07,111515.26863204557
2018-08,111950.63171690577
2018-09,111909.53193182062
2018-10,105725.1859108984
2018-11,104957.35361387466
2018-12,100118.96375332946
2019-01,105978.4762619732
2019-02,111419.11238013949
2019-03,116191.22467876003
2019-04,120067.45147374054
2019-05,115857.76895084794
2019-06,121998.19197999225
2019-07,122466.76547507696
2019-08,123010.0470995815
2019-09,126111.87634515412
2019-10,128397.89995751818
2019-11,132992.48024165514
2019-12,135463.070400223
2020-01,136500.29477416116
2020-02,125538.4712671532
2020-03,114809.09456542411
2020-04,123426.1416674459
2020-05,126588.97850046212
2020-06,128718.56380813567
2020-07,126843.80296785622
2020-08,131618.21643110304
2020-09,133329.3449442057
2020-10,126254.6607726396
2020-11,139250.17703357275
2020-12,143326.23374927626
2021-01,142288.93874953696
2021-02,142462.63497448005
2021-03,151937.22048903877
2021-04,157079.210831335
2021-05,162064.19129069813
2021-06,167234.46383052756
2021-07,173113.18103617206
2021-08,177295.46713297686
2021-09,168507.25413271252
2021-10,176767.58217371846
2021-11,173804.08552558182
2021-12,185362.44887820835
2022-01,170979.54772900138
2022-02,167801.44388560436
2022-03,170395.40069222805
2022-04,168679.53122205043
2022-05,162208.79338702347
2022-06,152732.00650580577
2022-07,168816.5899394293
2022-08,157785.45585182073
2022-09,149504.0178236779
2022-10,154891.53325546772
2022-11,165469.35826450997
2022-12,159254.20027323335
2023-01,169324.4927893484
2023-02,168834.4407659453
2023-03,174958.5837402991
2023-04,179239.506419458
