Date,MSCI Europe
1978-12,10000
1979-01,10202.47542840942
1979-02,10453.213087501876
1979-03,11138.690817555986
1979-04,11432.88976087676
1979-05,10995.471425542944
1979-06,11203.484664981772
1979-07,10982.499632639889
1979-08,11366.860388535446
1979-09,11831.88712036359
1979-10,10833.621549808342
1979-11,11255.247707760347
1979-12,11049.172284948723
1980-01,11499.954842838863
1980-02,11766.312627616137
1980-03,10639.172585223387
1980-04,11878.066689417688
1980-05,11684.54280248819
1980-06,12355.88110303654
1980-07,12402.65872405994
1980-08,12777.341161968161
1980-09,12975.351735180053
1980-10,13789.269157106295
1980-11,14113.164429494986
1980-12,13989.204690469405
1981-01,13508.005285216886
1981-02,14312.928179610215
1981-03,14620.276215815837
1981-04,14874.753080852732
1981-05,14539.26937456148
1981-06,14760.125513304438
1981-07,14802.479483037745
1981-08,15656.299650091663
1981-09,13562.832576702249
1981-10,13702.643779219634
1981-11,15233.689431145822
1981-12,14949.806868676078
1982-01,15423.928553153362
1982-02,15336.135911563117
1982-03,15585.142308555545
1982-04,16331.789095195849
1982-05,15777.531953285252
1982-06,15365.948589833037
1982-07,16040.316906488102
1982-08,16250.385485923376
1982-09,16791.096523047716
1982-10,17214.54297296437
1982-11,17799.344480388565
1982-12,17942.35082062244
1983-01,17863.761712841955
1983-02,18914.777190585348
1983-03,19985.044576194672
1983-04,21946.419029297824
1983-05,21875.23764054015
1983-06,22967.54976140913
1983-07,22978.983876739938
1983-08,23230.8234641163
1983-09,23671.135762484348
1983-10,23287.162304295933
1983-11,24636.256814183376
1983-12,25472.89534688857
1984-01,27115.458271718348
1984-02,27103.895563677364
1984-03,26781.737370136332
1984-04,26900.37436566081
1984-05,25877.605797330045
1984-06,25839.098364983704
1984-07,25064.6299938575
1984-08,27506.033731469055
1984-09,28388.42855707489
1984-10,28985.37577693973
1984-11,28160.02148892904
1984-12,29495.38741939547
1985-01,31622.394952072573
1985-02,31449.500228393805
1985-03,35177.19534464277
1985-04,33701.68004055975
