Date,DAX
1999-01,10000
1999-02,9503.872123039713
1999-03,9465.577252536841
1999-04,10388.530143644522
1999-05,9822.924983914603
1999-06,10423.569174954846
1999-07,9887.421607919441
1999-08,10214.74972674207
1999-09,9980.36806486872
1999-10,10708.22254436081
1999-11,11426.522686222374
1999-12,13484.87197575175
2000-01,13247.3895146474
2000-02,14815.134225846712
2000-03,14727.614167551686
2000-04,14369.646276327723
2000-05,13778.537042922813
2000-06,13368.72766455554
2000-07,13934.933604136466
2000-08,13985.476631601796
2000-09,13174.753292661184
2000-10,13716.075318413321
2000-11,12349.572477306025
2000-12,12468.333087853394
2001-01,13168.978054093443
2001-02,12031.566136171597
2001-03,11298.440297986806
2001-04,12140.617369126892
2001-05,11866.874937015016
2001-06,11741.137528197893
2001-07,11358.983402972115
2001-08,10054.6709664416
2001-09,8349.192629400228
2001-10,8835.591748773246
2001-11,9670.44318173009
2001-12,10000.271319932712
2002-01,9898.54572516066
2002-02,9765.734618097815
2002-03,10459.945425933534
2002-04,9769.843177078892
2002-05,9337.863084209956
2002-06,8493.399173637006
2002-07,7170.869541624354
2002-08,7195.675935472368
2002-09,5366.378809138056
2002-10,6110.221784664997
2002-11,6434.778564174916
2002-12,5605.915549732944
2003-01,5325.293219327282
2003-02,4936.181675826944
2003-03,4697.458895030194
2003-04,5701.672105985318
2003-05,5780.432406452763
2003-06,6241.482492112342
2003-07,6759.4710036511915
2003-08,6753.114365227638
2003-09,6311.638074713758
2003-10,7085.306862843898
2003-11,7259.649299606974
2003-12,7684.478174249412
2004-01,7865.564849339918
2004-02,7787.1921487763475
2004-03,7474.2827463778785
2004-04,7723.335064612904
2004-05,7599.690695276708
2004-06,7854.18879216118
2004-07,7549.690307676804
2004-08,7335.73516073768
2004-09,7544.438328979294
2004-10,7674.962596609276
2004-11,7996.186016945868
2004-12,8248.280994426314
2005-01,8245.89725501748
2005-02,8431.247529050614
2005-03,8427.914169877287
2005-04,8110.217908665959
2005-05,8644.698796114699
2005-06,8888.208435724307
2005-07,9470.034651431406
2005-08,9359.936898735648
2005-09,9775.50213567547
2005-10,9552.535290971247
2005-11,10064.806703927938
2005-12,10481.20528066109
2006-01,10996.499972868007
2006-02,11232.722734284762
2006-03,11570.012170636981
2006-04,11647.163931503344
2006-05,11032.759943875533
2006-06,11014.252048465494
2006-07,11011.655129109527
2006-08,11355.843843750727
2006-09,11636.388654175613
2006-10,12149.16394700734
2006-11,12227.207187652615
2006-12,12784.827789362707
2007-01,13157.291916991604
2007-02,13014.519492399166
2007-03,13405.200815510198
2007-04,14358.386499120148
2007-05,15277.327731222722
2007-06,15518.182311490787
2007-07,14698.0596748812
2007-08,14802.769788913092
2007-09,15235.602601570554
2007-10,15541.244505771363
2007-11,15253.063977240134
2007-12,15634.462282653354
2008-01,13278.688206885325
2008-02,13077.872696687571
2008-03,12664.768719137357
2008-04,13466.809820231165
2008-05,13753.575609113248
2008-06,12438.701075202132
2008-07,12557.384165768728
2008-08,12446.41431328925
2008-09,11300.51395747254
2008-10,9666.6834626625
2008-11,9049.372475755625
2008-12,9322.165288103008
2009-01,8407.720214885387
2009-02,7449.166272606764
2009-03,7916.2629167667965
2009-04,9243.191807688432
2009-05,9575.306785323917
2009-06,9319.142008852781
2009-07,10333.68475724618
2009-08,10590.411553577935
2009-09,10998.457352382577
2009-10,10494.189877440911
2009-11,10903.088396034078
2009-12,11545.496476716873
2010-01,10869.832324281584
2010-02,10849.812789246429
2010-03,11925.576942456919
2010-04,11890.983651036055
2010-05,11558.86867340057
2010-06,11561.174892828629
2010-07,11914.7629051388
2010-08,11483.073512197769
2010-09,12071.837766184235
2010-10,12793.451887223931
2010-11,12962.29040535198
2010-12,13399.69689687517
2011-01,13716.152838394097
2011-02,14093.75266474934
2011-03,13646.055395778261
2011-04,14563.019868371073
2011-05,14135.167714478406
2011-06,14295.149574802905
2011-07,13873.69281932418
2011-08,11211.036519662943
2011-09,10662.912115597797
2011-10,11901.913968325336
2011-11,11800.168993558089
2011-12,11430.999465112132
2012-01,12517.36447569361
2012-02,13287.079744804223
2012-03,13462.953201187605
2012-04,13103.182970410624
2012-05,12140.365429189373
2012-06,12434.747556182607
2012-07,13124.636625090117
2012-08,13509.387669671858
2012-09,13984.895231745983
2012-10,14071.097450367832
2012-11,14351.855440739851
2012-12,14752.808161303576
2013-01,15069.981162644672
2013-02,15003.410879154102
2013-03,15107.307033387855
2013-04,15336.766176481988
2013-05,16180.047907348118
2013-06,15424.964534608795
2013-07,16038.82588237118
2013-08,15703.9008054326
2013-09,16655.94306932612
2013-10,17507.73261808231
2013-11,18227.466879588213
2013-12,18512.08148900379
2014-01,18035.953767083465
2014-02,18783.246381754896
2014-03,18519.34898720145
2014-04,18611.05512445833
2014-05,19270.052481026985
2014-06,19056.484933991735
2014-07,18231.691718540453
2014-08,18353.18490841014
2014-09,18361.188846425164
2014-10,18075.469577283548
2014-11,19342.882502965138
2014-12,19003.151187218504
2015-01,20725.58702005442
2015-02,22096.411600089923
2015-03,23190.431708772936
2015-04,22198.58293475143
2015-05,22119.977674245536
2015-06,21211.346599586042
2015-07,21916.817184629337
2015-08,19882.82854905852
2015-09,18721.928076961838
2015-10,21027.566105163605
2015-11,22058.756269428446
2015-12,20819.948216652843
2016-01,18988.732470794348
2016-02,18402.080636284
2016-03,19313.153590337908
2016-04,19455.51903503128
2016-05,19889.185187482075
2016-06,18760.00976751758
2016-07,20034.070031550633
2016-08,20528.628128900225
2016-09,20370.351708152775
2016-10,20668.784254141505
2016-11,20620.89628601772
2016-12,22250.288761928387
2017-01,22355.425235854542
2017-02,22935.080892099937
2017-03,23332.894053442276
2017-04,24104.857401995363
2017-05,24447.980216900905
2017-06,23886.076636252998
2017-07,23485.162675679658
2017-08,23364.212125675393
2017-09,24862.32451414352
2017-10,25638.900301552723
2017-11,25240.46698036419
2017-12,25034.380111473733
2018-01,25561.205900820936
2018-02,24100.67132303351
2018-03,23443.45692602268
2018-04,24442.263118318748
2018-05,24428.27076178885
2018-06,23849.022085442524
2018-07,24817.052845370894
2018-08,23961.5423375375
2018-09,23734.1568539291
2018-10,22185.268878053317
2018-11,21816.525709501624
2018-12,20463.259405111665
2019-01,21653.46242994132
2019-02,22317.304785308414
2019-03,22337.459980309926
2019-04,23922.821107140364
2019-05,22726.610283800648
2019-06,24028.868440840626
2019-07,23622.353661656296
2019-08,23138.31890169691
2019-09,24085.61306676796
2019-10,24935.83283591346
2019-11,25652.098078279672
2019-12,25676.575012209396
2020-01,25159.051620555198
2020-02,23043.49258521384
2020-03,19255.65314459802
2020-04,21049.85309963643
2020-05,22455.309731083187
2020-06,23858.576423073046
2020-07,23863.285761905132
2020-08,25088.140218141223
2020-09,24730.288606888425
2020-10,22396.452685679735
2020-11,25758.261691951102
2020-12,26586.989046426716
2021-01,26032.89560384189
2021-02,27118.873014519493
2021-03,29086.155706633384
2021-04,29333.386305320197
2021-05,29917.886960364034
2021-06,30099.148055411282
2021-07,30125.020348994953
2021-08,30688.39680927759
