Date,MSCI USA Small Cap Value Weighted
1994-11,10000
1994-12,10405.099244598385
1995-01,10164.392842717507
1995-02,10499.145223713647
1995-03,10216.284937797574
1995-04,10267.996649593251
1995-05,10650.536711029526
1995-06,10993.703951759711
1995-07,11438.66326411275
1995-08,12050.395098478413
1995-09,12379.943546898226
1995-10,11668.038761648057
1995-11,12155.934154511075
1995-12,12592.647755390042
1996-01,12775.38420250754
1996-02,13158.677508379891
1996-03,13540.76615249641
1996-04,14267.2757480695
1996-05,14924.678016771151
1996-06,14440.285069876407
1996-07,13238.349002386638
1996-08,13812.329958218374
1996-09,14420.1869163486
1996-10,14398.087142059507
1996-11,14848.566160629925
1996-12,15484.569646680082
1997-01,16305.59912202381
1997-02,16885.11352256061
1997-03,16436.091103159368
1997-04,16566.653450333455
1997-05,18170.619839034207
1997-06,19537.860744869075
1997-07,21160.001296599385
1997-08,22281.404588048263
1997-09,23356.18699389855
1997-10,22133.428234978543
1997-11,21663.59167702952
1997-12,22576.47929490062
1998-01,22786.477937252745
1998-02,24435.5204333058
1998-03,25613.051255873957
1998-04,25719.427511668346
1998-05,24188.34860310022
1998-06,24126.58167392884
1998-07,22408.570884440403
1998-08,18355.95155052107
1998-09,18361.39107732182
1998-10,18386.28764456278
1998-11,19858.728679051455
1998-12,20527.47237495747
1999-01,21250.877598383697
1999-02,20145.148275549105
1999-03,20673.3461645876
1999-04,23018.45413041427
1999-05,23846.648301453708
1999-06,25156.277302478702
1999-07,23830.687864222935
1999-08,23102.81859264164
1999-09,22509.77370839194
1999-10,22587.46858509519
1999-11,24190.759453302966
1999-12,25470.301148715906
2000-01,25193.051996731694
2000-02,26000.83883878938
2000-03,27571.145003663773
2000-04,28049.031797468364
2000-05,26637.060090293457
2000-06,26641.405874843033
2000-07,27988.534125283997
2000-08,30744.943918706496
2000-09,30715.543262977753
2000-10,31335.490089105388
2000-11,29147.125140488257
2000-12,29713.531275658257
2001-01,32883.97490584311
2001-02,31745.197283737034
2001-03,32016.001718750005
2001-04,33876.65501577288
2001-05,37129.19384669812
2001-06,38148.69179245284
2001-07,36466.84934780126
2001-08,34402.98982747326
2001-09,29886.13037783375
2001-10,31449.515901349267
2001-11,34536.379134637
2001-12,39416.13931918757
2002-01,40472.736505731154
2002-02,40466.126780719
2002-03,43880.581215038976
2002-04,43585.32702486679
2002-05,40533.082196654956
2002-06,35719.2039679198
2002-07,31405.67493406931
2002-08,31305.477534831694
2002-09,28502.592872210953
2002-10,29139.528083941612
2002-11,31414.603126825838
2002-12,28518.7248784209
2003-01,27032.339245562136
2003-02,26200.103016138004
2003-03,26308.043957778802
2003-04,29197.893168628158
2003-05,30353.415719844365
2003-06,32120.04304716899
2003-07,33623.82493726807
2003-08,36423.10171318752
2003-09,33785.85193443186
2003-10,36609.568193082094
2003-11,36884.89872602968
2003-12,36532.85847822645
2004-01,38405.16301679587
2004-02,39140.21354968594
2004-03,40155.877241492155
2004-04,39295.326811751904
2004-05,39154.225092638146
2004-06,40884.072666392436
2004-07,39527.8431381344
2004-08,39343.10796796301
2004-09,39650.77732452253
2004-10,39312.568141634605
2004-11,40839.25384129373
2004-12,41395.113483591515
2005-01,41976.47161181435
2005-02,42278.51471071886
2005-03,42570.85520209812
2005-04,40737.35294126727
2005-05,45647.516410672295
2005-06,48123.86953026795
2005-07,50781.98327296783
2005-08,49454.19539760617
2005-09,49857.971868460394
2005-10,48096.98565915329
2005-11,51103.04289064492
2005-12,50985.8413478003
2006-01,52727.44385707213
2006-02,53545.11666694736
2006-03,54292.714036682104
2006-04,52864.57647762623
2006-05,49621.65360428972
2006-06,50109.68732793204
2006-07,48676.64289809666
2006-08,49351.40397011906
2006-09,50749.93776303319
2006-10,53020.426304347835
2006-11,52768.89487727272
2006-12,53244.22271526197
2007-01,55698.2645144357
2007-02,54838.1473771857
2007-03,54965.218804625314
2007-04,55405.91517089305
2007-05,58598.54729205383
2007-06,57091.501129951874
2007-07,52299.635867804776
2007-08,52410.882822327614
2007-09,51108.01479935116
2007-10,50887.01506887243
2007-11,46429.4761750559
2007-12,45938.380436111685
2008-01,44047.97827572293
2008-02,41293.77657677854
2008-03,39255.513310144204
2008-04,41877.59733848134
2008-05,43586.19419654373
2008-06,37731.81433138798
2008-07,39065.631921081294
2008-08,43528.12099219545
2008-09,40800.503062294636
2008-10,35727.686777455514
2008-11,32536.444693957732
2008-12,31826.457920528857
2009-01,30640.05543695381
2009-02,26625.356191078776
2009-03,28830.304220018035
2009-04,37216.13561280603
2009-05,38358.61883529579
2009-06,38186.11672421113
2009-07,42563.286640260296
2009-08,45406.20745936099
2009-09,47398.26771426621
2009-10,43542.05760135136
2009-11,44528.02391399854
2009-12,50067.526594474526
2010-01,50381.91141772878
2010-02,54447.88877966102
2010-03,59311.843727279476
2010-04,63808.91240255352
2010-05,63234.829979686365
2010-06,58310.148131366645
2010-07,59116.53805188825
2010-08,56560.86113406941
2010-09,58659.72309495897
2010-10,60087.37425272426
2010-11,66135.8027450377
2010-12,69755.16990270918
2011-01,68792.85173970203
2011-02,71467.48871331503
2011-03,70768.76728232561
2011-04,69094.00948183042
2011-05,70052.75372957945
2011-06,68267.84515187159
2011-07,66694.50632258065
2011-08,60152.66006643598
2011-09,57047.70475301785
2011-10,63181.70056281696
2011-11,65841.26275748994
2011-12,68630.51323904475
2012-01,72033.27445810565
2012-02,73120.76701777877
2012-03,74907.67109613659
2012-04,74841.51792946876
2012-05,74003.85281464164
2012-06,75735.51419380463
2012-07,76455.55533865192
2012-08,77356.42748077076
2012-09,77814.69809435421
2012-10,76933.43313938276
2012-11,78238.10727706761
2012-12,79810.35864938611
2013-01,83343.4469195572
2013-02,86878.12826567143
2013-03,93688.84471846937
2013-04,92126.09602203185
2013-05,96709.85992618793
2013-06,95077.45482721712
2013-07,100121.23585988702
2013-08,96982.76532225161
2013-09,100501.75627545355
2013-10,103306.31787845465
2013-11,107012.77207111896
2013-12,108092.14340946994
2014-01,106853.04216928087
2014-02,109641.37095055384
2014-03,111096.60434290688
2014-04,108851.5317256318
2014-05,111821.81098111268
2014-06,116334.15465807587
2014-07,113201.59535989237
2014-08,120343.23941916895
2014-09,118460.77740920291
2014-10,123930.39203129993
2014-11,124609.27275654892
2014-12,129870.30239518986
2015-01,133894.51704909335
2015-02,143481.5830836299
2015-03,151326.73982340368
2015-04,143464.03463218905
2015-05,148354.70596353695
2015-06,143305.09773527572
2015-07,142549.94678216468
2015-08,132962.91649041465
2015-09,126465.20699276979
2015-10,136514.1417118998
2015-11,144671.8275205596
2015-12,132148.42112427668
2016-01,121777.87113736264
2016-02,124500.9646326231
2016-03,131301.3345858586
2016-04,135576.111346137
2016-05,138769.68405056486
2016-06,138446.99275626012
2016-07,145521.80310627198
2016-08,147090.80066115703
2016-09,147732.42211808977
2016-10,144755.79088251418
2016-11,167260.131738599
2016-12,173743.00413622998
2017-01,171302.68762064158
2017-02,176059.57701802396
2017-03,172650.57588625947
2017-04,168767.05008600184
2017-05,159795.2621727119
2017-06,161238.2402961795
2017-07,158290.37743327365
2017-08,153735.21432050742
2017-09,163423.8037048958
2017-10,166557.4423715415
2017-11,168433.05210735084
2017-12,167858.2882831652
2018-01,164734.34580396567
2018-02,159165.83805305386
2018-03,159196.60683061442
2018-04,164260.63450120043
2018-05,178153.47773484918
2018-06,180847.69765311378
2018-07,183528.08715235177
2018-08,189790.77855978033
2018-09,187209.71576537666
2018-10,173705.91243505926
2018-11,175326.35521260675
2018-12,151478.49860786027
2019-01,170225.25543349583
2019-02,178366.2998545901
2019-03,176518.43065954608
2019-04,183709.76702264222
2019-05,166343.9117029863
2019-06,175209.58775922676
2019-07,179640.18583804145
2019-08,170198.5395541863
2019-09,181243.2700596933
2019-10,180411.4445275238
2019-11,189063.36233108724
2019-12,192977.82810753075
2020-01,184369.92411690197
2020-02,166205.96277307102
2020-03,119926.9873640015
2020-04,141199.1724383965
2020-05,145543.3080172414
2020-06,150354.42087515633
2020-07,145580.22488352467
2020-08,153519.78242881075
2020-09,148630.18262897164
2020-10,155363.8736330997
2020-11,183736.39254590985
2020-12,193753.07215874825
2021-01,208497.06704350695
2021-02,228250.62432637575
2021-03,251649.7583317697
2021-04,252245.76181095853
2021-05,258984.49349233674
2021-06,262649.603550993
2021-07,256548.16170212766
2021-08,263584.9167990536
2021-09,264445.4603834528
2021-10,273858.79650322034
2021-11,271868.59535686
2021-12,286278.33503796573
2022-01,278768.67278953036
2022-02,282983.7561460845
2022-03,288220.85716962436
2022-04,283413.3094174573
2022-05,285887.29972743406
2022-06,264101.75939539814
2022-07,296278.7946263973
2022-08,293980.37834000005
2022-09,270773.86459171114
2022-10,299514.9540851322
2022-11,300565.4021222051
2022-12,274608.31860491284
2023-01,301967.09796178347
2023-02,302113.7910726057
2023-03,274767.92990896554
2023-04,268567.19587833533
2023-05,267103.4983806047
2023-06,289600.19180747285
