Date,MSCI Emerging Markets
1987-12,10000
1988-01,11100.47162367223
1988-02,11461.291863905324
1988-03,12521.24277606616
1988-04,13112.040735068915
1988-05,13639.024029304032
1988-06,14627.42142857143
1988-07,14975.041011086476
1988-08,14901.700172304343
1988-09,15753.07362924282
1988-10,15265.137565858799
1988-11,14598.68405161508
1988-12,15003.067021276594
1989-01,15401.735235252812
1989-02,16786.342961251332
1989-03,18582.71090632549
1989-04,22232.787692307695
1989-05,23500.9133339589
1989-06,21022.225105082158
1989-07,21428.557606212882
1989-08,22265.66281313787
1989-09,25457.010833725857
1989-10,24842.337388939257
1989-11,23345.781876675603
1989-12,25118.135784061695
1990-01,25185.059790384297
1990-02,25826.91475006156
1990-03,22724.356101227764
1990-04,24052.30334762533
1990-05,25603.59185659826
1990-06,26667.845173934344
1990-07,28143.650463292946
1990-08,23473.035872198667
1990-09,20509.82507204611
1990-10,19539.270185512363
1990-11,18153.440453167845
1990-12,19144.44134053738
1991-01,20743.686824769436
1991-02,23416.594515223493
1991-03,26535.330930742715
1991-04,28244.275177422016
1991-05,30867.908128449577
1991-06,30875.518511450384
1991-07,32518.570798228087
1991-08,32473.225382263
1991-09,30366.8823062944
1991-10,31564.328840125396
1991-11,29932.29190820297
1991-12,32238.122758726746
1992-01,36223.65491289199
1992-02,38668.3047008547
1992-03,41045.35217355976
1992-04,40392.63990659473
1992-05,39478.46111681542
1992-06,34544.52682215744
1992-07,33258.98393861892
1992-08,30908.605057340268
1992-09,31731.274420638383
1992-10,34819.055305905575
1992-11,36700.489129731475
1992-12,37754.88433559651
1993-01,38678.38220024722
1993-02,40306.8375
1993-03,41844.765303004584
1993-04,41350.578732475195
1993-05,42607.485477110225
1993-06,45151.18888512942
1993-07,48309.35912177056
1993-08,52788.82278098624
1993-09,52544.058919887386
1993-10,57930.634596460935
1993-11,62118.89202269101
1993-12,72354.82533888545
1994-01,74670.19040948278
1994-02,73059.72934967352
1994-03,65074.81624178713
1994-04,63958.065419082755
1994-05,64725.34054332874
1994-06,61919.19834235453
1994-07,63742.24313114755
1994-08,71735.80221565731
1994-09,71773.59483682415
1994-10,69131.97204968944
1994-11,66512.037837401
1994-12,62421.077931716965
1995-01,54639.949511269086
1995-02,52655.84582933845
1995-03,50931.329672861306
1995-04,52198.03594456163
1995-05,55824.329876089956
1995-06,55522.30439927184
1995-07,56108.94971137266
1995-08,56446.10546072449
1995-09,56898.94907298756
1995-10,53869.593361571046
1995-11,53023.258207918494
1995-12,56251.91600156801
1996-01,60981.89733375655
1996-02,60357.15624900241
1996-03,60788.451491465945
1996-04,63757.96071428571
1996-05,64243.23404705691
1996-06,64143.07386703287
1996-07,58851.26749403341
1996-08,59810.475206937335
1996-09,60851.49217557251
1996-10,59412.83632447953
1996-11,59633.0211968504
1996-12,61228.55589537224
1997-01,67183.88973214285
1997-02,73113.5041325166
1997-03,72019.34976435678
1997-04,72539.08831168832
1997-05,74386.72331379581
1997-06,79248.1377388535
1997-07,82669.0031096563
1997-08,74207.37301038062
1997-09,74263.34255532283
1997-10,60950.89200643777
1997-11,57518.353078203
1997-12,60493.72218724704
1998-01,57031.48136903119
1998-02,62845.412007711384
1998-03,65814.32496084033
1998-04,64656.53191177816
1998-05,54946.140410958906
1998-06,49539.67483660131
1998-07,51231.3137033667
1998-08,36269.79267784323
1998-09,36771.157477321816
1998-10,39141.80467592978
1998-11,43623.963564763304
1998-12,42717.47567199728
1999-01,43401.64158468025
1999-02,45279.56770738791
1999-03,52563.69350214113
1999-04,59875.14088893083
1999-05,60329.542482785
1999-06,68009.00141363284
1999-07,63897.13858238264
1999-08,65216.39177149343
1999-09,62465.791729957804
1999-10,65089.716138907505
1999-11,73426.66160245618
1999-12,83185.24963169421
2000-01,85860.4465529568
2000-02,87683.98721432983
2000-03,89596.89006594787
2000-04,85281.69219592736
2000-05,79840.17020316028
2000-06,80464.26473419841
2000-07,78910.68899707886
2000-08,82299.30855602966
2000-09,76321.59402167711
2000-10,73714.7742663657
2000-11,65201.32330723169
2000-12,62319.012122514774
2001-01,70991.89482406112
2001-02,65751.54134948099
2001-03,62086.26644021739
2001-04,64831.07818837313
2001-05,68668.54259433963
2001-06,67258.99443396227
2001-07,61029.71444888635
2001-08,57768.591286307055
2001-09,48971.57590625342
2001-10,52522.63676177837
2001-11,58944.9145650708
2001-12,64237.320980369914
2002-01,67767.53956234804
2002-02,68769.39241706161
2002-03,72295.9107977992
2002-04,70471.03627886323
2002-05,66548.28513902206
2002-06,57927.15771428571
2002-07,54571.81398344067
2002-08,55130.928668768436
2002-09,49048.11036511156
2002-10,52209.55218978102
2002-11,55449.17280145058
2002-12,50744.265490607424
2003-01,48986.51671597633
2003-02,47814.67996661102
2003-03,45977.05173015145
2003-04,49010.68930015273
2003-05,49457.95883945187
2003-06,54083.86264111315
2003-07,58024.482081639864
2003-08,64134.71509105884
2003-09,60585.09747682801
2003-10,65910.4418688694
2003-11,64651.031015507746
2003-12,65846.38646080761
2004-01,69539.37034883721
2004-02,72548.0375261717
2004-03,74646.38491492147
2004-04,70132.73225077425
2004-05,67336.74953271027
2004-06,67883.63486631017
2004-07,67325.81774233741
2004-08,69727.0819915779
2004-09,71983.09836409059
2004-10,71809.48786998507
2004-11,75167.80571643476
2004-12,76900.85052492475
2005-01,80612.33855005752
2005-02,86222.35342837746
2005-03,82362.27398950941
2005-04,80210.3630470016
2005-05,87249.79691833588
2005-06,92045.60621898776
2005-07,98550.4151327214
2005-08,98581.58971962618
2005-09,109170.12047832587
2005-10,102198.7053979872
2005-11,113048.74366556207
2005-12,119461.2899720268
2006-01,129357.54603069814
2006-02,131878.22976000002
2006-03,130542.9879378718
2006-04,135028.48528356064
2006-05,117799.22098228164
2006-06,118982.63663966018
2006-07,120221.7221116942
2006-08,122538.6931445024
2006-09,125433.02488151657
2006-10,131024.81441398867
2006-11,135407.57809090908
2006-12,141840.00232346242
2007-01,142748.52950440018
2007-02,139160.76301566878
2007-03,143572.4474245382
2007-04,147231.63850055126
2007-05,156166.98995019696
2007-06,162924.021369863
2007-07,169075.88509520682
2007-08,165562.23992703395
2007-09,177713.77910995134
2007-10,193881.7553678964
2007-11,176314.51457218349
2007-12,177428.40354595476
2008-01,153781.84095494283
2008-02,161954.0131865234
2008-03,147140.76321780926
2008-04,161890.42285714287
2008-05,165281.16588857365
2008-06,146398.52808931743
2008-07,142373.9953494331
2008-08,138839.24143875128
2008-09,118016.88560441867
2008-10,96125.56494473624
2008-11,89105.85484403238
2008-12,87864.60426816125
2009-01,89290.08370786517
2009-02,85414.2998418222
2009-03,92826.04706943191
2009-04,108556.64040677967
2009-05,119744.91509433962
2009-06,117854.72198952879
2009-07,131154.35118121377
2009-08,129492.74777186099
2009-09,137688.79360786724
2009-10,136409.265
2009-11,140163.74973041334
