Date,MSCI World Minimum Volatility (USD)
2005-05,44928.247234712726
2005-06,46460.805629649156
2005-07,47580.7540477219
2005-08,47355.82355862535
2005-09,48828.00476294366
2005-10,47657.68113924338
2005-11,49758.300374151106
2005-12,50497.3928055457
2006-01,50544.576362577434
2006-02,51973.01420857803
2006-03,51558.88486435906
2006-04,50763.30223300532
2006-05,48363.780161336355
2006-06,49198.699532780025
2006-07,50098.92587767901
2006-08,51197.27146856409
2006-09,52484.72783432873
2006-10,53915.14421142482
2006-11,53340.13234790394
2006-12,54820.975210474266
2007-01,56539.754386162575
2007-02,55364.19042754022
2007-03,55699.04317864141
2007-04,56527.76523828709
2007-05,57940.76252623712
2007-06,56007.2672102171
2007-07,53697.06215431773
2007-08,54505.65118070177
2007-09,54829.924767055374
2007-10,55144.111793295255
2007-11,52828.253238064164
2007-12,52049.400041189176
2008-01,48932.698704744835
2008-02,47441.38230581598
2008-03,45165.68588152329
2008-04,47255.54323824088
2008-05,47907.33211237624
2008-06,44109.703986608525
2008-07,44615.38651270354
2008-08,47291.482123723945
2008-09,45736.371196695465
2008-10,43163.82667076695
2008-11,41787.676890264025
2008-12,38962.24998429725
2009-01,39283.23704667733
2009-02,35909.32110422151
2009-03,35414.76067881699
2009-04,38084.63047531124
2009-05,38363.20941799786
2009-06,38776.15731541204
2009-07,41438.10301665707
2009-08,42214.854926117754
2009-09,42703.59719981786
2009-10,41115.12096774193
2009-11,42239.6845922978
2009-12,44106.9299027309
2010-01,44398.86685268287
2010-02,46367.181359205664
2010-03,48289.446967743344
2010-04,48775.51185199851
2010-05,49523.91824266946
2010-06,49968.06873417573
2010-07,49238.68287664432
2010-08,50779.27668386446
2010-09,49932.983824277464
2010-10,50507.147158421474
2010-11,52667.9591550675
2010-12,53620.83028297726
2011-01,52180.26369256374
2011-02,53151.54127265368
2011-03,51978.96038783958
2011-04,51890.01005907062
2011-05,54080.94865420914
2011-06,53309.04896267824
2011-07,53501.966888164425
2011-08,52324.16430542416
2011-09,54188.32931509079
2011-10,54573.550824975064
2011-11,56452.7777163071
2011-12,59823.76977146435
2012-01,59325.448115967774
2012-02,59498.99727192939
2012-03,60817.78103579018
2012-04,62032.05791083236
2012-05,63168.144358657875
2012-06,64887.741431970084
2012-07,68006.49422173809
2012-08,66713.66100859377
2012-09,66203.6727811308
2012-10,65316.505037105984
2012-11,65419.43801924588
2012-12,63870.83348513784
2013-01,65094.38924376684
2013-02,68914.82816306915
2013-03,74315.18487250588
2013-04,75014.53110375711
2013-05,71841.25121176224
2013-06,71112.43410208423
2013-07,72322.61683352901
2013-08,70592.74945225
2013-09,71491.02217415215
2013-10,73358.00236631866
2013-11,73531.65310269274
2013-12,72965.88260059012
2014-01,72438.25387814258
2014-02,73726.11536027247
2014-03,74697.3071953102
2014-04,75531.45323563831
2014-05,78055.52364804533
2014-06,79082.29035256832
2014-07,79857.57867171805
2014-08,83461.40903357169
2014-09,85468.86980864826
2014-10,88488.14125372146
2014-11,90641.4391472985
2014-12,92878.07791109147
2015-01,101216.8629552074
2015-02,104863.96426355124
2015-03,108977.43850179616
2015-04,105703.60738609078
2015-05,107622.67449336612
2015-06,103266.83791150739
2015-07,108782.69673329395
2015-08,101802.59239155933
2015-09,100694.51046213492
2015-10,108525.08816838857
2015-11,111897.51937013995
2015-12,109608.01281803743
2016-01,107494.94728318349
2016-02,110144.04982819154
2016-03,111364.65781849953
2016-04,112383.71878569903
2016-05,114750.43787188486
2016-06,120233.9909818727
2016-07,122473.43992471835
2016-08,118787.97342091525
2016-09,118704.40459611594
2016-10,116993.91793355449
2016-11,118678.2186927313
2016-12,122466.07662803514
2017-01,122249.3171242773
2017-02,128211.85894209804
2017-03,127692.53392161652
2017-04,126266.23798360124
2017-05,126662.78057931433
2017-06,123874.45533133038
2017-07,122878.94147480509
2017-08,122930.62330411214
2017-09,123430.2884290208
2017-10,127026.87029153937
2017-11,128332.19642157646
2017-12,127061.38063229021
2018-01,126045.48013755366
2018-02,123427.57654738512
2018-03,122337.06761469402
2018-04,124958.59147948488
2018-05,129314.06180438027
2018-06,130703.82768024066
2018-07,133991.95094498317
2018-08,137123.10458152738
2018-09,139754.80695348096
2018-10,136451.27833113374
2018-11,139951.3390305127
2018-12,131199.04048769278
2019-01,137545.15490849945
2019-02,142687.0031361904
2019-03,148128.3508453718
2019-04,149896.72417348542
2019-05,149457.31733277164
2019-06,153512.76247607992
2019-07,157421.301504002
2019-08,161853.064074327
2019-09,165786.44430294857
2019-10,163276.55463587178
2019-11,166830.31836216582
2019-12,165771.75409268832
2020-01,171843.6198403375
2020-02,159162.97408691712
2020-03,143777.1784912594
2020-04,155449.64512949105
2020-05,156067.6523871298
2020-06,154848.9331178728
2020-07,152082.65123656925
2020-08,154656.0064335426
2020-09,155221.8895682026
2020-10,150400.8334865443
2020-11,157192.9560019387
2020-12,156706.14728456739
2021-01,155429.6327730895
2021-02,153132.37272123576
2021-03,166273.11489222318
2021-04,166227.07358390326
2021-05,167566.03091371304
2021-06,173830.1669548763
2021-07,178437.20933149118
2021-08,182579.30189731528
2021-09,178241.3026967071
2021-10,182742.60340670444
2021-11,183582.92426089238
2021-12,194979.19116575227
2022-01,187051.65889358814
2022-02,183111.7808540972
2022-03,193346.8431781911
2022-04,193835.2174191993
2022-05,189427.62833417323
2022-06,186932.03127223413
2022-07,197275.75710348113
2022-08,195306.56944077206
2022-09,186668.33655161902
2022-10,194228.19565622896
2022-11,196956.13097647438
2022-12,187822.7469242277
2023-01,188412.161390346
2023-02,185401.98905180732
2023-03,188442.54494976206
2023-04,191720.59120036237
2023-05,189368.52283708088
2023-06,191978.55357821245
