Date,MSCI World Minimum Volatility (USD)
1988-05,10000
1988-06,10289.103902021896
1988-07,10939.073549465846
1988-08,10667.30640770836
1988-09,10873.312491367444
1988-10,11049.661609063844
1988-11,10932.677499032518
1988-12,11012.349757248781
1989-01,11911.956901528307
1989-02,11958.298591091296
1989-03,12187.26704114984
1989-04,12684.480155306299
1989-05,13134.62993862712
1989-06,13502.880217709655
1989-07,14003.631671530093
1989-08,14087.476374671398
1989-09,14805.729045883354
1989-10,14123.949834785471
1989-11,14264.824569393899
1989-12,14287.601626361642
1990-01,13312.934596220168
1990-02,12846.682047089656
1990-03,12507.192155711005
1990-04,11868.225792498557
1990-05,12697.08752433448
1990-06,12803.900873901519
1990-07,12764.302471134417
1990-08,11013.703893442622
1990-09,10087.538171163382
1990-10,10770.333875312292
1990-11,10210.211045854612
1990-12,10377.020829961279
1991-01,10628.50990389258
1991-02,11382.457795401073
1991-03,12125.322185396826
1991-04,12881.346710632944
1991-05,13135.668868671231
1991-06,13224.566784328666
1991-07,13755.785842739197
1991-08,13243.189462155358
1991-09,13248.767164286422
1991-10,13437.479605371129
1991-11,12598.439673871346
1991-12,12950.511306033506
1992-01,12657.670802646682
1992-02,12751.997767201361
1992-03,12487.387695956826
1992-04,12651.956398775541
1992-05,12842.301273296398
1992-06,12443.884420435768
1992-07,11989.653253870467
1992-08,11767.847188757885
1992-09,11855.416095723716
1992-10,12177.603051200076
1992-11,13022.090310852835
1992-12,13254.593336666458
1993-01,13603.968181856808
1993-02,14420.11260386593
1993-03,15183.999006026186
1993-04,15262.687806257634
1993-05,15433.97501562188
1993-06,15855.223325887857
1993-07,17095.258412345967
1993-08,17841.0878143118
1993-09,16933.374281297165
1993-10,17663.458527513852
1993-11,17164.433069562
1993-12,17942.638971342247
1994-01,19013.86553493522
1994-02,18611.22243186673
1994-03,17545.16548579585
1994-04,17903.75359051713
1994-05,17527.370859904695
1994-06,17190.66496064883
1994-07,16983.552415562066
1994-08,17325.499899625607
1994-09,16921.527104123074
1994-10,16853.757357505805
1994-11,16572.594067075013
1994-12,17188.185843003306
1995-01,16601.29177887749
1995-02,16689.031561547275
1995-03,16821.18072913422
1995-04,16984.72382859198
1995-05,17603.739431776183
1995-06,17512.391591048457
1995-07,17855.74574585547
1995-08,18175.146399854886
1995-09,18889.513195448588
1995-10,18520.23799427277
1995-11,18986.13168707526
1995-12,20071.41176166955
1996-01,20806.515265890404
1996-02,20839.941253630102
1996-03,20974.737815022236
1996-04,21578.71802510469
1996-05,21926.659298817205
1996-06,21940.429537190226
1996-07,21012.594436780677
1996-08,21100.096767210693
1996-09,21724.52802402955
1996-10,22025.424086322673
1996-11,22912.69233511827
1996-12,23348.999150907566
1997-01,24011.461569606025
1997-02,25292.407287337624
1997-03,25031.972340132805
1997-04,25445.001080866696
1997-05,26882.859853115424
1997-06,28167.683932565247
1997-07,29869.64955781585
1997-08,28938.387949499473
1997-09,29869.338636020067
1997-10,28257.600636584975
1997-11,28308.21426666078
1997-12,30046.200637195918
1998-01,31234.85944140592
1998-02,32757.491848500067
1998-03,34624.96402820384
1998-04,34281.526447303746
1998-05,33667.8388160516
1998-06,33962.09939885526
1998-07,33785.45098808638
1998-08,30655.747064709492
1998-09,30126.055428521828
1998-10,31165.352686775816
1998-11,32972.06467202272
1998-12,34345.96074257298
1999-01,35076.958594693286
1999-02,35072.84450957085
1999-03,36640.98839656454
1999-04,38704.15181474037
1999-05,38684.9072971849
1999-06,39444.73600962466
1999-07,38600.10861927845
1999-08,38533.248068513916
1999-09,38052.13862801143
1999-10,40058.73112152238
1999-11,41526.97823706556
1999-12,43657.95520141985
2000-01,42560.3316277411
2000-02,41563.179143901616
2000-03,45018.38934577076
2000-04,46668.16695659158
2000-05,45223.0996027279
2000-06,44886.09142129481
2000-07,45798.7724163091
2000-08,48782.166395972126
2000-09,49971.5563151844
2000-10,52044.1375608981
2000-11,49873.359359414426
2000-12,47716.92114092291
2001-01,46290.84900779676
2001-02,45566.822393259186
2001-03,45603.74411004357
2001-04,47177.25162212006
2001-05,49861.26210035994
2001-06,48767.7442779165
2001-07,47441.046832496715
2001-08,44792.40031183561
2001-09,42542.35570045406
2001-10,42613.35031750298
2001-11,44650.133036479354
2001-12,45329.47481990063
2002-01,45030.038048366805
2002-02,45674.802487658046
2002-03,46721.27141151127
2002-04,45182.590869928885
2002-05,43985.412843955295
2002-06,39969.002755434325
2002-07,37853.24370340892
2002-08,38082.32443466385
2002-09,34984.95356527611
2002-10,35896.447787879195
2002-11,36368.34940810912
2002-12,34449.80146089563
2003-01,32391.92842074554
2003-02,31983.53543363741
2003-03,31819.740569626567
2003-04,33181.875219401685
2003-05,32915.43208437943
2003-06,34325.94364269045
2003-07,34631.735969687055
2003-08,36389.141402293
2003-09,34944.74128017641
2003-10,36324.530671602326
2003-11,36014.71668872511
2003-12,36050.03962230142
2004-01,37179.23429371687
2004-02,37870.283315556924
2004-03,39024.31754752551
2004-04,39078.92207029575
2004-05,38701.22958623224
2004-06,39612.73072278764
2004-07,39231.179177324666
2004-08,39753.49472626748
2004-09,39439.33540298173
2004-10,39408.55487570678
2004-11,39821.04001227882
2004-12,40367.36581800017
2005-01,41202.52365849013
2005-02,41759.87614447683
2005-03,42258.288486841724
2005-04,42331.10118346136
