Date,MSCI USA Value
1978-12,10000
1979-01,10684.368317999555
1979-02,10421.867279397264
1979-03,11014.612497632674
1979-04,11141.993464109531
1979-05,11051.956733539124
1979-06,11514.671973012188
1979-07,11282.08549635467
1979-08,11789.229807730895
1979-09,11701.042482043631
1979-10,10937.903947616358
1979-11,11245.375540966848
1979-12,11092.296424358025
1980-01,11690.452682040977
1980-02,11758.742145903883
1980-03,11470.493292238054
1980-04,12265.138748498372
1980-05,12355.792042993045
1980-06,12513.99677320786
1980-07,13025.245079114382
1980-08,13353.79567677354
1980-09,13464.517422192535
1980-10,14037.915139081486
1980-11,15737.323628090378
1980-12,15876.621754200396
1981-01,15665.589952574148
1981-02,16901.59123918258
1981-03,17819.073139725777
1981-04,18464.703694066167
1981-05,19757.534362130686
1981-06,20526.48395776853
1981-07,20922.005334135185
1981-08,20376.690934038354
1981-09,18780.251085305903
1981-10,18787.807303424215
1981-11,19372.73693422689
1981-12,19114.01315668604
1982-01,19259.927981540874
1982-02,19163.796290878337
1982-03,19573.781131296895
1982-04,20429.880636724018
1982-05,19167.32619693684
1982-06,20081.17147001272
1982-07,19931.955299026475
1982-08,22565.4147512071
1982-09,22815.345171038123
1982-10,25689.810481654287
1982-11,26832.545560802482
1982-12,26109.047620683836
1983-01,27344.528487758962
1983-02,28286.862683043975
1983-03,29536.57654502003
1983-04,32595.573121716
1983-05,32549.544329449658
1983-06,34235.765113515714
1983-07,34180.10370867479
1983-08,36467.340962432936
1983-09,36730.49755131211
1983-10,36024.674555999656
1983-11,37883.47514252652
1983-12,38614.73172791963
1984-01,40000.25866710454
1984-02,37301.60668118067
1984-03,36657.191361351455
1984-04,37860.24024583054
1984-05,36678.82147571535
1984-06,37005.896150348686
1984-07,37835.50619617572
1984-08,42682.548909108955
1984-09,45659.68627446026
1984-10,46256.41924029771
1984-11,45048.009534708006
1984-12,48057.49631032773
1985-01,52703.463335876186
1985-02,55502.341758894785
1985-03,56098.520668464735
1985-04,52889.21370176793
1985-05,56563.11656424695
1985-06,56498.971512759985
1985-07,53006.36393961428
1985-08,50975.57294160603
1985-09,49977.699909364586
1985-10,49378.18935181478
1985-11,50902.74443622236
1985-12,51656.04683161232
1986-01,51084.794401950334
1986-02,52684.37912017365
1986-03,53683.94817335121
1986-04,52471.75914854037
1986-05,54051.62726600684
1986-06,54731.76248991728
1986-07,50668.470863523544
1986-08,53992.56182233977
1986-09,49962.45463178923
1986-10,52261.61846215771
1986-11,54112.09199119035
1986-12,51603.28308397029
1987-01,54521.70391784641
1987-02,53953.35228522626
1987-03,55684.786438771866
1987-04,54532.116335046034
1987-05,54225.03120879535
1987-06,58022.02396354348
1987-07,61449.54036687307
1987-08,63639.81862437098
1987-09,60876.847525758094
1987-10,48193.031810323475
1987-11,41932.58027739539
1987-12,43205.792492850305
1988-01,47025.27397375999
1988-02,49982.88456790979
1988-03,47840.928517440734
1988-04,48580.39937037885
1988-05,49810.14093779121
1988-06,54388.419002061935
1988-07,57150.0753118666
1988-08,56292.258863295385
1988-09,57999.79044237
1988-10,58459.670162409886
1988-11,55358.04967562649
1988-12,56167.30636447115
1989-01,62910.79959970265
1989-02,61914.45895090071
1989-03,63322.20517809484
1989-04,66486.77241653946
1989-05,71442.22840415168
1989-06,72654.81268962292
1989-07,74403.2024004773
1989-08,76954.83050229968
1989-09,77629.74102824609
1989-10,72333.42434903602
1989-11,72279.53941535008
1989-12,71150.76936867152
1990-01,65067.05666205764
1990-02,65840.5570065607
1990-03,67522.37145860256
1990-04,64500.19586806563
1990-05,68258.2904215539
1990-06,67210.50609270303
1990-07,65303.72938501422
1990-08,57005.41973946195
1990-09,54545.52658160733
1990-10,52510.953695811484
1990-11,55032.16215908678
1990-12,57147.59515419467
1991-01,60117.12951392209
1991-02,62565.837686751984
1991-03,68889.5797753782
1991-04,72901.13199904298
1991-05,76912.49218739697
1991-06,76085.71348665516
1991-07,79051.1693498162
1991-08,78348.69094900429
1991-09,75874.9302705106
1991-10,77351.26858206207
1991-11,70432.64217577972
1991-12,73635.61589240684
1992-01,73726.60737670164
1992-02,76880.4474731008
1992-03,77495.4664326332
1992-04,80677.68038686158
1992-05,79446.14735508755
1992-06,76858.42304945081
1992-07,76010.97663869539
1992-08,71783.2465476595
1992-09,74292.47965141648
1992-10,76989.45340614252
1992-11,83990.43020064548
1992-12,85285.44882264173
1993-01,89523.60438946835
1993-02,95086.08817541195
1993-03,98265.9922100305
1993-04,94638.55219129978
1993-05,96222.40256867622
1993-06,100630.93495488838
1993-07,106805.2048411114
1993-08,111445.7686912331
1993-09,107104.1646727742
1993-10,108215.35355046381
1993-11,109052.27709306279
1993-12,110897.56785679876
1994-01,117276.92033545095
1994-02,112512.73740862535
1994-03,106021.20373134356
1994-04,108476.80269776935
1994-05,107976.5845410706
1994-06,103710.01439008134
1994-07,103964.31453398343
1994-08,107135.35031369742
1994-09,102419.19403818584
1994-10,103036.667023481
1994-11,100517.82977250655
1994-12,103827.5998966357
1995-01,104731.32012809838
1995-02,107887.06654701343
1995-03,106429.78366880717
1995-04,107995.43824158168
1995-05,114149.97980032476
1995-06,114994.75424520437
1995-07,118064.210743221
1995-08,122640.88796050579
1995-09,128508.56820170576
