Date,MSCI Europe Small Cap Value Weighted
1994-11,10000
1994-12,10302.615258123044
1995-01,10035.624874384039
1995-02,10026.785866091403
1995-03,9880.793888803566
1995-04,9847.927497740286
1995-05,10244.08952118709
1995-06,10263.455870752428
1995-07,10505.74770972337
1995-08,10422.469097088131
1995-09,10770.123221466012
1995-10,10389.15703504043
1995-11,10148.46585938103
1995-12,10490.88189729518
1996-01,10660.06058720838
1996-02,11183.943141260974
1996-03,11398.61732812251
1996-04,11614.937911840412
1996-05,12053.855616706018
1996-06,11980.409039502385
1996-07,11599.999901352428
1996-08,11697.453866771779
1996-09,11695.78161100509
1996-10,12003.85582834809
1996-11,12217.727097637799
1996-12,12851.193226559357
1997-01,13438.09648313492
1997-02,14167.349269260634
1997-03,14689.735027055336
1997-04,14393.33125833626
1997-05,14883.699637826963
1997-06,15298.561622434538
1997-07,15713.967397708673
1997-08,16217.091530908074
1997-09,16695.941498952736
1997-10,16323.501101573676
1997-11,15701.488774848942
1997-12,16173.270938033998
1998-01,17030.046232404085
1998-02,18271.080576517037
1998-03,20082.227841149917
1998-04,20632.974038619934
1998-05,21200.23279560202
1998-06,20550.25304647785
1998-07,20349.566558689723
1998-08,17952.268723153604
1998-09,16261.616817278622
1998-10,16049.497021382813
1998-11,16868.163494563825
1998-12,16941.233295338552
1999-01,17168.174994729445
1999-02,17667.192445089855
1999-03,18422.42318004096
1999-04,19594.75504388034
1999-05,19652.742777352716
1999-06,20087.94536986832
1999-07,20042.88311763606
1999-08,20538.01948169867
1999-09,20185.944630098456
1999-10,20258.53333971109
1999-11,20897.660227790435
1999-12,22205.516215409123
2000-01,22577.27357777551
2000-02,23344.7853428042
2000-03,23688.936891028996
2000-04,23586.47843037975
2000-05,23130.17564871547
2000-06,23419.37476977815
2000-07,23957.619619171262
2000-08,24871.46211991916
2000-09,24759.138717626927
2000-10,24672.90627064275
2000-11,23982.804037309998
2000-12,23985.90522084901
2001-01,24904.89534273109
2001-02,24680.92510596886
2001-03,23849.525989583337
2001-04,24881.42897025688
2001-05,26006.062245283018
2001-06,24946.81574292453
2001-07,24190.102910336955
2001-08,23404.29007206814
2001-09,20230.22292191436
2001-10,21177.72739880557
2001-11,22691.92458979546
2001-12,23341.578994666972
2002-01,23528.551397475978
2002-02,23900.629166570343
2002-03,25140.41068775791
2002-04,25488.777861900533
2002-05,25227.312894428465
2002-06,22775.11921203008
2002-07,20764.022285597468
2002-08,20351.888906742603
2002-09,17848.1270831643
2002-10,18537.102524330898
2002-11,19514.671796111616
2002-12,18225.001121388388
2003-01,17312.159541420122
2003-02,16470.39996104619
2003-03,16165.838814134928
2003-04,18207.544488365827
2003-05,19350.907509727633
2003-06,20507.63908637438
2003-07,21793.327577310483
2003-08,23430.76408895397
2003-09,22912.725106419504
2003-10,24841.651440371712
2003-11,24872.885167583798
2003-12,24994.68641805226
2004-01,26927.088977713185
2004-02,28259.364140763413
2004-03,28234.838120091626
2004-04,28344.714857286348
2004-05,27830.767345466476
2004-06,28856.086558617855
2004-07,28122.56936124263
2004-08,27983.099592106348
2004-09,28688.474323474904
2004-10,28851.054022140223
2004-11,30363.804246709296
2004-12,31508.413758167535
2005-01,33507.9661173763
2005-02,34872.94126122049
2005-03,34570.7072230793
2005-04,33204.359320830445
2005-05,35308.93956370124
2005-06,36792.95106682104
2005-07,38525.614550566446
2005-08,39330.918265289394
2005-09,40740.71166583625
2005-10,38789.38697995509
2005-11,40882.94319313451
2005-12,43004.752950750204
2006-01,45686.30292787589
2006-02,47993.124296421054
2006-03,49642.97703073366
2006-04,50818.89380872618
2006-05,47635.43812869134
2006-06,47812.77391960985
2006-07,47510.60638364535
2006-08,49003.456834487595
2006-09,50766.6710078989
2006-10,53688.96927536233
2006-11,55150.87112878788
2006-12,58038.334996203506
2007-01,60073.11447120581
2007-02,59610.34705926881
2007-03,62485.49454122241
2007-04,64552.27937375966
2007-05,66216.757263064
2007-06,64926.47420659015
2007-07,63518.04311081929
2007-08,60757.36928566217
2007-09,59014.59848508359
2007-10,61216.00322281443
2007-11,54965.15543120386
2007-12,53391.23365939815
2008-01,47245.85425554808
2008-02,48099.32156524033
2008-03,46503.19330761448
2008-04,48121.936575289576
2008-05,48453.50566030436
2008-06,42439.56244481096
2008-07,40677.35116776633
2008-08,42367.22397149644
2008-09,34914.37043137804
2008-10,27746.238532570354
2008-11,25576.50478195962
2008-12,24963.77368110944
2009-01,25694.974032459424
2009-02,23973.147244542866
2009-03,25169.885709347764
2009-04,33891.89663276837
2009-05,36474.73921407293
2009-06,35913.82344134711
2009-07,39838.03961097751
2009-08,45096.536664798215
2009-09,47690.949193471286
2009-10,44460.65152432433
2009-11,43652.49525527525
