Date,Bloomberg Commodity Index 3 Month Forward
1991-01,10000
1991-02,9933.928710348839
1991-03,10884.485528937883
1991-04,11479.8849170699
1991-05,11594.782953126516
1991-06,11775.467830894766
1991-07,12282.718368389258
1991-08,11965.528565602317
1991-09,11744.103222957308
1991-10,11841.066685880816
1991-11,11174.875580749598
1991-12,10524.448533779221
1992-01,10837.079820356726
1992-02,11134.072047976912
1992-03,11475.953970606855
1992-04,11451.352049846264
1992-05,11621.12963312539
1992-06,11311.210277390966
1992-07,10614.763671268109
1992-08,10218.408689705284
1992-09,10486.290081072466
1992-10,10676.292502909922
1992-11,11381.306999919543
1992-12,11424.039132322227
1993-01,11641.821555931943
1993-02,12024.09037025516
1993-03,12359.222168785134
1993-04,12086.37973800119
1993-05,11979.058643888398
1993-06,12389.007848152904
1993-07,13129.604206703945
1993-08,12982.367906492218
1993-09,12156.805808953091
1993-10,12229.39122834317
1993-11,12518.21991518342
1993-12,12804.457729990601
1994-01,13166.722314161707
1994-02,13154.366498665511
1994-03,12890.444816142193
1994-04,13108.633955972882
1994-05,13576.201866978117
1994-06,13568.610171322449
1994-07,13450.11206409289
1994-08,13286.41085618034
1994-09,13282.194259309073
1994-10,13113.202445842799
1994-11,13387.490180131503
1994-12,13996.707465004218
1995-01,13699.647075818222
1995-02,13525.75110042345
1995-03,13328.356869449242
1995-04,13311.060960900431
1995-05,13507.98569465164
1995-06,13185.778838630049
1995-07,13267.661333106127
1995-08,13867.029642220517
1995-09,14270.588274340153
1995-10,14165.849971358986
1995-11,14322.67187224998
1995-12,14978.334207071173
1996-01,15268.207057906626
1996-02,15640.955544451406
1996-03,16089.771963004705
1996-04,16662.203680997274
1996-05,16932.787444080255
1996-06,16775.729682484645
1996-07,16325.28817989038
1996-08,16914.305883473582
1996-09,17087.658412896402
1996-10,16863.06206044624
1996-11,17172.156962227684
1996-12,17857.09156988186
1997-01,18653.946621526953
1997-02,19873.00899802501
1997-03,20508.736001298912
1997-04,20812.715868812935
1997-05,20909.231111577465
1997-06,20372.997800780166
1997-07,21447.611413210467
1997-08,22146.28394109474
1997-09,21737.616159732315
1997-10,21405.421174868556
1997-11,20594.489402466006
1997-12,20489.279675710033
1998-01,21064.00462005606
1998-02,20401.198417056148
1998-03,20419.023200254764
1998-04,20146.963403878737
1998-05,19024.35602084443
1998-06,18913.156538361214
1998-07,18061.878411063048
1998-08,16947.46806552111
1998-09,17134.932461742603
1998-10,16213.445827738824
1998-11,15972.871045313144
1998-12,15280.300444329627
1999-01,15672.076775302414
1999-02,15683.203924985977
1999-03,17406.06419317338
1999-04,18329.453452019294
1999-05,17677.19187526915
1999-06,18864.311531462477
1999-07,18406.768654659143
1999-08,19595.752285888077
1999-09,20452.995965933325
1999-10,20474.24290924569
1999-11,21548.31276378208
1999-12,22346.065794072085
2000-01,24018.197887893595
2000-02,24517.15303412826
2000-03,25610.999245381827
2000-04,26659.531436210298
2000-05,27650.777743209772
2000-06,27229.265117852254
2000-07,27213.587946838485
2000-08,30574.863699472477
2000-09,31394.645635976933
2000-10,31887.5011229644
2000-11,32382.31797892123
2000-12,29790.886323070437
2001-01,30130.414335844103
2001-02,30308.682872183348
2001-03,30621.618039080906
2001-04,31461.397173719
2001-05,32348.666719132052
2001-06,31406.50597879959
2001-07,30663.532571782955
2001-08,29363.464279466763
2001-09,27901.79469686631
2001-10,26968.356286568323
2001-11,27894.910054179232
2001-12,27650.381934867353
2002-01,28366.564776700285
2002-02,29033.83590337308
2002-03,31553.874109152275
2002-04,30595.94451659422
2002-05,29170.25916779495
2002-06,28039.255455620216
2002-07,28350.441184170042
2002-08,29597.79850440687
2002-09,30200.250923037285
2002-10,30086.832664519632
2002-11,29984.24987136715
2002-12,29430.755629596882
2003-01,30488.42204329201
2003-02,31238.256978218375
2003-03,29334.05444349224
2003-04,28873.636563839576
2003-05,28601.718667756424
2003-06,29047.02126264218
2003-07,29567.92442419215
2003-08,31781.856092047314
2003-09,29938.568750705177
2003-10,31558.08424652614
2003-11,30683.2314345217
2003-12,31014.373123899044
2004-01,32603.280165802295
2004-02,34753.16529291125
2004-03,36602.401125664226
2004-04,37089.47424787752
2004-05,37486.21568630759
2004-06,36694.42956159794
2004-07,37906.76489303235
2004-08,37901.64879019426
2004-09,39395.777994652526
2004-10,39447.09326995394
2004-11,37877.690538143775
2004-12,36022.528050371395
2005-01,38321.85325131428
2005-02,40748.7754234835
2005-03,43795.4163813116
2005-04,41982.60195009672
2005-05,43964.478358534805
2005-06,46106.89065321499
2005-07,48338.315358450825
2005-08,51025.18150947786
2005-09,54111.70776455647
2005-10,51716.48446417518
2005-11,53645.04639852192
2005-12,56528.02589473984
2006-01,57878.09178274906
2006-02,56337.17181646474
2006-03,56861.23619613965
2006-04,58840.858648077374
2006-05,57897.59744150151
2006-06,58264.031538425326
2006-07,60020.992830123694
2006-08,58268.36891912863
2006-09,55940.6768142073
2006-10,58704.71284050366
2006-11,59993.19746460336
2006-12,58185.142206662225
2007-01,59182.75092735751
2007-02,60322.61270204905
2007-03,60685.898387495494
2007-04,60502.223547234054
2007-05,61482.33540066959
2007-06,60918.73906912883
2007-07,61629.090615838366
2007-08,59913.02905069079
2007-09,62615.103833778085
2007-10,63702.43325821771
2007-11,61317.7248018326
2007-12,64803.86824565302
2008-01,67400.66369746104
2008-02,74340.83465025524
2008-03,67409.24722634412
2008-04,71379.5986390828
2008-05,74144.36360030086
2008-06,79922.93106284348
2008-07,71478.08796507644
2008-08,70447.100345678
2008-09,64162.45522110307
2008-10,57375.72982771369
2008-11,53753.089115468
