Date,MSCI Japan IMI
1994-05,10000
1994-06,10433.1399277213
1994-07,9741.508232696708
1994-08,9777.124925246195
1994-09,9419.628177329716
1994-10,9456.942646193744
1994-11,9001.941693050247
1994-12,9354.121237487621
1995-01,8634.477047287664
1995-02,8034.222643898913
1995-03,8435.057386929015
1995-04,8626.915748542953
1995-05,8181.168911076303
1995-06,7754.634935470778
1995-07,8218.630310870054
1995-08,8164.62830599464
1995-09,8305.768166211057
1995-10,7750.290136303121
1995-11,8174.937701568285
1995-12,8691.071143949286
1996-01,8667.526260149254
1996-02,8587.183361969659
1996-03,8880.21468603409
1996-04,9560.113281695736
1996-05,9211.208300882196
1996-06,9183.185780767692
1996-07,8621.436288117782
1996-08,8190.4478603308
1996-09,8473.828307888107
1996-10,7934.663690283148
1996-11,7861.509618159034
1996-12,7443.249112959887
1997-01,6842.056269585371
1997-02,7255.346518014892
1997-03,7085.008991394587
1997-04,7269.65954618762
1997-05,8198.952376917448
1997-06,8797.587349179332
1997-07,8676.044717488625
1997-08,8113.626502996261
1997-09,7645.1348564480495
1997-10,6960.045467724825
1997-11,6270.8653827851895
1997-12,5966.760182909655
1998-01,6753.39109101393
1998-02,6791.644833691981
1998-03,6372.165916409932
1998-04,6263.68750774612
1998-05,5871.175401174973
1998-06,5943.717408501349
1998-07,5895.4742643613245
1998-08,5272.339456544601
1998-09,4931.732040587529
1998-10,5490.183813222114
1998-11,5906.842136593274
1998-12,6105.722319758933
1999-01,6340.607810694971
1999-02,6430.9538408792205
1999-03,7531.5994584255595
1999-04,8031.86869379544
1999-05,7723.470257092629
1999-06,8719.001344623694
1999-07,9279.495027045932
1999-08,9707.91724806086
1999-09,10318.396725737073
1999-10,11197.265303616396
1999-11,12521.08104997942
1999-12,13137.266653946488
2000-01,12828.138616726215
2000-02,12844.014251551502
2000-03,13804.703116725637
2000-04,13197.4542902101
2000-05,11911.22630676347
2000-06,12348.834016679826
2000-07,11200.0888311527
2000-08,12464.598858865234
2000-09,12113.306019006292
2000-10,11670.443775961136
2000-11,10978.306339416218
2000-12,9347.016327145579
2001-01,9331.577875134091
2001-02,8891.456846540788
2001-03,8997.982581324277
2001-04,9685.258994661886
2001-05,10126.820691799187
2001-06,9551.267071659962
2001-07,8460.02305669966
2001-08,7863.8092330907275
2001-09,7342.85563763807
2001-10,7467.491795598175
2001-11,7485.690988639059
2001-12,6965.836467133433
2002-01,6572.702156873037
2002-02,6833.708345225334
2002-03,7205.724055855229
2002-04,7349.025268086668
2002-05,7562.223481634337
2002-06,6762.9274695138265
2002-07,6460.934131887424
2002-08,6352.706761859441
2002-09,6065.002247023384
2002-10,5645.853747024839
2002-11,5811.541643816836
2002-12,5379.48000443867
2003-01,5020.504680529219
2003-02,5094.23276895393
2003-03,4852.683188620785
2003-04,4751.213058420308
2003-05,4685.30968889208
2003-06,5198.196621469108
2003-07,5444.962483893468
2003-08,6205.522118134804
2003-09,6200.9145864643615
2003-10,6512.701949204715
2003-11,6079.566487042977
2003-12,6159.848926951353
2004-01,6411.376091468532
2004-02,6389.754449633217
