Date,S&P 500 Minimum Volatility (EUR Hedged)
1990-12,10000
1991-01,10107.149391260979
1991-02,10873.967200284646
1991-03,11066.05526850767
1991-04,10897.686370589829
1991-05,11174.024907729605
1991-06,10909.174843555205
1991-07,11500.316545691761
1991-08,11660.134858767806
1991-09,11555.736299083212
1991-10,11776.248960060626
1991-11,11279.568813652366
1991-12,12252.108812494016
1992-01,11920.013420056883
1992-02,12027.852019665543
1992-03,11793.121060496587
1992-04,12238.259625884903
1992-05,12314.190579812277
1992-06,12248.541734166238
1992-07,12891.833201176714
1992-08,12785.565076322571
1992-09,12917.488956911673
1992-10,12873.094536478377
1992-11,13282.886416563726
1992-12,13698.498055962316
1993-01,14009.744145655231
1993-02,14308.90858306466
1993-03,14808.083483637103
1993-04,14736.410816989976
1993-05,14953.629482192466
1993-06,15191.358347628488
1993-07,15335.371882920206
1993-08,15900.271652120435
1993-09,15827.445636816008
1993-10,16110.853310955903
1993-11,15540.860001978597
1993-12,15780.155340959573
1994-01,16148.96983358069
1994-02,15756.0970681437
1994-03,15167.199044271085
1994-04,15225.153563922373
1994-05,15710.645328082679
1994-06,15501.694162145215
1994-07,16046.411830296298
1994-08,16932.967836176875
1994-09,16599.684084498742
1994-10,16625.211801527603
1994-11,15675.798793975418
1994-12,15937.503907431217
1995-01,16327.303743921784
1995-02,17168.841140676825
1995-03,17788.135353317306
1995-04,18079.1263198865
1995-05,18591.238131287086
1995-06,18707.039137931395
1995-07,19224.503567428434
1995-08,19523.265883276512
1995-09,20071.325561717305
1995-10,19531.948508033976
1995-11,20533.509279855298
1995-12,20901.946658474855
1996-01,21504.915936087476
1996-02,21729.1667271016
1996-03,22272.702037826035
1996-04,22637.76239557218
1996-05,23015.944720088886
1996-06,22683.92134942393
1996-07,21413.36225941102
1996-08,21994.097815769706
1996-09,22931.16409090468
1996-10,23217.52365740163
1996-11,24435.54986672471
1996-12,24195.422276154084
1997-01,24842.621924607807
1997-02,25163.665976224613
1997-03,24197.25683073993
1997-04,24625.28722432791
1997-05,26414.30904562449
1997-06,27488.452759269127
1997-07,29073.900039982083
1997-08,28450.65963440748
1997-09,30132.258981890223
1997-10,28952.463329664555
1997-11,29609.447936111086
1997-12,30269.41844519598
1998-01,29845.364253613865
1998-02,32347.924777660286
1998-03,33880.34602860444
