Date,MSCI World Momentum
1994-06,10000
1994-07,9702.579760522049
1994-08,10028.915571440746
1994-09,9659.493438304551
1994-10,9802.924825762864
1994-11,9334.824336802407
1994-12,9578.09199187133
1995-01,9063.868594328806
1995-02,9040.98756514415
1995-03,9214.538646421219
1995-04,9437.855829845157
1995-05,9615.3761071612
1995-06,9792.24274862207
1995-07,10051.305730103331
1995-08,10291.995765510885
1995-09,10931.969104330987
1995-10,10892.80863652603
1995-11,11274.91921817851
1995-12,11620.658285270729
1996-01,12115.164535307627
1996-02,12359.308779793884
1996-03,12500.173754731455
1996-04,12733.760263980581
1996-05,13150.62087508592
1996-06,13334.989969013583
1996-07,12617.769719225576
1996-08,12663.633392760037
1996-09,13353.406582977692
1996-10,13511.499604710612
1996-11,14118.394515109294
1996-12,14287.320636781938
1997-01,15349.032641924843
1997-02,16075.179280319306
1997-03,15903.173006459387
1997-04,16961.80487155956
1997-05,17793.23653200141
1997-06,19004.014109554668
1997-07,21016.747864904482
1997-08,19850.032576606663
1997-09,20876.534406341732
1997-10,19446.83559519724
1997-11,19421.30824977487
1997-12,20473.570932267532
1998-01,21548.027945921123
1998-02,22915.040343962435
1998-03,24543.394939073976
1998-04,24946.57931655644
1998-05,24589.645421901118
1998-06,25721.236741132583
1998-07,26827.36675872387
1998-08,22612.450384864696
1998-09,21447.78484967831
1998-10,22174.345585963703
1998-11,24445.906988473544
1998-12,26620.69421478479
1999-01,28793.69526220803
1999-02,28645.95739858616
1999-03,30314.77242377324
1999-04,30550.74029072615
1999-05,29991.652337133928
1999-06,32614.0984912145
1999-07,31395.963604952
1999-08,31641.399511100324
1999-09,31543.265869159994
1999-10,34349.21562837432
1999-11,38192.03112692886
1999-12,45361.90758707612
2000-01,43624.28297101267
2000-02,47611.73332533775
2000-03,50193.77145189945
2000-04,49001.41555903153
2000-05,44234.80273625688
2000-06,45483.85689253418
2000-07,45124.574915319354
2000-08,49686.25943762873
2000-09,44926.77191472159
2000-10,44083.87368797082
2000-11,41200.00212769292
2000-12,39717.242891817186
2001-01,38011.742073207985
2001-02,36359.67702334974
2001-03,35905.50809124964
2001-04,37429.086734466255
2001-05,39137.38260308286
2001-06,38517.81719783103
2001-07,36804.95348652477
2001-08,34675.76977011396
2001-09,31821.941326707154
2001-10,31335.86411386165
2001-11,32520.83246833932
2001-12,33354.20843398926
2002-01,33759.232251661946
2002-02,33628.39502704028
2002-03,34757.65148745295
2002-04,33602.40545391812
2002-05,32621.73297666587
2002-06,29525.22255427569
2002-07,28187.00937932383
2002-08,28175.858644050044
2002-09,26766.384712857154
2002-10,26612.597426889064
2002-11,26252.865575275973
2002-12,23998.775393159525
2003-01,22626.86084371543
2003-02,22598.7462626138
2003-03,22430.211066914166
2003-04,23423.424660888606
2003-05,23068.186619155476
2003-06,24092.193558523402
2003-07,24669.44252252318
2003-08,25909.937158728066
2003-09,24568.484817174824
2003-10,26059.963524187704
2003-11,25549.594255323987
2003-12,25090.42478557844
2004-01,25880.830164670584
2004-02,26324.260110857063
2004-03,27779.874677433847
2004-04,27484.53750733961
2004-05,27212.614518144288
2004-06,28176.562486764935
2004-07,27265.456828957846
2004-08,27458.44740740194
2004-09,27676.553932741233
2004-10,27455.069808996876
2004-11,28244.238120698843
2004-12,28219.868638804262
2005-01,29132.572549849163
2005-02,30957.851672582834
2005-03,30978.734051573632
2005-04,29709.377833794224
2005-05,32163.232383362592
2005-06,34214.98691871555
2005-07,35711.17630687824
2005-08,36531.796345614755
2005-09,38831.146260956404
2005-10,37296.034258907464
2005-11,39420.06000519234
2005-12,41820.8221858879
2006-01,43799.19917167782
2006-02,43648.53480816085
2006-03,44335.28503312369
2006-04,44298.41299421777
2006-05,40604.96506760428
2006-06,40868.92002041407
2006-07,40524.03491411328
2006-08,40390.78468784519
2006-09,40753.687174582
2006-10,43125.51300050695
2006-11,43059.09317945556
2006-12,44605.77264728229
2007-01,46118.567911950624
2007-02,45125.01082870814
2007-03,46186.68920956891
2007-04,46935.48172662868
2007-05,49048.603217745775
2007-06,48560.227375824885
2007-07,47658.28866117802
2007-08,47095.14085735004
2007-09,49188.078148633074
2007-10,50478.941685431666
2007-11,47308.99130334731
2007-12,47850.02368470366
2008-01,42372.79596225714
2008-02,42327.3329755236
2008-03,40071.311694999386
2008-04,43519.78861840507
2008-05,44899.783303516844
2008-06,43421.97027844143
2008-07,40254.38880368752
2008-08,41623.5604150547
2008-09,35728.4895825497
2008-10,34605.63290123201
2008-11,32295.604863028595
2008-12,30408.80347949819
2009-01,30136.672334264345
2009-02,27410.674179405603
2009-03,27479.37314357512
2009-04,28734.25421528113
2009-05,28519.583634641083
2009-06,28174.042761195367
2009-07,30475.744566411187
2009-08,30780.137826909388
2009-09,31332.016314905395
2009-10,30609.200004980015
2009-11,31436.552718781713
2009-12,33712.44977752319
2010-01,32510.366024498668
2010-02,34393.70239681718
2010-03,37108.87890639712
2010-04,38065.90304023602
2010-05,37465.14979989728
2010-06,36143.14519553916
2010-07,36759.293743718605
2010-08,36083.94862224752
2010-09,37439.83616302156
2010-10,38537.59627136283
2010-11,41280.08435953974
2010-12,42359.79915965708
2011-01,41649.55664256436
2011-02,42747.3730394833
2011-03,42160.3390665475
2011-04,42427.558059079754
2011-05,43123.570106342115
2011-06,42569.11606807647
2011-07,42572.01538350272
2011-08,39699.88716487283
2011-09,40547.5820415538
2011-10,41704.395696773216
2011-11,43528.03202099647
2011-12,45838.65520027438
2012-01,45660.8278111123
2012-02,46799.58735386892
2012-03,48632.60775093042
2012-04,49607.78386562595
2012-05,50476.68128255317
2012-06,51805.13682823583
2012-07,54121.76901430187
2012-08,53463.315760232064
2012-09,53332.56530668185
2012-10,51949.966494090266
2012-11,52610.92609771197
2012-12,51599.46076583319
2013-01,52350.033973942285
2013-02,54887.24088651726
2013-03,58633.21359964781
2013-04,59253.73901001634
2013-05,58839.36038751524
2013-06,58797.63440648149
2013-07,59865.890715849164
2013-08,58310.78304890246
2013-09,60651.50421000915
2013-10,61825.45135076249
2013-11,63349.995852528315
2013-12,64314.268778564394
2014-01,63818.51707696749
2014-02,66038.94181378424
2014-03,64313.41444446568
2014-04,63314.062394778135
2014-05,66793.11992607614
2014-06,67992.34360844143
2014-07,68019.17001775524
2014-08,71211.49842892907
2014-09,73165.44999928758
2014-10,74146.9890420063
2014-11,76792.40882121852
2014-12,78192.19284676189
2015-01,83830.65277458703
2015-02,88735.91727593009
2015-03,91957.54497059845
2015-04,88519.17714716149
2015-05,92309.71547621074
2015-06,89054.65928783972
2015-07,93810.1262057512
2015-08,85688.1921893771
2015-09,82664.47410589045
2015-10,89887.98405402535
2015-11,93761.62910627131
2015-12,91157.18640965247
2016-01,86986.59498883999
2016-02,86139.68342197734
2016-03,86959.03309007586
2016-04,87002.94635163907
2016-05,90793.00641026092
2016-06,93779.64044556872
2016-07,96296.52453795954
2016-08,93553.96192799108
2016-09,94020.29511796423
2016-10,93039.28328063898
2016-11,96262.94732772729
2016-12,98618.9146292143
2017-01,100132.06893064865
2017-02,104082.36630537646
2017-03,105410.06650298981
2017-04,105077.19296897703
2017-05,106736.50468000285
2017-06,105224.92911206002
2017-07,105580.94274237532
2017-08,106276.62622745914
2017-09,109191.02024095906
2017-10,115842.7703118328
2017-11,115955.09264475085
2017-12,114927.76570772818
2018-01,119590.96213399342
2018-02,120039.16366823005
2018-03,115145.56115054316
2018-04,118711.2868184745
2018-05,126125.514362588
2018-06,126142.63441231221
2018-07,128117.27573444646
2018-08,134922.7347177597
2018-09,137141.71102281107
2018-10,126446.43661940534
2018-11,127843.69189104324
2018-12,117513.03780723937
2019-01,124634.13274012993
2019-02,130080.34206810444
2019-03,135672.460057105
2019-04,140313.51527399992
2019-05,136117.20172179342
2019-06,141856.85488705712
2019-07,146268.71930768207
2019-08,147942.101557717
2019-09,148765.25310637127
2019-10,147065.64379407413
2019-11,153303.28053788873
2019-12,153620.6584053153
2020-01,160302.2492818421
2020-02,149860.10028759384
2020-03,134900.99219970984
2020-04,149872.60893155326
2020-05,154869.40124329008
2020-06,161163.84988077154
2020-07,162506.96646401024
2020-08,173758.9186159606
2020-09,171528.5514677433
2020-10,165600.37643520886
2020-11,177712.42864237292
2020-12,181008.47680084492
2021-01,184542.1738653366
2021-02,183619.6602881362
2021-03,190332.3301046492
2021-04,197290.50508995503
2021-05,193382.48412172016
2021-06,200844.0871390923
2021-07,204088.56304694322
2021-08,211641.74442722503
2021-09,208331.83371074873
2021-10,222808.87131201968
2021-11,221401.58298407498
2021-12,225431.61619631114
2022-01,211198.65254229264
2022-02,205901.591399329
2022-03,217048.98465540612
2022-04,202751.51608596015
2022-05,199312.9717500377
2022-06,190252.0506977494
2022-07,202330.52213426397
2022-08,201170.6509798107
2022-09,191363.05135030553
2022-10,206952.60913639097
2022-11,208398.06727031933
2022-12,197869.5480045207
2023-01,196961.1113414113
2023-02,194543.47306402665
2023-03,191811.60784734736
2023-04,195498.47948334002
