Date,MSCI USA Momentum
1994-06,10000
1994-07,9999.185402874677
1994-08,10480.735609644495
1994-09,10063.501057782902
1994-10,10054.31157810722
1994-11,9701.455205030292
1994-12,10068.584629552159
1995-01,9988.083014412885
1995-02,10288.833053334898
1995-03,10343.301398191876
1995-04,10582.956587389679
1995-05,11147.426195214593
1995-06,11472.655137920412
1995-07,11740.32380427147
1995-08,12023.473297820794
1995-09,12756.89724446963
1995-10,12914.900265792094
1995-11,13310.87311818392
1995-12,13643.496158911814
1996-01,14484.596590725425
1996-02,14824.189199167275
1996-03,14798.206725975791
1996-04,15199.989327660729
1996-05,16009.499385154128
1996-06,16114.257457973268
1996-07,15252.211364788252
1996-08,15508.3458814316
1996-09,16701.99622865829
1996-10,17274.174412016328
1996-11,18277.194194303815
1996-12,18211.079288359146
1997-01,20417.42865459707
1997-02,21365.758187794003
1997-03,20435.96268304855
1997-04,22605.110465881582
1997-05,23689.991055696228
1997-06,25275.202804639353
1997-07,28183.42361227218
1997-08,26802.70695337148
1997-09,27533.79632078646
1997-10,26240.697509582817
1997-11,26703.594120830465
1997-12,27899.297872814277
1998-01,29295.943307003967
1998-02,31108.798738072448
1998-03,33300.68566930992
1998-04,34423.32392114864
1998-05,33071.578406349094
1998-06,35877.238269781315
1998-07,36522.667612137535
1998-08,30642.866253984517
1998-09,30610.67809506628
1998-10,32219.68761993136
1998-11,35891.614577371445
1998-12,39311.50701239669
1999-01,42342.5754390451
1999-02,42670.64916417127
1999-03,46300.39184592433
1999-04,47072.46965544497
1999-05,46394.09473646197
1999-06,50777.97767800145
1999-07,47408.49618526474
1999-08,47744.36424486465
1999-09,47220.90055934989
1999-10,52169.20889586607
1999-11,56245.29848459263
1999-12,64695.505609711
2000-01,61829.49083357567
2000-02,64512.21959957645
2000-03,71700.047298691
2000-04,71443.64306174219
2000-05,65472.828305660194
2000-06,67572.39603519991
2000-07,68646.4913636081
2000-08,77032.02150191482
2000-09,71014.21102141844
2000-10,70616.7669508647
2000-11,65626.88066080117
2000-12,63235.90685656831
2001-01,60790.665434425595
2001-02,56137.216465249454
2001-03,54253.540964605425
2001-04,57910.93406757959
2001-05,60684.329932070636
2001-06,58628.72112279019
2001-07,56669.8624484619
2001-08,52757.0879296
2001-09,49497.933355589645
2001-10,49688.0480134813
2001-11,53812.94973672952
2001-12,55276.35008900492
2002-01,57122.924111931294
2002-02,57618.01511915559
2002-03,59140.50726091694
2002-04,57333.22936475141
2002-05,55112.51846593912
2002-06,49216.481238138425
2002-07,47129.24269694119
2002-08,47498.2751838271
2002-09,44298.085573461234
2002-10,44767.0308086259
