Date,MSCI Emerging Markets Asia
1987-12,10000
1988-01,10800.013657056144
1988-02,11092.528846153846
1988-03,11548.544754337601
1988-04,12547.113629402758
1988-05,12968.161172161173
1988-06,14883.193768996964
1988-07,15810.822279379156
1988-08,14772.830652035911
1988-09,14901.460682452505
1988-10,14727.553688092728
1988-11,13972.333996795143
1988-12,14088.419148936173
1989-01,15919.802791432585
1989-02,16042.644934233915
1989-03,16639.04201485193
1989-04,18697.864615384617
1989-05,19889.589734446843
1989-06,20693.303305311427
1989-07,20802.505436272273
1989-08,21584.00458341065
1989-09,23106.454338200656
1989-10,21925.378150498644
1989-11,23331.08107238606
1989-12,24134.767095115683
1990-01,23519.262052903014
1990-02,23595.97601575967
1990-03,23942.090904535205
1990-04,22124.67595646438
1990-05,24438.262016384135
1990-06,24888.989955903973
1990-07,26034.249607982892
1990-08,20867.507525741978
1990-09,16869.856772334293
1990-10,16908.050485865726
1990-11,15369.06736902872
1990-12,16963.06765478972
1991-01,17508.40487483531
1991-02,19447.794428849065
1991-03,22341.091052961456
1991-04,23342.860323485726
1991-05,23295.50817862519
1991-06,22930.874531575293
1991-07,22425.59619560497
1991-08,20707.1122324159
1991-09,18948.49220221378
1991-10,19079.960501567402
1991-11,19055.65990629715
1991-12,19633.061417807166
1992-01,21207.868850174214
1992-02,22044.457692307693
1992-03,22545.23913220119
1992-04,22165.540752073433
1992-05,21259.139767790854
1992-06,21464.519825072886
1992-07,20271.550807453415
1992-08,19454.296915734743
1992-09,21123.10585920419
1992-10,23813.513997267346
1992-11,24982.848285344553
1992-12,24542.33685741998
1993-01,25530.943980222495
1993-02,26885.688749999998
1993-03,26952.74075708709
1993-04,28921.190604246945
1993-05,29788.745311087372
1993-06,30297.135459313144
1993-07,32652.363301296176
1993-08,35160.46848511773
1993-09,35694.7305349373
1993-10,42109.584704359084
1993-11,44023.06635348342
1993-12,53738.299105165235
1994-01,49153.5630387931
1994-02,48913.78287861169
1994-03,42659.77671484888
1994-04,44394.50558777016
1994-05,44357.42646148556
1994-06,43531.08704330176
1994-07,43723.4076885246
1994-08,48085.6153618907
1994-09,46785.591670725764
1994-10,46387.117439082656
1994-11,43383.76961370616
1994-12,42826.05734784761
1995-01,37783.31681072784
1995-02,39573.6763662512
1995-03,37336.10218092459
1995-04,36081.533247966254
1995-05,40583.58669114273
1995-06,39977.67547026699
1995-07,40227.368618337205
1995-08,39389.05687804125
1995-09,39358.85984510678
1995-10,37478.74096264921
1995-11,35769.89006714517
1995-12,38382.5433633869
1996-01,40535.27454372322
1996-02,41863.22920989625
1996-03,42613.03633753389
1996-04,45688.85892857142
1996-05,45281.601888789395
1996-06,44393.06149123516
1996-07,39907.6154176611
1996-08,40559.43675206937
1996-09,40931.10171755725
1996-10,39465.19870782483
1996-11,40023.904535433074
1996-12,40556.961126760565
1997-01,43207.50982142857
1997-02,46044.03152445863
1997-03,44563.659609006805
1997-04,43703.380519480525
1997-05,43739.600979791794
1997-06,45845.33901273885
1997-07,46347.83502454992
1997-08,38340.211764705884
1997-09,35455.745141608226
1997-10,28259.015987124465
1997-11,24320.635607321132
1997-12,23474.48445004047
1998-01,23174.9004692244
1998-02,28093.668961718537
1998-03,27938.83807242237
1998-04,25527.566065708794
1998-05,21254.751369863014
1998-06,18395.741013071896
1998-07,18365.22573248408
1998-08,15026.209315813325
1998-09,15003.21646652268
1998-10,16365.868075547052
1998-11,18849.379333961133
1998-12,19759.44273562436
1999-01,20862.760066760362
1999-02,20720.95371210746
1999-03,24018.922342208156
1999-04,27600.216514107764
1999-05,28784.703442999235
1999-06,34952.509275755234
1999-07,32946.07462128297
1999-08,34730.58034616477
1999-09,31249.506835443037
1999-10,32493.409203099593
1999-11,36493.32389818758
1999-12,39172.73310770457
2000-01,42766.927096312946
2000-02,41214.8621988882
2000-03,42999.09471370251
2000-04,39871.17312052834
2000-05,36935.452241212515
2000-06,37169.602176642955
2000-07,35184.08899707887
2000-08,35771.633236020665
2000-09,31557.473496862523
2000-10,29670.22483069977
2000-11,27498.989682174117
2000-12,24619.611520687802
2001-01,29467.90207683202
2001-02,27834.284623702424
2001-03,26030.103260869568
2001-04,25915.751261829653
2001-05,27355.172476415097
2001-06,26830.508985849054
2001-07,24569.71750999429
2001-08,23492.528215767634
2001-09,20020.50995509802
2001-10,21582.05335102853
2001-11,25062.258125421442
2001-12,27602.031067740834
2002-01,29486.735533171235
2002-02,30301.43719801179
2002-03,32196.626409903714
2002-04,31259.369493783306
2002-05,29469.382550335573
2002-06,26503.374857142855
2002-07,25950.46568537259
2002-08,25538.22481440049
2002-09,22391.03482758621
2002-10,23458.006751824818
2002-11,24890.533998186762
2002-12,22094.605568799467
2003-01,21780.53370931953
2003-02,20695.545409015027
2003-03,19453.245653969716
2003-04,19897.053651962986
2003-05,20343.055066824563
2003-06,22693.814491992645
2003-07,25039.4462979325
2003-08,27745.92448064428
2003-09,25777.366529351184
2003-10,28483.69452762004
2003-11,27190.169084542275
2003-12,27696.630356294536
2004-01,29736.59345930233
2004-02,30759.573087453693
2004-03,31048.77943390053
2004-04,29814.908462375486
2004-05,27890.669158878503
2004-06,27601.856322501033
2004-07,26892.08866184899
2004-08,27966.269903393604
2004-09,28462.067370456927
2004-10,27984.444688702206
2004-11,29388.87930801053
2004-12,29617.94069451582
2005-01,31509.38223245109
2005-02,33098.366327223346
2005-03,32040.564409132985
2005-04,31156.7516554758
2005-05,33969.69429892142
2005-06,35610.14756864042
2005-07,37937.61910195981
2005-08,36431.859813084106
2005-09,39280.04618834081
2005-10,36650.711752474424
2005-11,40684.29268417028
2005-12,43600.14700347547
2006-01,45765.75250041261
2006-02,46606.14720000001
2006-03,46598.06227693325
2006-04,48136.57501794688
2006-05,43276.22764998446
2006-06,43486.939652324385
2006-07,43259.88993498864
2006-08,44500.80261458252
2006-09,46981.62327014218
2006-10,48144.80217391304
2006-11,50049.44590909091
2006-12,52029.84669703872
2007-01,51811.84891153312
2007-02,50912.25934448566
2007-03,51578.304490163675
2007-04,52950.92110253583
2007-05,57048.53622240393
2007-06,60266.396712328766
2007-07,64083.781352593556
2007-08,63209.80001459322
2007-09,68283.94335284576
2007-10,74491.56755035647
2007-11,66067.40754691417
2007-12,65900.42628897492
2008-01,55920.63849361129
2008-02,58894.954796597885
2008-03,52698.083974196816
2008-04,58061.34
2008-05,55800.64766572093
2008-06,48058.79067495559
2008-07,48188.54924091988
2008-08,47476.84617577196
2008-09,40811.9147171922
2008-10,34751.43311123304
2008-11,32369.562363479214
2008-12,32923.49489114033
2009-01,33491.137219101125
2009-02,31778.313255298955
2009-03,35001.127547339944
2009-04,40945.67498305085
2009-05,44393.29811320755
2009-06,44159.09371727749
2009-07,49795.342721742825
2009-08,47980.222869955156
2009-09,51064.50276582668
2009-10,50040.072
2009-11,50814.11094987686
2009-12,55407.58475635152
2010-01,53755.03644565373
2010-02,55359.151879145174
2010-03,60043.64776318718
2010-04,62219.95083740143
2010-05,61546.64179735111
2010-06,62574.75700431913
2010-07,62305.60357691128
2010-08,63110.228280757095
2010-09,65240.97546893318
2010-10,65943.62208270188
2010-11,68958.65350053854
2010-12,71298.12110462505
2011-01,68608.67195442594
2011-02,65300.457510481414
2011-03,68128.52320686985
2011-04,67616.38502018843
2011-05,68782.60492179354
2011-06,67011.91729052793
2011-07,68480.67938288921
2011-08,60549.521356401376
2011-09,56601.41790713175
2011-10,61171.66475251768
2011-11,58427.00166939932
2011-12,60997.2872246696
2012-01,66281.75956284151
2012-02,68715.37116715018
2012-03,66985.28867924529
2012-04,67614.43785379145
2012-05,65214.97989196163
2012-06,65910.75612390788
2012-07,68982.12108433734
2012-08,66752.4337800333
2012-09,69864.07475638052
2012-10,69237.53017778804
2012-11,71208.03174187586
2012-12,72525.04774897682
2013-01,71387.14410332104
2013-02,73653.33516642547
2013-03,73761.50502147598
2013-04,73331.53691860466
2013-05,73076.70405966477
2013-06,68450.1103211009
2013-07,68377.83118644069
2013-08,67789.49059312428
2013-09,69931.78520547943
2013-10,72571.67794149987
2013-11,72848.12320916906
2013-12,70985.71938220579
2014-01,68985.73952352768
2014-02,69727.36011004126
