Date,FTSE World Government Bond - Developed Markets
1985-01,10000
1985-02,10235.623791293365
1985-03,9832.991277578245
1985-04,10019.526779018826
1985-05,10250.878162371237
1985-06,10301.64384102301
1985-07,9878.10316927813
1985-08,10023.207167383669
1985-09,10000.690689505467
1985-10,9906.056360263647
1985-11,9884.566049650708
1985-12,9934.453565931248
1986-01,9925.10952362158
1986-02,9916.525239767929
1986-03,10739.896199234321
1986-04,10441.922879583219
1986-05,10638.789122626988
1986-06,10584.047045822315
1986-07,10486.146741918932
1986-08,10499.348778466274
1986-09,10306.054386865058
1986-10,10425.997552985753
1986-11,10193.402928523503
1986-12,10111.73382799858
1987-01,9993.70485850732
1987-02,10106.977937403797
1987-03,10180.674507637053
1987-04,10200.941311126022
1987-05,10304.159924221494
1987-06,10235.771796187393
1987-07,10204.532896554447
1987-08,10117.318545999922
1987-09,9982.121008801358
1987-10,10052.650274302405
1987-11,9854.55065714173
1987-12,9862.523187433399
1988-01,10484.893633816158
1988-02,10616.775861388483
1988-03,10553.932983383984
1988-04,10612.661325334491
1988-05,10830.248253542251
1988-06,11159.490073805107
1988-07,11411.453605399218
1988-08,11311.175356198444
1988-09,11570.055649840155
1988-10,11578.630066700873
1988-11,11377.64928760311
1988-12,11511.44571180487
1989-01,11972.569759640051
1989-02,11694.9421794214
1989-03,11949.994079804239
1989-04,12029.295102024707
1989-05,12403.342937206457
1989-06,12541.165094525792
1989-07,12480.06867427083
1989-08,12709.328255120969
1989-09,12417.62047598374
1989-10,12366.696925445001
1989-11,12172.0902237834
1989-12,11782.709081580299
1990-01,11466.767967794136
1990-02,11381.773690650038
1990-03,11229.743063503967
1990-04,11101.53135730355
1990-05,11542.112325847575
1990-06,11474.335951375459
1990-07,11279.877254607885
1990-08,11075.541697912144
1990-09,11211.775269368907
1990-10,11245.845995974267
1990-11,11425.642341240084
1990-12,11480.887634684454
1991-01,11608.694794174527
1991-02,12000.18747286577
1991-03,12925.218060543866
1991-04,13165.331333622766
1991-05,13399.297470103014
1991-06,13771.539645577614
1991-07,13576.952677901885
1991-08,13869.518885424479
1991-09,13757.301574772073
1991-10,13973.822867742827
1991-11,13858.457986344081
1991-12,13689.28839246951
1992-01,14134.427911749613
1992-02,14314.99388246438
1992-03,14220.112878399179
1992-04,14291.68804515136
1992-05,14345.857836365789
1992-06,14033.577376958598
1992-07,13987.616923866282
1992-08,13748.776492876032
1992-09,14481.331649366539
1992-10,15305.235426451434
1992-11,15599.113944034416
1992-12,16020.681217192248
1993-01,16220.803567904646
1993-02,17023.90772388207
1993-03,16876.248174606306
1993-04,16846.370919998422
1993-05,17058.165923353197
1993-06,18247.158306034653
1993-07,19256.808225125314
1993-08,18990.06393811422
1993-09,18757.12396889924
1993-10,19132.227572325057
1993-11,19351.76816513399
1993-12,19595.167146860324
1994-01,19759.620318111854
1994-02,19310.20839089079
1994-03,18916.969254450014
1994-04,18779.30496901764
1994-05,18514.504479614796
1994-06,18298.8120140506
1994-07,18394.008761889727
1994-08,18256.107668626908
1994-09,18058.461933141258
1994-10,17882.18810435332
1994-11,18353.258081067215
1994-12,18232.979437186725
1995-01,18319.48336424991
1995-02,18451.247187907014
1995-03,18615.74969412322
1995-04,19048.70347712831
1995-05,19884.822591467022
1995-06,19649.5737459052
1995-07,19486.38354974938
1995-08,19807.2976279749
1995-09,19875.873228874767
1995-10,20036.192130086434
1995-11,20658.523108497455
1995-12,20783.587243951533
1996-01,21302.30492954967
1996-02,20791.04669061057
1996-03,20778.35773769586
1996-04,21208.361289813318
1996-05,21079.350357185143
1996-06,21057.386430911316
1996-07,20930.013419110393
1996-08,21035.718514425545
1996-09,21564.0466511426
1996-10,21647.442475431188
1996-11,22138.779255634054
1996-12,22041.974187946482
1997-01,22735.584323321626
