Date,FTSE World Government Bond - Developed Markets
1997-02,23177.517069897778
1997-03,22695.899277736116
1997-04,23240.55728776098
1997-05,23585.536961755537
1997-06,24161.374669455738
1997-07,25167.136993329914
1997-08,24730.779097762166
1997-09,24850.199313257293
1997-10,24603.692228756365
1997-11,24679.19445869677
1997-12,25114.249911197065
1998-01,25851.639894225835
1998-02,25846.00584125982
1998-03,25911.23653155465
1998-04,25692.56423412401
1998-05,25671.379800292063
1998-06,25880.283774716816
1998-07,25666.367367880965
1998-08,26148.54757863993
1998-09,26140.821723171648
1998-10,26672.632908394837
1998-11,26919.001854994673
1998-12,27145.31120495718
1999-01,27810.218257883727
1999-02,27845.660496507084
1999-03,28386.51971425189
1999-04,28954.50329557564
1999-05,28878.813592769468
1999-06,28691.991948533767
1999-07,28323.89391009196
1999-08,28832.537395903226
1999-09,29042.911552275335
1999-10,29412.538974622094
1999-11,30381.971030508746
1999-12,30443.7384062833
2000-01,30525.624580652802
2000-02,30797.62797489837
2000-03,31946.974779966058
2000-04,32450.191419662944
2000-05,32135.24687216324
2000-06,31843.40095512492
2000-07,32385.503413979557
2000-08,33497.562852744995
2000-09,33681.56253700122
2000-10,34623.02166791649
2000-11,34381.576350791336
2000-12,33019.23076923077
2001-01,33292.724079409556
2001-02,33656.539842917475
2001-03,34002.002999565855
2001-04,33781.88025417374
2001-05,35229.39771875123
2001-06,34948.22788806883
2001-07,34666.85085053479
2001-08,34647.847022141534
2001-09,34813.16848877136
2001-10,35477.97687176856
2001-11,35186.56510241938
2001-12,34473.09271026562
2002-01,34994.997434581834
2002-02,35009.570983147176
2002-03,34617.08173816947
2002-04,34713.99534277933
2002-05,34427.35919801082
2002-06,34141.80842246517
2002-07,34730.66069384694
2002-08,35325.95611161542
2002-09,35437.147255002565
2002-10,35220.5667600742
2002-11,35105.2413466472
2002-12,34952.08588230651
2003-01,34635.27647314205
2003-02,34980.85803370565
2003-03,34657.08252752891
2003-04,34293.296364999806
2003-05,33951.45439475866
2003-06,34216.32395311205
2003-07,33867.66389075266
2003-08,34534.83048506137
2003-09,34411.07865966768
2003-10,34305.61037218297
2003-11,33829.92264277539
2003-12,33426.20475983739
2004-01,34033.60697793741
2004-02,34081.96511031298
2004-03,34952.84564076252
2004-04,34298.34826538264
2004-05,33926.382365710226
2004-06,34121.43308205391
2004-07,34303.054821012745
2004-08,34789.39890279039
2004-09,34514.29727276315
2004-10,34693.25492362947
2004-11,34394.452776571816
2004-12,34197.99108023839
2005-01,35162.598176579704
2005-02,34566.41472944705
2005-03,34841.45715751668
2005-04,35611.12207443659
2005-05,36474.36555235426
2005-06,36869.854363184284
2005-07,36388.70031969057
2005-08,36582.00457828472
2005-09,36595.51249161306
2005-10,36169.9885542882
2005-11,36295.17109365749
2005-12,36682.08548762679
2006-01,36086.29672021155
2006-02,36559.56703635001
2006-03,35604.13624343845
2006-04,35014.15913486206
2006-05,34970.97130678455
2006-06,34770.70095117812
2006-07,35110.40178395232
2006-08,35328.15645103998
2006-09,35599.23234794963
2006-10,35659.707147649686
2006-11,35272.26980305482
2006-12,34794.115325413426
2007-01,34833.57343016142
2007-02,35062.300193393065
2007-03,34863.707226585626
2007-04,34369.15380668588
2007-05,34148.537711647
2007-06,33817.97371433082
2007-07,34364.10190630303
2007-08,35078.0775150965
2007-09,34438.88384575917
2007-10,34390.14090065911
2007-11,34846.55839286419
2007-12,34802.90681611872
2008-01,35643.24900343371
2008-02,35609.10920787781
2008-03,35213.472392153766
2008-04,34659.707147649686
2008-05,34206.59509807791
2008-06,33894.00876188972
2008-07,34281.13036271065
2008-08,35623.52488455618
2008-09,36905.49394166634
2008-10,40093.99297470103
2008-11,41571.407427872284
2008-12,40656.89505466314
2009-01,42211.696333425425
2009-02,41347.03200852508
2009-03,40553.054821012745
2009-04,40628.98133164937
2009-05,39300.10459012511
2009-06,39703.072581600034
2009-07,39957.97647708884
2009-08,40258.79149070529
2009-09,40438.439831077085
2009-10,40095.34475273316
2009-11,40649.53427793346
2009-12,40386.40131033667
2010-01,41740.23167699412
2010-02,42617.101472155344
2010-03,42226.33895094131
2010-04,42816.888345107945
2010-05,45946.65903619213
2010-06,46827.0414808383
2010-07,45615.42408335636
2010-08,47679.65820736472
2010-09,45427.66507479181
2010-10,45241.18877530884
2010-11,45997.464182815645
2010-12,45408.77965031377
2011-01,44416.49563878912
2011-02,44257.92319532699
2011-03,43192.94904684848
2011-04,42632.16837036745
2011-05,43945.70193787741
2011-06,43665.27213166515
2011-07,45077.01187985949
2011-08,45945.43552906816
2011-09,48416.60417571141
2011-10,46788.00765678652
2011-11,47767.58298141059
2011-12,49981.33164936654
2012-01,50246.61562142322
2012-02,48679.44113352015
2012-03,48401.02419386668
2012-04,49431.19745826262
2012-05,52653.44160713581
2012-06,51279.531909855155
2012-07,53335.90204049415
2012-08,52504.4006788491
2012-09,52069.651103129814
2012-10,51376.16923866283
2012-11,51092.84840352054
2012-12,49896.45577613766
2013-01,47838.368788727945
2013-02,49056.389864624856
2013-03,49774.539211429925
2013-04,48951.95761139835
2013-05,48143.60421517938
2013-06,47746.10253779058
2013-07,47369.499151438606
2013-08,47520.10893160201
2013-09,47184.09835418558
2013-10,47422.14942574101
2013-11,46828.13671705411
2013-12,45829.8437068319
2014-01,47502.90089592296
2014-02,47013.754588151714
2014-03,47048.12132454513
2014-04,47287.49457315388
2014-05,48199.63886805857
2014-06,48422.72171133126
2014-07,49086.16844930339
2014-08,50074.288589809374
2014-09,50499.06263567115
2014-10,50768.97422741445
2014-11,50722.382286774286
2014-12,51969.540592808946
2015-01,55548.89094999408
2015-02,55251.026167265256
2015-03,57085.122548052255
2015-04,55306.47866756128
2015-05,55201.02024706949
2015-06,54179.91474918105
2015-07,54914.90705292655
2015-08,54461.094446856376
2015-09,55109.79003039034
2015-10,55641.403875754826
2015-11,56985.20937759009
2015-12,55962.57449579666
2016-01,56971.4054544737
2016-02,58414.729447053716
2016-03,57121.847495757196
2016-04,57552.09772269803
2016-05,58382.997197774006
2016-06,60668.06449066583
2016-07,60577.682835379084
2016-08,60295.79271421241
2016-09,60142.51884595652
2016-10,59501.213640131034
2016-11,58689.979081974976
2016-12,58612.434384496984
2017-01,57771.26336977542
2017-02,58963.21585033746
2017-03,58628.58665193196
2017-04,58331.86644038362
2017-05,57441.93274657615
2017-06,56527.3019694518
2017-07,55700.77357224612
2017-08,55883.77669021589
2017-09,55526.07846232783
2017-10,56083.83983897068
2017-11,55551.2195603268
2017-12,55227.71046295931
2018-01,54067.25342384654
2018-02,54837.75703516595
2018-03,55202.520029995656
2018-04,55149.15933220192
2018-05,56433.299127757826
2018-06,56273.789319966854
2018-07,55870.870663456604
2018-08,56118.52231913802
2018-09,55611.17140940127
2018-10,56443.30425859415
2018-11,56732.50582152584
2018-12,57537.66231203378
2019-01,58082.71500177606
2019-02,58000.078935943486
2019-03,59578.324189919884
2019-04,59380.0272329005
2019-05,60775.37790582941
2019-06,60828.56099775033
2019-07,61919.011721987605
2019-08,64335.51722776966
2019-09,64113.41121679757
2019-10,62957.9370091171
2019-11,62960.01894462645
2019-12,61961.78513636183
2020-01,63812.418597308286
2020-02,65072.61120101038
2020-03,64902.5437107787
2020-04,65781.19943166121
2020-05,64849.21261396377
2020-06,64648.02462801437
2020-07,63616.736393416744
2020-08,62601.412953388324
2020-09,63721.0995776927
2020-10,64020.99696096618
2020-11,63287.1886963729
2020-12,62703.8718080278
2021-01,62333.9582428859
2021-02,60893.38714133481
2021-03,61584.0792209105
2021-04,60806.55727990244
2021-05,60462.197943085404
2021-06,61613.680310035175
2021-07,62637.87799374884
2021-08,62552.0348352873
2021-09,62285.62503316524
2021-10,62126.76585486283
2021-11,63858.429568656175
2021-12,62782.92333045974
2022-01,62328.0532609106
2022-02,61534.74407236937
2022-03,59950.099101228574
2022-04,59503.12265544601
2022-05,58525.300011360996
2022-06,58055.629397249526
2022-07,60601.32306197136
2022-08,58703.89324907987
2022-09,57148.84936706372
2022-10,56372.31412902648
2022-11,56591.36218854905
2022-12,54427.52257353549
2023-01,55174.456722448056
2023-02,54592.30196966283
2023-03,55352.063257196096
2023-04,54696.89248457002
