Date,Price
1962-01,4.06
1962-02,4.09
1962-03,3.98
1962-04,3.86
1962-05,3.85
1962-06,3.89
1962-07,4.00
1962-08,4.03
1962-09,3.96
1962-10,3.93
1962-11,3.92
1962-12,3.93
1963-01,3.82
1963-02,3.88
1963-03,3.93
1963-04,3.95
1963-05,3.94
1963-06,3.98
1963-07,4.01
1963-08,3.99
1963-09,4.03
1963-10,4.07
1963-11,4.15
1963-12,4.09
1964-01,4.14
1964-02,4.15
1964-03,4.17
1964-04,4.23
1964-05,4.22
1964-06,4.19
1964-07,4.15
1964-08,4.19
1964-09,4.21
1964-10,4.18
1964-11,4.15
1964-12,4.20
1965-01,4.20
1965-02,4.20
1965-03,4.22
1965-04,4.20
1965-05,4.21
1965-06,4.23
1965-07,4.20
1965-08,4.22
1965-09,4.28
1965-10,4.36
1965-11,4.43
1965-12,4.52
1966-01,4.63
1966-02,4.69
1966-03,5.01
1966-04,4.70
1966-05,4.80
1966-06,4.79
1966-07,4.99
1966-08,5.05
1966-09,5.30
1966-10,5.08
1966-11,4.99
1966-12,5.09
1967-01,4.69
1967-02,4.52
1967-03,4.66
1967-04,4.50
1967-05,4.77
1967-06,4.81
1967-07,5.22
1967-08,5.18
1967-09,5.25
1967-10,5.35
1967-11,5.70
1967-12,5.78
1968-01,5.63
1968-02,5.58
1968-03,5.56
1968-04,5.64
1968-05,5.73
1968-06,5.79
1968-07,5.62
1968-08,5.38
1968-09,5.41
1968-10,5.49
1968-11,5.61
1968-12,5.89
1969-01,6.04
1969-02,6.22
1969-03,6.25
1969-04,6.25
1969-05,6.25
1969-06,6.56
1969-07,6.75
1969-08,6.66
1969-09,6.87
1969-10,7.52
1969-11,6.90
1969-12,7.29
1970-01,7.86
1970-02,7.65
1970-03,6.95
1970-04,7.04
1970-05,7.85
1970-06,7.84
1970-07,7.64
1970-08,7.39
1970-09,7.47
1970-10,7.29
1970-11,7.24
1970-12,6.48
1971-01,6.46
1971-02,6.09
1971-03,6.12
1971-04,5.58
1971-05,6.15
1971-06,6.36
1971-07,6.69
1971-08,6.86
1971-09,6.22
1971-10,6.00
1971-11,5.80
1971-12,5.92
1972-01,5.94
1972-02,6.09
1972-03,6.04
1972-04,6.14
1972-05,6.14
1972-06,6.07
1972-07,6.14
1972-08,6.14
1972-09,6.43
1972-10,6.54
1972-11,6.39
1972-12,6.29
1973-01,6.43
1973-02,6.60
1973-03,6.65
