Date,ACWI ex JAPAN SMALL CAP
2007-05,1000.0
2007-06,992.8820999080116
2007-07,969.3290651747692
2007-08,954.3806569179548
2007-09,987.3275389419447
2007-10,1034.1208357268129
2007-11,955.9999696449605
2007-12,946.6892055663368
2008-01,864.0211441040132
2008-02,874.9710257661865
2008-03,860.1969241665261
2008-04,900.1730187328499
2008-05,927.7524804243282
2008-06,846.9183599185222
2008-07,833.0321146876001
2008-08,829.6054385873713
2008-09,710.1030698334641
2008-10,534.6040719633132
2008-11,481.82987311492747
2008-12,513.278080580518
2009-01,473.0293852684262
2009-02,429.4259988418018
2009-03,471.23686881414704
2009-04,560.6475561425277
2009-05,617.5782628728248
2009-06,619.4735933265874
2009-07,682.6437629348763
2009-08,720.068084423947
2009-09,770.5722199562549
2009-10,744.7909169953148
2009-11,770.1729852006545
2009-12,813.1341409689661
2010-01,788.4937025729403
2010-02,805.0323328546064
2010-03,871.3970695823692
2010-04,904.6736217229184
2010-05,814.7013664153199
2010-06,779.4678882601866
2010-07,845.0330267198309
2010-08,810.0191755355885
2010-09,910.3519343928589
2010-10,950.9384418313721
2010-11,950.9947069992618
2010-12,1035.471557704151
2011-01,1039.0044008644754
2011-02,1070.7398389030948
2011-03,1095.5310718885285
2011-04,1141.7572629075619
2011-05,1116.8922664697056
2011-06,1087.2972064140101
2011-07,1061.4716239303161
2011-08,965.7252284533587
2011-09,840.1338005419695
2011-10,953.5248277834013
2011-11,924.4597229203044
2011-12,914.2830345361064
2012-01,990.335542870623
2012-02,1044.2987593721875
2012-03,1047.508241288462
2012-04,1039.6935076816546
2012-05,946.7983086018645
2012-06,980.1076060314231
2012-07,980.431258741112
2012-08,1015.7726070893364
2012-09,1055.8084626019909
2012-10,1050.4066998182027
2012-11,1062.4891767808624
2012-12,1099.1325863011875
2013-01,1161.2278307576846
2013-02,1168.622869831675
2013-03,1199.5528230937598
2013-04,1209.3408899703522
2013-05,1231.7027698083155
2013-06,1193.3722272816588
2013-07,1268.2214956178957
2013-08,1241.5204636471426
2013-09,1321.6779774537215
2013-10,1368.1307951020408
2013-11,1391.5505977907696
2013-12,1422.7571503009126
2014-01,1393.110476556636
2014-02,1475.674708978974
2014-03,1472.6239073255156
2014-04,1451.897015416062
2014-05,1468.9540565332914
2014-06,1519.208584729752
2014-07,1459.4013397209483
2014-08,1509.4107783943887
2014-09,1424.04407064435
2014-10,1449.0946741813261
2014-11,1454.9463941949614
2014-12,1457.3503244698886
2015-01,1428.9913765509411
2015-02,1514.8420495408807
2015-03,1515.219939564924
2015-04,1542.18426973745
2015-05,1563.7528648499108
2015-06,1539.0266967434309
2015-07,1518.8637125529913
2015-08,1428.080560330057
2015-09,1373.2595176780437
2015-10,1451.1162393749892
2015-11,1461.5287780300798
2015-12,1424.1575673130303
2016-01,1311.3142975983033
2016-02,1321.8723716040242
2016-03,1439.7668606219484
2016-04,1469.2942272187927
2016-05,1481.727128839569
2016-06,1459.8414768336672
2016-07,1538.7424662986627
2016-08,1551.7351277293121
2016-09,1568.1296244627467
2016-10,1505.3479813429046
2016-11,1569.241030139668
2016-12,1603.8659781193276
2017-01,1642.6029162502632
2017-02,1681.9067575727152
2017-03,1700.7689910357733
2017-04,1734.323951
2017-05,1740.314428
2017-06,1767.946827
2017-07,1810.51573
2017-08,1810.331069
2017-09,1878.726174
2017-10,1906.550208
2017-11,1944.646583
2017-12,1980.031978
2018-01,2054.406512
2018-02,1965.109213
2018-03,1966.011554
2018-04,1984.228647038592
2018-05,2033.5360184478734
2018-06,2020.254058462003
2018-07,2050.5865795973596
2018-08,2093.805808958116
2018-09,2053.5245826260257
2018-10,1847.9397137080273
2018-11,1864.6430089531727
2018-12,1706.637779
2019-01,1883.3289574758992
2019-02,1955.3237297479322
2019-03,1944.9685574121913
2019-04,2005.3610297791886
2019-05,1873.4721036441588
2019-06,1986.913072678027
2019-07,1992.5765939758958
2019-08,1916.0139491135362
2019-09,1952.4173132160004
2019-10,2002.748426
2019-11,2065.611979119641
2019-12,2148.8008873686485
2020-01,2088.004527686188
2020-02,1908.5384312092515
2020-03,1475.2023658833066
2020-04,1690.2486382034974
2020-05,1800.0707523748738
2020-06,1869.027128982694
2020-07,1969.5121232252911
2020-08,2073.6942779720034
2020-09,2015.282895
2020-10,2020.2849318861481
2020-11,2351.179355431636
2020-12,2534.65290972359
2021-01,2588.845862634469
2021-02,2734.204439734658
2021-03,2786.6716975182394
2021-04,2917.476567546676
2021-05,2953.9508789393203
2021-06,2967.0209426016077
2021-07,2944.3208722265454
2021-08,3011.0372764900894
2021-09,2910.109905642267
2021-10,3025.0921800712968
2021-11,2889.8610358108835
2021-12,3005.3899316724724
2022-01,2784.2646510157874
2022-02,2777.3143130376407
2022-03,2822.752790444833
2022-04,2613.205406533398
2022-05,2601.915318169482
2022-06,2328.3425921656003
2022-07,2531.3160772721762
2022-08,2465.145237716532
2022-09,2206.3984861323574
2022-10,2378.9484664976744
2022-11,2529.5208717681016
2022-12,2435.730476250551
2023-01,2665.1215777894536
2023-02,2611.4089684504934
2023-03,2542.226728740015
2023-04,2541.2413335456645
2023-05,2483.588891992872
2023-06,2645.8701268213294
2023-07,2785.4747413803616
