Date,NORDIC COUNTRIES SMALL CAP
2000-12,100.0
2001-01,107.14433963301066
2001-02,98.58062721664555
2001-03,89.66638690924825
2001-04,96.21509333424156
2001-05,96.62221194031918
2001-06,89.43767864514106
2001-07,90.59645715391305
2001-08,88.71510458041675
2001-09,77.571014374962
2001-10,82.0677492117886
2001-11,87.93922548019758
2001-12,90.55004651761168
2002-01,92.15618965923757
2002-02,95.21085162152528
2002-03,101.22649630872654
2002-04,104.93068562686892
2002-05,108.60506164664318
2002-06,106.59581172259719
2002-07,94.59258338357103
2002-08,90.1291263099499
2002-09,80.7876942637894
2002-10,85.8895829976434
2002-11,92.86019409702837
2002-12,90.71983077274484
2003-01,88.05844728551008
2003-02,83.80901027322527
2003-03,83.99916734539133
2003-04,95.19289385068979
2003-05,102.97752646017746
2003-06,104.47106446547895
2003-07,108.41693290058134
2003-08,114.59559132335826
2003-09,120.82027644392241
2003-10,132.89498463191853
2003-11,141.11382881399416
2003-12,149.29752931143895
2004-01,155.8914479603725
2004-02,163.90271725237494
2004-03,160.80424639675
2004-04,158.30805152323475
2004-05,162.03270362498333
2004-06,167.61638802148548
2004-07,162.39556715625602
2004-08,165.1077164321978
2004-09,178.9945114992374
2004-10,185.67037474515027
2004-11,214.23708489766724
2004-12,223.00641290508153
2005-01,220.15888823034604
2005-02,238.8123146122324
2005-03,236.77068224377072
2005-04,232.05020257349872
2005-05,241.19617358197698
2005-06,249.8204297128246
2005-07,267.3392032141364
2005-08,276.72997204373326
2005-09,288.0321466008276
2005-10,264.73678601525097
2005-11,270.0114147084671
2005-12,295.43172444919065
2006-01,323.86244442788563
2006-02,334.0024171262328
2006-03,367.66884869789624
2006-04,403.55042621373366
2006-05,388.56899599877164
2006-06,374.9212847924552
2006-07,369.0539924520395
2006-08,376.47506570932325
2006-09,379.0924291575277
2006-10,399.7424948272961
2006-11,435.0737887440255
2006-12,457.3045872810217
2007-01,461.62924595864354
2007-02,457.5750907325654
2007-03,478.6625163176056
2007-04,510.60733785869377
2007-05,518.3678776442988
2007-06,512.411682092159
2007-07,502.05968888717774
2007-08,476.79889531707306
2007-09,495.2344806904972
2007-10,518.5182845406135
2007-11,476.05580180759387
2007-12,467.2591485464257
2008-01,402.53502887293183
2008-02,439.19461693221774
2008-03,449.19752564080324
2008-04,454.06042566491203
2008-05,466.798565987739
2008-06,420.4429092882212
2008-07,395.6895594870649
2008-08,380.102658782441
2008-09,277.50416102547575
2008-10,194.04150791638986
2008-11,172.17637764471198
2008-12,177.55783396117377
2009-01,173.6787857551057
2009-02,162.74822567339945
2009-03,174.79269167699997
2009-04,220.5205851391342
2009-05,254.04303676090495
2009-06,247.57624076430363
2009-07,280.14901918638753
2009-08,303.5458022986012
2009-09,327.9125337212958
2009-10,337.29803920558464
2009-11,349.28733593795954
2009-12,359.0412748180138
2010-01,362.1466066146511
2010-02,359.5767338797184
2010-03,388.2045592887622
2010-04,391.48153699889843
2010-05,324.5002897833771
2010-06,312.37930468818286
2010-07,356.7895635202138
2010-08,335.7667308127207
2010-09,404.23446848650275
2010-10,420.40823094503713
2010-11,398.00579320717014
2010-12,462.28535863475855
2011-01,471.68963683487675
2011-02,476.4946914897181
2011-03,491.3598141841464
2011-04,520.5526088857192
2011-05,497.1646259562118
2011-06,471.9057140837466
2011-07,448.5618769533805
2011-08,397.4716771680062
2011-09,333.89389492265514
2011-10,388.3738523047817
2011-11,367.57735406652694
2011-12,360.0829099183548
2012-01,400.3142488916577
2012-02,436.5467280368434
2012-03,427.0690033685274
2012-04,426.9193608262059
2012-05,366.24597378866275
2012-06,384.3481630191711
2012-07,394.83252711811724
2012-08,408.45510260492136
2012-09,431.3354378933365
2012-10,428.15391359599425
2012-11,430.9238129331019
2012-12,449.77932640514956
2013-01,482.3174231094191
2013-02,500.5734687381808
2013-03,492.6185841627286
2013-04,502.87089368547964
2013-05,513.2759060562925
2013-06,483.801674073453
2013-07,532.810247436079
2013-08,525.6821998864069
2013-09,566.9640696888546
2013-10,585.7500433253673
2013-11,598.8926783694748
2013-12,614.8174804427287
2014-01,598.2827140347405
2014-02,657.7225096887773
2014-03,653.6962535845123
2014-04,669.331199216438
2014-05,694.1599390826966
2014-06,691.2875381300448
2014-07,649.8475937706236
2014-08,643.4478263818968
2014-09,605.4218277640018
2014-10,595.3160255109246
2014-11,598.6372701123855
2014-12,587.9332342746627
2015-01,584.2229188050901
2015-02,623.9809233715253
2015-03,606.2447463375596
2015-04,647.604179043666
2015-05,638.381231229071
2015-06,621.6141081884494
2015-07,640.509396613529
2015-08,617.193700769849
2015-09,609.8221832892391
2015-10,640.3291903875506
2015-11,664.8022641471517
2015-12,668.0010624595138
2016-01,614.4147544321879
2016-02,629.5397061865589
2016-03,684.7231866027887
2016-04,694.7555226418466
2016-05,703.4885074161612
2016-06,667.4031071428006
2016-07,709.5920336907107
2016-08,722.9805941754217
2016-09,749.4634192788395
2016-10,709.8284841726908
2016-11,689.0652846735945
2016-12,723.0291317382902
2017-01,747.0065621616144
2017-02,746.2202460239159
2017-03,750.2965157947648
2017-04,801.700198
2017-05,826.588525
2017-06,829.530504
2017-07,862.173824
2017-08,873.804541
2017-09,887.69434
2017-10,878.942204
2017-11,859.376634
2017-12,885.854657
2018-01,931.882225
2018-02,901.112987
2018-03,887.4345823865111
2018-04,918.4662779142424
2018-05,923.774299826444
2018-06,922.0577783110754
2018-07,958.5796669592529
2018-08,946.685817272009
2018-09,943.8115586372465
2018-10,851.0458007817089
2018-11,814.2751057667009
2018-12,779.0242433750387
2019-01,841.6988126058098
2019-02,855.3623067107925
2019-03,861.2749339274742
2019-04,885.2634810503033
2019-05,836.0426554399057
2019-06,888.8086526834894
2019-07,860.0576977747031
2019-08,829.5073210025611
2019-09,842.0048911705451
2019-10,877.6173663238483
2019-11,912.1477996425332
2019-12,976.6552437595935
2020-01,952.9963333230482
2020-02,882.5891548340894
2020-03,702.0626934574367
2020-04,799.4513269225345
2020-05,896.2055014705716
2020-06,920.5315363971072
2020-07,1033.73691262984
2020-08,1106.5467635988773
2020-09,1111.570243
2020-10,1043.6175304339451
2020-11,1214.0250863887275
2020-12,1331.0972143240922
2021-01,1302.1988666682137
2021-02,1335.9768474219886
2021-03,1365.4310688324415
2021-04,1487.6286125157471
2021-05,1529.592504255256
2021-06,1488.0942218425805
2021-07,1575.6405319724722
2021-08,1593.5839476632184
2021-09,1462.4726962828006
2021-10,1560.2049766927864
2021-11,1488.5281196049255
2021-12,1547.15562676073
2022-01,1359.12031039164
2022-02,1277.3747819345745
2022-03,1325.8026226051697
2022-04,1211.626115117863
2022-05,1207.264271870649
2022-06,1005.0515413024227
2022-07,1130.4442737708082
2022-08,1021.8989128258874
2022-09,862.2035670406752
2022-10,937.6619984000589
2022-11,1040.4572255386092
2022-12,1055.1404349109068
2023-01,1127.2757213332095
2023-02,1149.7827098506
2023-03,1133.3815254650658
2023-04,1164.9966474971147
2023-05,1084.188678544814
2023-06,1102.932732606434
2023-07,1133.45070871396
