Date,EM GCC COUNTRIES DOMESTIC SMALL CAP
2014-05,1000.0
2014-06,798.981866908077
2014-07,943.9338414987701
2014-08,972.8077567459601
2014-09,962.293507715042
2014-10,880.1238207206114
2014-11,882.5451440840355
2014-12,818.7592760793368
2015-01,820.2420301140444
2015-02,853.7244387670423
2015-03,790.6029606494584
2015-04,917.5256522221786
2015-05,884.716496089569
2015-06,925.534820937594
2015-07,939.2117216912882
2015-08,841.3002773426698
2015-09,840.1253754859721
2015-10,819.8501130074427
2015-11,721.6420841810069
2015-12,734.2269052207091
2016-01,638.7283563475185
2016-02,742.6145399712522
2016-03,792.2997355420864
2016-04,799.8653830009763
2016-05,768.118066885043
2016-06,782.239861657885
2016-07,820.0467889924267
2016-08,823.4318459610972
2016-09,811.4769265359689
2016-10,776.6754031087545
2016-11,786.8328872839769
2016-12,841.0331199401589
2017-01,873.3166580432422
2017-02,860.9466964492814
2017-03,833.5141918072613
2017-04,823.43359
2017-05,789.948101
2017-06,769.098493
2017-07,804.750367
2017-08,762.089225
2017-09,752.35462
2017-10,742.191524
2017-11,705.259565
2017-12,767.501806
2018-01,804.465574
2018-02,777.777853
2018-03,771.807026
2018-04,774.0999267669824
2018-05,762.864236882342
2018-06,732.0713673230595
2018-07,751.3602040507695
2018-08,735.7129138789488
2018-09,728.2324893778301
2018-10,725.9628240017773
2018-11,703.1432318258426
2018-12,681.2938296433499
2019-01,707.4462379419493
2019-02,680.483675432214
2019-03,697.7148414765588
2019-04,711.724725919876
2019-05,669.7179138990134
2019-06,693.3944374292822
2019-07,730.2002064048421
2019-08,713.1314127227944
2019-09,738.8560583892498
2019-10,720.0269125597636
2019-11,726.1624168132158
2019-12,786.9757149794955
2020-01,816.0118037117182
2020-02,740.2758697554779
2020-03,601.9903565545916
2020-04,686.6327539980366
2020-05,659.3036825370586
2020-06,717.3070859562869
2020-07,762.861453631502
2020-08,803.8696756934169
2020-09,858.4295367322649
2020-10,805.7038228548784
2020-11,871.2031492061342
2020-12,897.847329388874
2021-01,925.0421130754512
2021-02,917.1030993045782
2021-03,966.3514109532236
2021-04,1028.5275177654953
2021-05,1064.072313237624
2021-06,1093.8022833608293
2021-07,1101.6647167759047
2021-08,1108.6992430422192
2021-09,1097.7648381550996
2021-10,1093.0625657699952
2021-11,1034.237322336286
2021-12,1068.0758696747896
2022-01,1119.5818808667943
2022-02,1120.6450593596767
2022-03,1164.954771516356
2022-04,1193.2694574075838
2022-05,1123.670089412125
2022-06,1037.0805805425143
2022-07,1074.325303818816
2022-08,1104.6110518015573
2022-09,1037.9787284942227
2022-10,1046.0835584460094
2022-11,1013.1335120894927
2022-12,982.5416549808031
2023-01,1018.5403463920644
2023-02,1026.5029574601538
2023-03,1042.3231967657014
2023-04,1096.8406927628866
2023-05,1132.8988147836778
2023-06,1183.8633460266606
2023-07,1219.5762589065973
