Date,EM EASTERN EUROPE SMALL CAP
1996-09,180.41608014818868
1996-10,160.32870343651828
1996-11,161.31444960660582
1996-12,168.23048320033303
1997-01,178.99335066666055
1997-02,181.06454323722616
1997-03,173.8449925481952
1997-04,165.85207676031104
1997-05,153.3881422564107
1997-06,151.50273561163675
1997-07,150.62711409884378
1997-08,155.81867329786655
1997-09,159.9100018379538
1997-10,147.4558614424666
1997-11,135.21824688994954
1997-12,134.71355792
1998-01,119.29091604495015
1998-02,131.73330279316053
1998-03,128.74017382680893
1998-04,125.55448625989267
1998-05,107.02347192596277
1998-06,102.86798173413185
1998-07,103.0724776192899
1998-08,72.30216023825773
1998-09,64.7576380005826
1998-10,69.60580846963428
1998-11,69.42338477261481
1998-12,67.9249913353431
1999-01,65.90128885617608
1999-02,59.026801639010905
1999-03,64.20968870311862
1999-04,67.21887422878815
1999-05,75.46344740580571
1999-06,84.28393851914315
1999-07,86.78457869292174
1999-08,86.22313234311522
1999-09,78.7039167871897
1999-10,78.9045906166817
1999-11,80.19232661483247
1999-12,91.70447996873985
2000-01,104.58512344423586
2000-02,110.97911036969545
2000-03,119.68215269456078
2000-04,108.44801766771543
2000-05,106.95206464953586
2000-06,105.42456638910689
2000-07,106.61655999334054
2000-08,110.7222249877043
2000-09,102.24418175029146
2000-10,99.71893466099719
2000-11,90.45429005064
2000-12,95.88641358203569
2001-01,98.73847672390855
2001-02,93.37534060993123
2001-03,92.18983789936041
2001-04,98.52878043965208
2001-05,99.33332165201078
2001-06,97.68559844022978
2001-07,92.16791788585229
2001-08,93.89946458456178
2001-09,88.82145407570526
2001-10,96.84487536347534
2001-11,108.18512385973585
2001-12,106.88001852811787
2002-01,119.2083118658152
2002-02,119.77635111806916
2002-03,130.21517144295797
2002-04,137.65239392868412
2002-05,137.45424390464237
2002-06,123.27480375189661
2002-07,112.46583862588766
2002-08,114.12485036591023
2002-09,115.28759331757605
2002-10,127.76207060016962
2002-11,134.6385135873208
2002-12,137.19542829711884
2003-01,134.31828702240136
2003-02,141.06733823470032
2003-03,142.3469426461548
2003-04,159.41587072205073
2003-05,174.9840141113982
2003-06,178.25785525773475
2003-07,186.04351956788358
2003-08,218.29644666613743
2003-09,215.94530460682748
2003-10,216.6367174348416
2003-11,215.30154178383796
2003-12,239.2081688633319
2004-01,243.7769935878779
2004-02,260.8598849298417
2004-03,270.5226135593974
2004-04,263.4012847703075
2004-05,259.5204546605788
2004-06,266.8932346867544
2004-07,255.55695251524548
2004-08,266.84914965211135
2004-09,287.63069632583824
2004-10,284.6869988756653
2004-11,290.3599781847581
2004-12,307.95353011283277
2005-01,315.6785738818673
2005-02,349.6459511161862
2005-03,316.60644971721507
2005-04,292.48183162804656
2005-05,293.95850934527454
2005-06,302.0340091195332
2005-07,326.55138074827323
2005-08,367.2671442616963
2005-09,408.8174054211231
2005-10,390.2810907616293
2005-11,414.14134528445584
2005-12,443.024255893429
2006-01,505.64552507882956
2006-02,561.0079310707049
2006-03,564.2885244843629
2006-04,598.9193247362975
2006-05,529.2623989801292
2006-06,517.5724143098677
2006-07,587.6871994510811
2006-08,591.666215675653
2006-09,616.9661738880654
2006-10,666.4567106486378
2006-11,742.4262919081444
2006-12,787.6794196477166
2007-01,815.7506566282314
2007-02,824.1167368696423
2007-03,914.529790626458
2007-04,988.4205845058177
2007-05,1000.0
2007-06,1043.9020852507315
2007-07,1005.8175182197141
2007-08,939.1015129015906
2007-09,979.5021582484611
2007-10,1035.1431351856272
2007-11,958.5050126337574
2007-12,983.3044983681841
2008-01,872.9955800152234
2008-02,898.9763670111101
2008-03,916.432779124009
2008-04,880.0383345078752
2008-05,876.9285403179782
2008-06,807.1040893236001
2008-07,749.0182447548208
2008-08,665.7989581054117
2008-09,524.7901310964767
2008-10,322.5042733353787
2008-11,282.2910049798602
2008-12,260.8648149006902
2009-01,213.50019905323995
2009-02,190.10906538026103
2009-03,229.52763321376864
2009-04,296.6556084595488
2009-05,350.27605875248594
2009-06,357.35646498115534
2009-07,414.6390529238173
2009-08,495.67482500149237
2009-09,504.9633299024155
2009-10,491.77928875135245
2009-11,499.93369712011446
2009-12,510.15931204556455
2010-01,521.3136108789267
2010-02,521.0063645967838
2010-03,614.4064119715193
2010-04,613.9123837558996
2010-05,513.0159000429685
2010-06,484.8576834733653
2010-07,553.6404587387624
2010-08,554.4424580526726
2010-09,614.3771822012994
2010-10,639.4237404945025
2010-11,612.7709029695832
2010-12,663.5330525724712
2011-01,695.8142534561814
2011-02,709.049461720699
2011-03,723.7715687853794
2011-04,768.93481808668
2011-05,717.5532566927978
2011-06,694.136618470938
2011-07,666.0454158007461
2011-08,556.4729587955727
2011-09,433.1363955319892
2011-10,490.3930605631591
2011-11,439.51614375319645
2011-12,399.8141655521899
2012-01,462.28512262183546
2012-02,496.52014294271703
2012-03,479.1066261753958
2012-04,460.22684925390615
2012-05,370.49239212586235
2012-06,395.5580956957021
2012-07,391.4879247507033
2012-08,390.44151094153915
2012-09,431.97765180251395
2012-10,426.135267359577
2012-11,434.0791117610542
2012-12,468.7679167577773
2013-01,480.63976811489846
2013-02,457.38466075953545
2013-03,422.0523142405563
2013-04,412.85508757287505
2013-05,429.65813067152624
2013-06,406.8809707481714
2013-07,432.01609408339414
2013-08,431.1735485223048
2013-09,464.7761697262886
2013-10,492.2639968224867
2013-11,488.50360113206546
2013-12,497.52161559711067
2014-01,461.9326916010601
2014-02,482.62808643143273
2014-03,458.4146986169428
2014-04,459.7505115521001
2014-05,468.2186997477019
2014-06,474.0371115973551
2014-07,437.3348419881016
2014-08,435.8449044768608
2014-09,428.8885296855209
2014-10,411.42905382170517
2014-11,397.6490193493071
2014-12,333.75777471984844
2015-01,338.2041212040407
2015-02,366.41400948620867
2015-03,360.0357494576555
2015-04,396.2621699962445
2015-05,382.6220829158308
2015-06,359.4670512198031
2015-07,367.384506344255
2015-08,348.25712976084105
2015-09,347.4847708982969
2015-10,363.24588135436505
2015-11,344.86475852265465
2015-12,336.8154137961371
2016-01,311.50856341867006
2016-02,326.22940972790576
2016-03,372.1264928727523
2016-04,381.02074316502564
2016-05,366.93152648162044
2016-06,379.5145225910441
2016-07,404.18910688927605
2016-08,443.0150353083853
2016-09,475.36234299577444
2016-10,485.9715676918306
2016-11,495.3423693772787
2016-12,531.1470559853836
2017-01,590.2485766018765
2017-02,592.3033261623511
2017-03,605.203122352617
2017-04,626.56649
2017-05,633.720465
2017-06,648.112787
2017-07,682.159427
