Date,FM ex GCC SMALL CAP
2010-11,1000.0
2010-12,1004.3119901412377
2011-01,981.6826566477826
2011-02,857.0048733527321
2011-03,866.3154362381007
2011-04,865.5315300169227
2011-05,837.2905673694146
2011-06,842.1459802852496
2011-07,829.9165007742537
2011-08,784.8797314210784
2011-09,716.8499781859978
2011-10,684.0917431582548
2011-11,664.0604886713878
2011-12,641.413330910694
2012-01,592.114314540068
2012-02,643.2413754749645
2012-03,655.2395152629953
2012-04,677.715846127768
2012-05,630.7873772020125
2012-06,611.2330988860159
2012-07,595.5170633713265
2012-08,608.1881383956859
2012-09,644.8363852075314
2012-10,640.5083130793303
2012-11,629.8712533088174
2012-12,658.1339800422651
2013-01,719.6817374715397
2013-02,703.9599896096647
2013-03,703.9904682410836
2013-04,681.2689903252096
2013-05,748.7334750656651
2013-06,736.8351831158678
2013-07,736.9272650265635
2013-08,713.6144889504571
2013-09,722.8267462066589
2013-10,753.2249777015002
2013-11,804.2098850881634
2013-12,832.1071012748897
2014-01,854.9086038329541
2014-02,857.5006898048933
2014-03,842.6640362604819
2014-04,865.3202403854739
2014-05,881.5306539823048
2014-06,912.5229379114331
2014-07,921.9893717517294
2014-08,921.0643922873522
2014-09,945.6184550843649
2014-10,923.3632277897653
2014-11,890.2302020078426
2014-12,855.4226246578045
2015-01,835.1573500925614
2015-02,840.5566537291197
2015-03,825.1770642938817
2015-04,835.5016089160238
2015-05,851.8788194706507
2015-06,850.4505074346732
2015-07,852.9615900663089
2015-08,824.207885277196
2015-09,806.1943925459004
2015-10,819.9532056182384
2015-11,789.0207012599141
2015-12,792.8843781673289
2016-01,771.6681567507363
2016-02,765.2199306972062
2016-03,781.0934863174558
2016-04,791.3673199771945
2016-05,821.7824735294371
2016-06,825.0126459789501
2016-07,840.3010007321436
2016-08,834.6601981400001
2016-09,871.3527619200736
2016-10,869.4141880813784
2016-11,878.5286248835203
2016-12,904.3393593992286
2017-01,972.3046071080893
2017-02,988.3370482191583
2017-03,1018.3719128572486
2017-04,1017.093331
2017-05,1043.379701
2017-06,1076.590911
2017-07,1099.384892
2017-08,1109.390041
2017-09,1113.429486
2017-10,1118.995603
2017-11,1153.823025
2017-12,1168.067307
2018-01,1214.520712
2018-02,1169.486303
2018-03,1158.193858
2018-04,1136.2281220219381
2018-05,1050.5690096376243
2018-06,1039.3179606901424
2018-07,1030.2861863549933
2018-08,1031.453191604029
2018-09,993.7084229676851
2018-10,950.5781242799998
2018-11,944.595996589324
2018-12,943.3569463621283
2019-01,979.3829991257062
2019-02,968.9392027948933
2019-03,922.9129918355175
2019-04,899.1898850052927
2019-05,897.9970071920281
2019-06,918.6358750523277
2019-07,911.2536847776879
2019-08,893.4894258636923
2019-09,887.7760337206969
2019-10,886.014567597378
2019-11,897.6533618532453
2019-12,904.018397108286
2020-01,908.7306480840858
2020-02,858.5593654650662
2020-03,695.2105086627645
2020-04,739.6184731839545
2020-05,775.5438349426919
2020-06,778.4742783203102
2020-07,789.5472567800624
2020-08,855.0707750950326
2020-09,865.371201453604
2020-10,859.3157665996315
2020-11,921.0917051575975
2020-12,1007.5875154392129
2021-01,1045.2225805718829
2021-02,1052.333910888025
2021-03,1066.0133372941389
2021-04,1107.7787823137082
2021-05,1187.0959607160864
2021-06,1222.3670981051935
2021-07,1224.7746108552626
2021-08,1304.9875823072857
2021-09,1328.8469899406732
2021-10,1397.1895466723272
2021-11,1423.3836596968472
2021-12,1455.480416527748
2022-01,1418.9967341097263
2022-02,1436.262505862437
2022-03,1448.363824116034
2022-04,1374.5744607911424
2022-05,1299.1782754199705
2022-06,1205.9405764259188
2022-07,1194.2106098401773
2022-08,1227.465767297371
2022-09,1112.4015717865732
2022-10,1060.8369369115487
2022-11,1082.843279091036
2022-12,1089.0949396742315
2023-01,1127.112159035598
2023-02,1099.37234211258
2023-03,1120.621231176362
2023-04,1152.931709416746
2023-05,1156.7620434389744
2023-06,1180.6653624803794
2023-07,1267.1541413034906
