Date,FM ASIA INDEX SMALL CAP
2010-11,1000.0
2010-12,993.7823716599032
2011-01,906.8252393472949
2011-02,699.422618062007
2011-03,750.7966451361958
2011-04,712.8804227809072
2011-05,668.3308223869917
2011-06,700.6834711897089
2011-07,720.4996638480699
2011-08,710.1156197257881
2011-09,671.6662267342269
2011-10,605.08444748242
2011-11,601.7172578061649
2011-12,568.4509828520346
2012-01,477.7446399486622
2012-02,544.447031972441
2012-03,566.5945645575928
2012-04,594.1702166849793
2012-05,551.3467054092735
2012-06,529.3632186919508
2012-07,493.8906638906473
2012-08,508.50956735248025
2012-09,537.8599768183145
2012-10,517.4326935910132
2012-11,495.7557960243381
2012-12,519.1827274567178
2013-01,547.9998095235617
2013-02,537.7257160013451
2013-03,516.6969505628782
2013-04,494.8105094996073
2013-05,567.316049044408
2013-06,570.4579366844754
2013-07,550.6177123640633
2013-08,538.1551666442763
2013-09,523.4787695164647
2013-10,538.1653974179569
2013-11,576.274494157135
2013-12,591.8948598492565
2014-01,654.6840828102625
2014-02,651.561067351426
2014-03,650.8531421799631
2014-04,667.1689386361651
2014-05,660.4470713004813
2014-06,664.9889130622075
2014-07,678.9302893772775
2014-08,681.2627835906557
2014-09,735.7022265773019
2014-10,751.4447588641391
2014-11,730.1682859511949
2014-12,740.6607449786875
2015-01,746.3970718329766
2015-02,748.6110369464742
2015-03,695.6843945605275
2015-04,690.0131064995921
2015-05,737.223652999545
2015-06,747.4006720977256
2015-07,785.690558662725
2015-08,756.5973045262599
2015-09,746.7305052079006
2015-10,741.7249741265333
2015-11,726.0020702748677
2015-12,735.2042899000667
2016-01,714.2576305751805
2016-02,707.5709311108037
2016-03,710.1955106707862
2016-04,723.9137060004805
2016-05,749.4862934591333
2016-06,767.6248969241219
2016-07,789.6039662839155
2016-08,796.3891894269753
2016-09,810.3981577622521
2016-10,790.114013969905
2016-11,815.051037182187
2016-12,847.6461093626152
2017-01,913.5735223921862
2017-02,922.6508234422882
2017-03,949.1243144224101
2017-04,926.075209
2017-05,937.327626
2017-06,982.525982
2017-07,992.875732
2017-08,995.280108
2017-09,988.611135
2017-10,967.35813
2017-11,1013.690754
2017-12,1012.733138
2018-01,1002.898607
2018-02,956.480696
2018-03,944.692821
2018-04,930.7076511433148
2018-05,867.1084986613538
2018-06,851.2783483414337
2018-07,834.2629959053216
2018-08,877.1745913190783
2018-09,855.0694485945422
2018-10,811.2172871084896
2018-11,810.0181111846293
2018-12,810.3781877836017
2019-01,842.5957469821626
2019-02,843.584030506591
2019-03,806.4951378244116
2019-04,778.405070447006
2019-05,784.9024724094123
2019-06,788.1409510008007
2019-07,782.9971174936921
2019-08,769.4935229124704
2019-09,751.4257985107073
2019-10,730.7545267973362
2019-11,735.9345566961806
2019-12,702.0049655753799
2020-01,705.0084249078524
2020-02,689.7243486110856
2020-03,568.981699016686
2020-04,618.510453647305
2020-05,642.682309583565
2020-06,640.7264864357246
2020-07,659.3658237601832
2020-08,767.9737430125164
2020-09,789.5011205561068
2020-10,765.2214042764866
2020-11,814.8794941923603
2020-12,942.7323827334862
2021-01,981.7379281001054
2021-02,1010.0247631572669
2021-03,1037.630586521424
2021-04,1062.3035859305
2021-05,1164.7407541312205
2021-06,1231.9411534307485
2021-07,1213.5012477709015
2021-08,1363.4947420123374
2021-09,1427.5402170868806
2021-10,1512.713405270705
2021-11,1618.9942404741764
2021-12,1638.426942883598
2022-01,1541.9928243648785
2022-02,1612.6722359560977
2022-03,1601.6902839642757
2022-04,1462.8371748640147
2022-05,1349.502682515107
2022-06,1218.9693988681965
2022-07,1178.8356706082898
2022-08,1277.0499703310047
2022-09,1136.1240844738654
2022-10,1023.2023719744067
2022-11,1029.1910203389805
2022-12,1021.0638140980546
2023-01,1047.4757994483107
2023-02,987.709894883423
2023-03,1013.0386323605685
2023-04,1043.3417989574161
2023-05,1081.1475964471483
2023-06,1112.0043097851
2023-07,1223.7064492792465
