Date,EM LATIN AMERICA SMALL CAP
1996-05,191.53026284156763
1996-06,191.48573470104293
1996-07,184.82133305536067
1996-08,183.05804337837296
1996-09,188.68989226714737
1996-10,182.72473058827072
1996-11,183.0335612553662
1996-12,182.13011167461843
1997-01,193.48259634068998
1997-02,204.14648131782386
1997-03,201.60000257286356
1997-04,203.81687250472228
1997-05,214.9572836809139
1997-06,227.9223488750512
1997-07,239.4301268488013
1997-08,228.65973195487075
1997-09,234.4192937077488
1997-10,207.67043147821437
1997-11,196.26927730287167
1997-12,198.93257896604314
1998-01,175.41034281243154
1998-02,178.091958144007
1998-03,194.37425059787213
1998-04,200.05845582423217
1998-05,178.42648893332273
1998-06,167.29454776499708
1998-07,165.0410548414924
1998-08,127.99712167971082
1998-09,118.64027563562556
1998-10,117.43101913915264
1998-11,130.6568689363114
1998-12,126.21736687747374
1999-01,104.71363940734372
1999-02,106.64227732113696
1999-03,124.34356989995692
1999-04,136.4131333495367
1999-05,134.9014907340784
1999-06,137.97768232437116
1999-07,134.93341568288324
1999-08,131.5678455642202
1999-09,133.5643705361042
1999-10,135.38149663069527
1999-11,148.94568131887075
1999-12,166.37267520508374
2000-01,173.4576815306223
2000-02,175.53332173394048
2000-03,175.9873565929305
2000-04,165.96304144722845
2000-05,156.29228259485765
2000-06,160.78985870423915
2000-07,167.90009835968814
2000-08,169.63779305038813
2000-09,166.06210293710333
2000-10,157.42052610655347
2000-11,152.09439426483354
2000-12,157.0247753389607
2001-01,169.50211812297303
2001-02,162.052195061851
2001-03,156.68866005914632
2001-04,153.4487460735263
2001-05,154.5596209308107
2001-06,155.40000419822786
2001-07,145.3756129458499
2001-08,142.72987132335751
2001-09,123.4998353937716
2001-10,125.56572214570754
2001-11,137.05800005915992
2001-12,150.34317087460406
2002-01,146.8934201655067
2002-02,151.52569839107946
2002-03,154.8218152676974
2002-04,155.5561839408376
2002-05,150.44312876971745
2002-06,131.439263447578
2002-07,118.44668659598423
2002-08,125.09695482492579
2002-09,106.13410980705353
2002-10,114.49956890026702
2002-11,119.4255912428614
2002-12,123.12181771495223
2003-01,120.29287951871655
2003-02,120.14625759647146
2003-03,127.38384883282403
2003-04,153.91555929349332
2003-05,159.95011417148802
2003-06,168.31293696666748
2003-07,171.8426515863983
2003-08,180.20854026100596
2003-09,193.74925481867774
2003-10,215.21478314331074
2003-11,226.26629893888833
2003-12,255.74326358411372
2004-01,262.76415277170497
2004-02,273.8310990345823
2004-03,284.2261390130962
2004-04,259.5493790467674
2004-05,247.73802864039865
2004-06,256.9575656183516
2004-07,271.4770694012471
2004-08,297.72500812850467
2004-09,322.26273662271666
2004-10,327.4036262577702
2004-11,363.5675064892533
2004-12,392.2882426079699
2005-01,387.21458692752
2005-02,416.15175498379574
2005-03,386.030770879494
2005-04,375.7936149100111
2005-05,395.93410566611516
2005-06,399.81274782984394
2005-07,421.5832520397206
2005-08,431.12560429754
2005-09,487.46688820000054
