Date,AC ASIA PACIFIC SMALL CAP
1994-05,764.795856020557
1994-06,817.8208787899423
1994-07,801.4997613327341
1994-08,803.3516492713472
1994-09,782.0446919630889
1994-10,788.7426265975307
1994-11,726.3754480403394
1994-12,736.6096650449132
1995-01,696.0628750714317
1995-02,664.0455356397144
1995-03,690.9179766582794
1995-04,697.3332871985132
1995-05,659.5405048497756
1995-06,635.6961513343595
1995-07,676.1856272027794
1995-08,664.4040668731849
1995-09,655.3139981172784
1995-10,629.5001453529343
1995-11,648.5819762654376
1995-12,683.4258010362347
1996-01,700.2103355459324
1996-02,697.0469996639196
1996-03,712.1485428035674
1996-04,778.1914432695764
1996-05,752.0182343318835
1996-06,751.1942210630017
1996-07,709.598658126796
1996-08,699.191047202548
1996-09,697.3735202098336
1996-10,668.485379925478
1996-11,660.643808321634
1996-12,614.8286970595583
1997-01,585.0179008625583
1997-02,596.6641079011763
1997-03,566.1113739456752
1997-04,551.500860890353
1997-05,599.6825432932426
1997-06,612.4651953986229
1997-07,575.0318607421276
1997-08,513.2481990006539
1997-09,469.30228113122473
1997-10,419.83643316547125
1997-11,361.700850393755
1997-12,319.61786776758606
1998-01,347.6077287736155
1998-02,382.79764988934613
1998-03,363.496088540315
1998-04,345.56014701610417
1998-05,320.0787611480903
1998-06,304.60553604002376
1998-07,301.2995826285482
1998-08,268.8912704174059
1998-09,269.50890317592035
1998-10,306.43422394416376
1998-11,333.2641062236797
1998-12,342.89820339458646
1999-01,344.55568403774043
1999-02,340.8131285376961
1999-03,381.32178841387326
1999-04,428.19211302016623
1999-05,413.50212550025356
1999-06,469.120059732905
1999-07,488.4249176503262
1999-08,503.0196613695927
1999-09,509.68520336549886
1999-10,505.5566221112661
1999-11,510.2435963533541
1999-12,499.10440557543416
2000-01,495.92730308059254
2000-02,485.47556763278294
2000-03,511.20574129589767
2000-04,458.1441108777138
2000-05,448.9644132371836
2000-06,482.4799060583759
2000-07,440.9459818789228
2000-08,461.8137976155715
2000-09,426.6736348172458
2000-10,388.1572297312607
2000-11,386.0915057964992
2000-12,366.4706154525053
2001-01,380.03323337680155
2001-02,381.5131831486798
2001-03,360.66553765592136
2001-04,384.7251014096179
2001-05,394.5659780323173
2001-06,386.8275405920912
2001-07,362.9745332143519
2001-08,367.85315891048265
2001-09,332.3638796061347
2001-10,344.7813101187942
2001-11,347.7831424302662
2001-12,336.4570570278242
2002-01,337.3277500729641
2002-02,348.10696286186356
2002-03,369.9591262334895
2002-04,381.476596166698
2002-05,400.829243346472
2002-06,383.85932543278005
2002-07,369.98715322008303
2002-08,367.39023129205174
2002-09,345.10529433032764
2002-10,332.83744842900154
2002-11,338.5235896702776
2002-12,334.08723575740987
2003-01,337.63120228836794
2003-02,342.3046130698165
2003-03,337.12326193185703
2003-04,350.02868979636736
2003-05,373.0147839383471
2003-06,399.5131719611351
2003-07,411.3168827841914
2003-08,442.86515882571365
2003-09,470.7033760706144
2003-10,504.27998753921463
2003-11,484.0392094813581
2003-12,514.824942732244
2004-01,533.6073388125901
2004-02,542.7652934303095
2004-03,601.6859190360284
2004-04,580.4810875738555
2004-05,555.4067530129663
2004-06,585.3216878812813
2004-07,555.8025180953034
2004-08,566.0706031519875
2004-09,567.5032518076806
2004-10,581.7075883339666
2004-11,616.4034339148152
2004-12,645.5671608849914
2005-01,659.5856313343389
2005-02,682.4208518983133
2005-03,671.7766664120114
2005-04,660.0311203274856
2005-05,654.8729671385206
2005-06,673.9120706254349
2005-07,693.5672572608062
2005-08,705.6013887355134
2005-09,744.0871848946513
2005-10,734.7284933697854
2005-11,768.6513510762666
2005-12,836.2650563821485
2006-01,873.7191293776872
