Date,WORLD ex EMU SMALL CAP
2000-12,1000.0
2001-01,1035.051985507488
2001-02,1006.206805237615
2001-03,958.261614990538
2001-04,1040.1746272869104
2001-05,1057.3344700381303
2001-06,1064.1554173498555
2001-07,1023.9188958982152
2001-08,1022.2145394214135
2001-09,892.4551420618353
2001-10,951.0856270178198
2001-11,1009.5222553459301
2001-12,1038.8121232608944
2002-01,1014.2897301979402
2002-02,1003.8374019525816
2002-03,1085.209391799447
2002-04,1100.1220752966371
2002-05,1094.802385935003
2002-06,1033.318680318323
2002-07,919.8686573235054
2002-08,916.7409546080112
2002-09,855.0311515442112
2002-10,860.0217353395133
2002-11,909.1569880625276
2002-12,864.1204939073594
2003-01,845.7960198714263
2003-02,835.212145348421
2003-03,838.5711581612796
2003-04,919.3277035316697
2003-05,1015.949968899596
2003-06,1051.0740386394
2003-07,1094.3495056085753
2003-08,1169.932402487349
2003-09,1186.5058373687873
2003-10,1292.61298439658
2003-11,1309.8617935194375
2003-12,1364.1794635323924
2004-01,1421.8208945797996
2004-02,1448.6309952870138
2004-03,1502.7458886210898
2004-04,1428.8370634249677
2004-05,1437.6154204064276
2004-06,1502.5938524059382
2004-07,1422.7023708432937
2004-08,1420.7640961692798
2004-09,1471.0519551413272
2004-10,1510.3827962073246
2004-11,1626.8833667572496
2004-12,1691.012729002807
2005-01,1662.9652085367982
2005-02,1708.8458508234628
2005-03,1671.66335270506
2005-04,1604.2281682896894
2005-05,1658.544959921691
2005-06,1706.9171609925627
2005-07,1792.126580298877
2005-08,1807.7061582259903
2005-09,1851.280358995037
2005-10,1799.6891932732917
2005-11,1881.5329716655835
2005-12,1958.7214823790691
2006-01,2084.195950408308
2006-02,2058.8118266477154
2006-03,2154.642371307463
2006-04,2202.7178217868595
2006-05,2079.7639041153216
2006-06,2048.8028604101924
2006-07,1987.3993753198124
2006-08,2044.8509067896653
2006-09,2050.763498632845
2006-10,2137.901882632576
2006-11,2203.1671343358144
2006-12,2232.1836283242837
2007-01,2267.2775466234093
2007-02,2283.795282239956
2007-03,2330.439274527595
2007-04,2397.6099473875315
2007-05,2460.629019135629
2007-06,2443.297515291488
2007-07,2350.04990438352
2007-08,2289.8203928889925
2007-09,2339.9863890598685
2007-10,2448.744082917319
2007-11,2262.3646983957674
2007-12,2224.0221054234357
2008-01,2061.2583348807566
2008-02,2065.8063442167504
2008-03,2035.7181716853247
2008-04,2125.0474561189217
2008-05,2210.469145292434
2008-06,2037.2762797466771
2008-07,2011.3025755662215
2008-08,2016.9585283756167
2008-09,1767.1539857997893
2008-10,1378.3504794933438
2008-11,1260.2951327881997
2008-12,1331.148808175326
2009-01,1233.2453313237936
2009-02,1102.2622521259837
2009-03,1194.2184290659109
2009-04,1387.2807740413439
2009-05,1498.7968565424737
2009-06,1519.431416583114
2009-07,1655.105279013228
