Date,EAFE SMALL CAP
2000-12,100.0
2001-01,103.01408732591051
2001-02,100.9643144885099
2001-03,93.34367382854644
2001-04,101.36137000536466
2001-05,101.20260888280231
2001-06,98.24017025086566
2001-07,94.20890384670642
2001-08,95.23854222153727
2001-09,82.53149200395364
2001-10,86.75445249614832
2001-11,90.10338688916204
2001-12,87.89173137129083
2002-01,85.82841771313102
2002-02,87.25996092677632
2002-03,93.06742780624518
2002-04,96.48332642918427
2002-05,100.80950074903167
2002-06,97.0724886041041
2002-07,89.58689616619921
2002-08,88.44385646125485
2002-09,81.5738274732605
2002-10,80.5671584861943
2002-11,82.88879516308464
2002-12,81.34963971904213
2003-01,80.20053597447139
2003-02,79.56524126994748
2003-03,79.15747402726694
2003-04,86.67047648595346
2003-05,94.13895123352965
2003-06,99.19299731160645
2003-07,102.28203095270017
2003-08,109.04170892112793
2003-09,115.58880599139663
2003-10,124.82310811191549
2003-11,124.31608755553762
2003-12,131.8998240924845
2004-01,138.60713494065214
2004-02,142.55576223484556
2004-03,148.46484638555134
2004-04,144.01256527573491
2004-05,141.7672407117821
2004-06,149.44769582840237
2004-07,142.70911663387616
2004-08,143.75032017362
2004-09,147.1908632875028
2004-10,152.728144
2004-11,164.9054579405829
2004-12,173.1498962146093
2005-01,176.57517558212666
2005-02,183.68679556316127
2005-03,180.78701745006032
2005-04,176.6311170601557
2005-05,176.7205858048747
2005-06,181.522502308179
2005-07,189.73279086040242
2005-08,195.25094832154107
2005-09,203.3204247663363
2005-10,196.68692591521233
2005-11,203.03861521316065
2005-12,219.29058269751135
2006-01,234.26849568116626
2006-02,231.42634178740292
2006-03,242.68420046544787
2006-04,253.3343512011599
2006-05,238.93069763243784
2006-06,233.76736643861219
2006-07,227.46553923647195
2006-08,233.85973689343848
2006-09,234.8416908802318
2006-10,243.46673604462356
2006-11,253.93432961606942
2006-12,262.4236663466382
2007-01,267.9189092028571
2007-02,272.42514773720757
2007-03,281.2965336310919
2007-04,291.9005439375775
2007-05,294.13501644807855
2007-06,293.59243638321146
2007-07,292.4781011321948
2007-08,277.43436979590086
2007-09,280.58460809170015
2007-10,298.10051536024133
2007-11,276.67773994681056
2007-12,267.1111632274905
2008-01,241.05237532495485
2008-02,251.32546913039198
2008-03,250.65853459139453
2008-04,256.7159946422666
2008-05,261.24553974607295
2008-06,239.89033818259063
2008-07,228.95330961890605
2008-08,220.191555304221
2008-09,182.50363792101382
2008-10,139.18843965681143
2008-11,133.04480106331536
2008-12,142.1531395492903
2009-01,133.06215479789262
2009-02,120.75893210118107
2009-03,128.68627919834574
2009-04,148.55376825416192
2009-05,169.78180627860388
2009-06,173.13504832295627
2009-07,186.36575502947153
2009-08,201.45182927853344
2009-09,211.53631678146343
2009-10,207.802129373189
2009-11,207.82978054331002
2009-12,209.41755781876378
2010-01,207.36527456405176
2010-02,204.48869145331037
2010-03,219.5197759315809
2010-04,223.36554624268706
2010-05,195.7270094501364
2010-06,194.95578976257775
2010-07,211.80010016580107
2010-08,205.69357519032624
2010-09,229.19192737989232
2010-10,238.05380675228574
2010-11,229.56402106778995
2010-12,256.31701470233105
2011-01,258.35498471235644
2011-02,264.2251680134605
2011-03,264.05973232231463
2011-04,278.09510193239106
2011-05,271.2259647163838
2011-06,266.7887100674103
2011-07,264.02135980331764
2011-08,242.3468505057898
2011-09,217.30782227492818
2011-10,232.95722172831643
2011-11,220.3772014924236
2011-12,216.18525590352706
