Date,EM LATIN AMERICA ex BRAZIL SMALL CAP
1996-05,1000.0
1996-06,986.8234190523351
1996-07,946.956907402282
1996-08,941.7733452306427
1996-09,967.7085909878186
1996-10,920.5520228915804
1996-11,922.5024121638605
1996-12,918.9704545343915
1997-01,970.0181195840937
1997-02,1004.4223210495832
1997-03,986.439118484271
1997-04,987.9047727540303
1997-05,1033.1065439595811
1997-06,1088.9901693220045
1997-07,1155.4770873690668
1997-08,1118.5020336892894
1997-09,1146.2817100274005
1997-10,1015.2725614126267
1997-11,1011.8246174635519
1997-12,1034.3428589810474
1998-01,907.3143732467356
1998-02,913.4912510531199
1998-03,942.1877449103323
1998-04,951.1264378581111
1998-05,862.6072412268675
1998-06,799.981600681604
1998-07,794.1769088626731
1998-08,607.0202976448481
1998-09,578.8120009781579
1998-10,589.4377932410322
1998-11,674.4716668199476
1998-12,644.6937704366732
1999-01,589.153811798325
1999-02,599.5183168658965
1999-03,660.5093846553083
1999-04,737.8486225313854
1999-05,719.9825422308858
1999-06,723.1958631780104
1999-07,704.7904442013397
1999-08,702.4459934969329
1999-09,696.1401945453139
1999-10,688.4711009619177
1999-11,734.6872821950267
1999-12,771.8267245232145
2000-01,800.4534593660469
2000-02,806.5778172409024
2000-03,794.650499577159
2000-04,762.4983645808363
2000-05,714.3539037304415
2000-06,700.8176129746197
2000-07,702.5634963692844
2000-08,696.3431328389402
2000-09,682.2007708406699
2000-10,656.4385397217688
2000-11,651.1834436625483
2000-12,658.0300485885666
2001-01,697.3802154385982
2001-02,671.8179402263344
2001-03,670.7825273996774
2001-04,662.0690951727415
2001-05,705.3238171378712
2001-06,694.7771240810397
2001-07,660.0406165966461
2001-08,668.7885410937326
2001-09,592.6973991932359
2001-10,587.7699437144232
2001-11,626.5127842338727
2001-12,670.1057910090544
2002-01,665.2280342305316
2002-02,668.171958103249
2002-03,691.547735780886
2002-04,702.5387304653257
2002-05,694.1657473426401
2002-06,629.8776488248449
2002-07,610.4762867105885
2002-08,612.2154717293602
2002-09,556.1889507833049
2002-10,581.2034840705711
2002-11,608.5739511964443
2002-12,601.507862052444
2003-01,584.9955059737302
2003-02,591.0107982449263
2003-03,600.2898010829042
2003-04,705.8647813681582
2003-05,737.5183310537047
2003-06,766.3712831980409
2003-07,785.1824771801207
2003-08,788.5207141888984
2003-09,844.6751773334503
2003-10,941.22678965875
2003-11,950.8583912041831
2003-12,1027.252228527671
2004-01,1105.0005559211
2004-02,1186.3830507137714
2004-03,1226.316784014003
2004-04,1138.7946737979055
2004-05,1106.740567254489
2004-06,1114.7017218637366
2004-07,1125.7736974682898
2004-08,1191.662102074701
2004-09,1309.2943560882702
2004-10,1373.6764853079046
2004-11,1480.3350863155533
2004-12,1580.2908466287895
2005-01,1603.9896214110502
2005-02,1692.585392239485
2005-03,1607.8457689437637
2005-04,1560.206813113453
2005-05,1596.207888100535
2005-06,1657.9851683086563
2005-07,1839.5930761578052
2005-08,1815.8961553026584
2005-09,1926.760198941723
2005-10,1810.9906063778244
