Date,FM (FRONTIER MARKETS) SMALL CAP
2010-11,1000.0
2010-12,1008.7421097577455
2011-01,994.5954821490462
2011-02,879.456216841094
2011-03,885.6091803265564
2011-04,904.2924211140551
2011-05,874.654637730005
2011-06,871.2295101087052
2011-07,857.240191442314
2011-08,810.5590961452203
2011-09,766.4457175495928
2011-10,754.6055879161382
2011-11,732.7528646429676
2011-12,712.4410469881718
2012-01,683.057691179077
2012-02,747.1365900268443
2012-03,757.5116155591787
2012-04,781.5652980603082
2012-05,735.880190969584
2012-06,710.6347743240117
2012-07,699.0397279037635
2012-08,713.0533706090552
2012-09,749.9002195723639
2012-10,744.9837441298258
2012-11,732.5162508875861
2012-12,760.1208561440492
2013-01,818.1488635208763
2013-02,807.7293021148579
2013-03,812.1026482906622
2013-04,817.6340068125435
2013-05,901.9036796262811
2013-06,885.0405988750501
2013-07,907.0034827581621
2013-08,877.1373092232985
2013-09,895.763800195919
2013-10,929.8006302609826
2013-11,971.9749054733545
2013-12,1007.2299191853181
2014-01,1047.5789874855009
2014-02,1064.6300975475292
2014-03,1064.4031744577971
2014-04,1114.1729182352128
2014-05,1127.6909662170974
2014-06,1145.6239882406285
2014-07,1161.3879393655834
2014-08,1169.6794206736156
2014-09,1196.1258017725443
2014-10,1158.7583207064142
2014-11,1117.9573465566596
2014-12,1069.655488595884
2015-01,1051.6215230189864
2015-02,1056.955956169958
2015-03,1031.6041499564064
2015-04,1044.8778398737468
2015-05,1056.8749602865835
2015-06,1052.679443428667
2015-07,1057.7562510128384
2015-08,1011.0709386780776
2015-09,994.062701246308
2015-10,1012.5435901132947
2015-11,984.0501419415602
2015-12,982.9027717382324
2016-01,947.1433638123167
2016-02,949.2213033436077
2016-03,977.0896834234609
2016-04,997.9113422581285
2016-05,1021.2334662787988
2016-06,1023.8943860886125
2016-07,1038.9732707366622
2016-08,1032.4229807642314
2016-09,1070.2436509630277
2016-10,1070.7240292223705
2016-11,1090.6458060479213
2016-12,1131.9329215542123
2017-01,1229.124672697861
2017-02,1247.0028656256584
2017-03,1269.0913340649286
2017-04,1263.494958
2017-05,1285.055099
2017-06,1312.939391
2017-07,1343.922172
2017-08,1348.940784
2017-09,1351.308179
2017-10,1350.637767
2017-11,1377.679273
2017-12,1398.682658
2018-01,1446.500379
2018-02,1399.793498
2018-03,1386.137497
2018-04,1363.1325273745442
2018-05,1275.6907589616007
2018-06,1268.2004296845066
2018-07,1260.6306935310677
2018-08,1258.8379416311154
2018-09,1215.9796934422702
2018-10,1164.920985321137
2018-11,1162.5181978541486
2018-12,1159.8171521083034
2019-01,1192.017328270982
2019-02,1178.3306189944105
2019-03,1144.9007087140633
2019-04,1131.597182652128
2019-05,1133.9423878566738
2019-06,1151.4348236315723
2019-07,1151.1533648522818
2019-08,1125.649910727173
2019-09,1115.7289631770216
2019-10,1116.7931077130845
2019-11,1134.2330758190785
2019-12,1140.5470857703483
2020-01,1147.3219152742904
2020-02,1093.4504554313166
2020-03,866.8620533253634
2020-04,925.2915990237507
2020-05,956.152532094663
2020-06,969.0643241037069
2020-07,972.6385863847833
2020-08,1030.5233557019014
2020-09,1047.5010527087427
2020-10,1046.2141578564383
2020-11,1107.7938710639864
2020-12,1197.1568583317478
2021-01,1234.158312399288
2021-02,1239.2065837321286
2021-03,1257.1976755849896
2021-04,1303.6606304391448
2021-05,1389.5959690282148
2021-06,1434.9909075040177
2021-07,1436.4577342594314
2021-08,1522.6484417701304
2021-09,1547.1414823746723
2021-10,1627.9458894565164
2021-11,1661.1142227385128
2021-12,1706.0608014818818
2022-01,1665.4602993562673
2022-02,1681.159179148271
2022-03,1701.0598457317326
2022-04,1623.4462522918434
2022-05,1536.4944274049278
2022-06,1431.3657472920145
2022-07,1430.6486753838485
2022-08,1470.1179872610765
2022-09,1340.862765408912
2022-10,1281.1323781282413
2022-11,1312.0775710896285
2022-12,1320.4780163872715
2023-01,1362.7167676154602
2023-02,1331.886457931331
2023-03,1358.0698287335797
2023-04,1400.9847092386508
2023-05,1411.0002481352462
2023-06,1442.3150739615794
2023-07,1547.9453441438402
