Date,EFM LATIN AMERICA & CARIBBEAN SMALL CAP
2010-11,1000.0
2010-12,1057.9934568674569
2011-01,998.5808841734004
2011-02,976.1092226078794
2011-03,1010.4425002015313
2011-04,1060.89658033169
2011-05,1041.0261161749443
2011-06,995.7918075719897
2011-07,957.2541227829482
2011-08,893.1914579155776
2011-09,709.7603787781746
2011-10,824.9529089047769
2011-11,768.1318217624968
2011-12,746.6939882727279
2012-01,854.2295641908096
2012-02,926.721854647221
2012-03,925.3493302899883
2012-04,900.6383248390928
2012-05,787.1873113533982
2012-06,815.1920272654812
2012-07,824.9066671622111
2012-08,871.105083222663
2012-09,912.0592300691401
2012-10,923.0087036140555
2012-11,899.1401855249729
2012-12,972.7741505849385
2013-01,1028.212702862756
2013-02,1022.9352988845999
2013-03,1008.51538445955
2013-04,982.9709972110645
2013-05,895.2168148677898
2013-06,792.2530312596441
2013-07,762.3658737999943
2013-08,734.4359010410116
2013-09,798.2497052577203
2013-10,793.5068542742072
2013-11,747.460371820832
2013-12,744.1776050992822
2014-01,679.31041041508
2014-02,683.8607152975977
2014-03,724.996537786655
2014-04,731.4294391584971
2014-05,752.6299629654387
2014-06,778.3307415658086
2014-07,748.6682817798728
2014-08,788.2173141192823
2014-09,701.0764995377341
2014-10,702.3093105266494
2014-11,673.2592395834812
2014-12,615.1183725670116
2015-01,559.6561497183326
2015-02,577.5491122784841
2015-03,541.9756800743975
2015-04,577.3784921013697
2015-05,547.662129998387
2015-06,537.7946852212922
2015-07,502.29893598732224
2015-08,451.79338253782845
2015-09,432.07568750032175
2015-10,464.26031320028795
2015-11,448.6995107217764
2015-12,436.9555370939111
2016-01,408.4837896772572
2016-02,426.92887116701166
2016-03,490.4156075112822
2016-04,515.1575449055488
2016-05,484.112054467624
2016-06,527.9273317471717
2016-07,563.650488877243
2016-08,562.595244219084
2016-09,561.9299743756038
2016-10,610.6380182945954
2016-11,540.0077139522349
2016-12,545.9758264950849
2017-01,596.2800920437874
2017-02,628.0261963100761
2017-03,642.759016722534
2017-04,653.394885
2017-05,639.506281
2017-06,647.217812
2017-07,707.164236
2017-08,750.117672
2017-09,768.682682
2017-10,741.421707
2017-11,720.207641
2017-12,758.31234
2018-01,821.684179
2018-02,802.47488
2018-03,786.438009
2018-04,778.991846732414
2018-05,671.8482381847413
2018-06,646.0239037498357
2018-07,695.7181440584017
2018-08,638.5988373974607
2018-09,651.5998275843672
2018-10,657.264291069577
2018-11,658.5101354122513
2018-12,663.4325658899525
2019-01,760.3084919667231
2019-02,739.4561033437191
2019-03,716.6786800480768
2019-04,728.5568049798219
2019-05,720.759835877073
2019-06,776.2912287657301
2019-07,810.38387981242
2019-08,736.7381963212315
2019-09,754.7020943655925
2019-10,790.0556790437132
2019-11,775.1069162442378
2019-12,890.1341343539565
2020-01,865.0210762956347
2020-02,759.779929378226
2020-03,440.1496275312324
2020-04,479.83470579262485
2020-05,507.77739423866507
2020-06,557.4777848443277
2020-07,621.3462304878138
2020-08,604.5328699121338
2020-09,566.5630960377954
2020-10,553.2212535331801
2020-11,678.6080757095324
2020-12,747.515708411197
2021-01,699.2448793081586
2021-02,691.6468467637142
2021-03,718.8516810911598
2021-04,762.2920495404751
2021-05,826.1225686473326
2021-06,856.3307350822388
2021-07,805.711416110886
2021-08,792.9312514762084
2021-09,731.1061393420675
2021-10,658.8684993904529
2021-11,625.8601609923904
2021-12,673.6558851820923
2022-01,721.3639644101596
2022-02,714.9595451742646
2022-03,817.0219816643772
2022-04,728.4341798186346
2022-05,759.7516013606546
2022-06,608.6793512359557
2022-07,640.8036896682781
2022-08,678.26380102779
2022-09,639.1474213053754
2022-10,707.1936752661693
2022-11,675.3267278524212
2022-12,664.8220575849356
2023-01,734.9180087482177
2023-02,679.890328244152
2023-03,701.7498889228079
2023-04,718.6722938574227
2023-05,763.0733572261597
2023-06,842.1770058505218
2023-07,884.7251276665148
