Date,AC ASIA ex JAPAN+CHINA A ONSH SMALL CAP
2013-09,3247.106165913423
2013-10,3262.9247642148316
2013-11,3338.889029098376
2013-12,3304.0390448387934
2014-01,3289.464914219876
2014-02,3405.723805791677
2014-03,3366.8441600875444
2014-04,3334.4173075680656
2014-05,3425.5323122095106
2014-06,3529.064342575144
2014-07,3695.5930723598717
2014-08,3833.816143878355
2014-09,4000.883448781909
2014-10,4009.4435839278403
2014-11,4062.864302759127
2014-12,3918.9590172313383
2015-01,4076.858286409595
2015-02,4241.658200354617
2015-03,4754.094653132541
2015-04,5404.916953179105
2015-05,6188.15650091632
2015-06,5703.469278189856
2015-07,4872.832940164361
2015-08,4255.847673426709
2015-09,4135.201957654487
2015-10,4698.495788408221
2015-11,4876.902786308023
2015-12,5043.293722704555
2016-01,4051.5169943955834
2016-02,4012.998730891638
2016-03,4546.692266833563
2016-04,4553.5473784062015
2016-05,4397.301445226413
2016-06,4527.029503550504
2016-07,4590.260695898231
2016-08,4751.675774689094
2016-09,4786.655906856953
2016-10,4783.150341561183
2017-04,4725.061372
2017-05,4608.297485
2017-06,4708.677331
2017-07,4809.201979
2017-08,4941.494364
2017-09,4966.345072
2017-10,5054.854749
2017-11,4939.499933
2017-12,4981.286785
2018-01,5119.389127
2018-02,4837.990963
2018-03,4857.037987
2018-04,4723.2033061903685
2018-05,4662.870073601799
2018-06,4174.041451064698
2018-07,4130.80235964884
2018-08,3956.959766069418
2018-09,3839.6300948061316
2018-10,3386.0618519883014
2018-11,3601.7980699677996
2018-12,3510.331094651269
2019-01,3611.8156934497524
2019-02,3991.015115424617
2019-03,4231.249440461297
2019-04,4143.756233345155
2019-05,3878.4946185821577
2019-06,3942.979122661509
2019-07,3834.200595685677
2019-08,3660.739220907869
2019-09,3715.2688090898637
2019-10,3808.606539337321
2019-11,3748.7950670730243
2019-12,4007.3725089974932
2020-01,3973.1326559007002
2020-02,3921.778097351962
2020-03,3439.7951405758245
2020-04,3703.5796625928047
2020-05,3753.0738780214833
2020-06,4082.968672218508
2020-07,4586.246829120201
2020-08,4801.44229629151
2020-09,4559.565510986255
2020-10,4579.088336829567
2020-11,4909.384409717439
2020-12,5002.203366157696
