Date,ANDEAN SMALL CAP
2002-05,1000.0
2002-06,940.581360564311
2002-07,883.8291115674929
2002-08,903.9589529715939
2002-09,844.378789697176
2002-10,903.7678702212871
2002-11,955.9921359159199
2002-12,993.3862464224601
2003-01,986.2830424013392
2003-02,971.3226453111773
2003-03,991.0633772871237
2003-04,1137.0293195902575
2003-05,1217.784438347617
2003-06,1248.285225966127
2003-07,1290.7938589702849
2003-08,1350.3255295365925
2003-09,1435.0683901706109
2003-10,1616.1139777252338
2003-11,1612.3416940848501
2003-12,1707.0901463975722
2004-01,1749.509168823081
2004-02,1909.5215908954945
2004-03,1975.906951826431
2004-04,1956.2119394797348
2004-05,1884.3690403460573
2004-06,1932.1600491372144
2004-07,1992.2859461239136
2004-08,2247.424278175929
2004-09,2520.5171214098937
2004-10,2693.9921536987354
2004-11,2910.045576826056
2004-12,2993.1646537757447
2005-01,2900.939167289086
2005-02,3083.8585646405368
2005-03,3210.255286747231
2005-04,3179.7143518594303
2005-05,3013.43841802552
2005-06,3165.6273865492763
2005-07,3644.4288717289755
2005-08,3603.513080356054
2005-09,3763.0446075109053
2005-10,3471.6522611234236
2005-11,3567.009678411024
2005-12,3510.9520749538738
2006-01,3866.5720040181077
2006-02,3987.4612764085764
2006-03,3959.2809595838585
2006-04,4130.459107206713
2006-05,3879.7248900959403
2006-06,3782.477957015617
2006-07,3876.474659689262
2006-08,4064.96241156644
2006-09,4121.7353490709165
2006-10,4462.638666642484
2006-11,4765.458759533408
2006-12,5117.480116414089
2007-01,5381.045928097162
2007-02,5464.730102936402
2007-03,6010.287532189049
2007-04,6573.973871357415
2007-05,6905.590797951036
2007-06,7405.862298773841
2007-07,7444.062183473856
2007-08,7224.405312040441
2007-09,7387.813174379588
2007-10,7868.067127632596
2007-11,7288.505720006162
2007-12,7120.120304406356
2008-01,6571.469074803407
2008-02,7040.479462502727
2008-03,7096.404845418724
2008-04,7117.208193338079
2008-05,6870.224171286459
2008-06,6031.8040869866645
2008-07,6066.9860736310375
2008-08,5874.954984950595
2008-09,4966.72444679626
2008-10,3577.0406500297327
2008-11,3617.5884538682753
2008-12,3772.682762025937
2009-01,3995.6644025543415
2009-02,3963.1775534262856
2009-03,4164.744092463761
2009-04,4752.508876605871
2009-05,5852.9833654044905
2009-06,6162.466581038828
2009-07,6269.85205060127
2009-08,6337.147260837909
2009-09,6961.91559262765
2009-10,7188.886287667797
2009-11,7434.869782486454
2009-12,7777.785217337218
2010-01,7877.4805990916375
2010-02,8215.667113229212
