Date,KUKJE (ACWI ex KOREA) SMALL CAP
2002-05,1000.0
2002-06,944.0160049717567
2002-07,849.4376764961082
2002-08,848.3541793181115
2002-09,779.0002172523452
2002-10,798.744210289665
2002-11,849.16193802513
2002-12,825.0157978496021
2003-01,810.0538454983256
2003-02,795.0163572331395
2003-03,797.3992353290901
2003-04,870.3895308775071
2003-05,952.0221898640058
2003-06,979.4654542211797
2003-07,1019.8660989089452
2003-08,1069.1320903462363
2003-09,1086.704742944385
2003-10,1170.970718551404
2003-11,1198.4699574070116
2003-12,1248.7528812118048
2004-01,1294.9358405173564
2004-02,1327.440813617359
2004-03,1355.9075557259234
2004-04,1300.1835036857717
2004-05,1308.2459198152092
2004-06,1358.6455247219
2004-07,1295.2416473679268
2004-08,1297.8816896350131
2004-09,1345.8036504716981
2004-10,1379.3404933180893
2004-11,1484.7953103516777
2004-12,1551.4445860853164
2005-01,1535.8348003057508
2005-02,1589.1312612549793
2005-03,1553.3128485699906
2005-04,1497.7089911880785
2005-05,1546.8588571876085
2005-06,1591.7503078519571
2005-07,1669.5986139501572
2005-08,1679.4638343262232
2005-09,1717.1966974640698
2005-10,1658.0293944951177
2005-11,1727.2579631920044
2005-12,1787.3770209910165
2006-01,1920.6898072844233
2006-02,1915.5547406680487
2006-03,1993.6978460040089
2006-04,2050.4796130259397
2006-05,1948.9846318586262
2006-06,1924.901684283417
2006-07,1888.2667027593786
2006-08,1938.1023565369605
2006-09,1952.5508744221693
2006-10,2043.2915103306711
2006-11,2130.8221955467675
2006-12,2171.7890167543874
2007-01,2220.168347683929
2007-02,2242.7142195627785
2007-03,2300.5606698955085
2007-04,2386.60584692417
2007-05,2466.7072990978822
2007-06,2448.261996841694
2007-07,2387.0803345884765
2007-08,2345.1109594242907
2007-09,2418.1017963025984
2007-10,2521.9118025951966
2007-11,2346.865794276254
2007-12,2313.8386516166197
2008-01,2124.444662556538
2008-02,2147.8188699346233
2008-03,2118.429588093227
2008-04,2210.0270576428793
2008-05,2279.086195294401
2008-06,2085.3315292804455
2008-07,2049.1571505633515
2008-08,2037.8174187439563
2008-09,1753.3283303188184
2008-10,1347.8081115217115
2008-11,1236.545586137317
2008-12,1316.1163232120211
2009-01,1217.1461360300054
2009-02,1098.7149390625905
2009-03,1193.3214465615886
2009-04,1396.6641010241292
2009-05,1542.732638653142
2009-06,1560.1491974369465
2009-07,1705.23882128696
2009-08,1800.0400679703937
2009-09,1910.9838750186764
2009-10,1846.6089389123226
2009-11,1897.5370239396389
2009-12,1988.7513129350739
2010-01,1939.2266066726188
2010-02,1979.6441248315334
2010-03,2136.293859098555
2010-04,2215.874097279692
2010-05,2001.7426554557842
2010-06,1921.4230875856715
2010-07,2071.2220964969233
2010-08,1988.6649370341388
2010-09,2218.813061562507
2010-10,2307.244842973847
2010-11,2314.1695511915786
2010-12,2523.6158372513014
2011-01,2532.42838097998
2011-02,2616.269389329199
2011-03,2654.5412358191443
2011-04,2757.464217282963
2011-05,2699.127233823293
2011-06,2639.121167035707
2011-07,2585.4302453809473
2011-08,2364.7816413287237
2011-09,2090.897554839487
2011-10,2332.301310237738
2011-11,2262.9564316331075
2011-12,2244.2442284909066
2012-01,2422.3344805457846
2012-02,2545.1789718977634
2012-03,2561.3200233441617
2012-04,2542.540286362907
2012-05,2316.866262678593
2012-06,2399.0344878664814
2012-07,2396.694208392003
2012-08,2471.9408215897024
2012-09,2565.4803060100053
2012-10,2549.2028661443424
2012-11,2578.1128330814913
2012-12,2667.188122118671
2013-01,2817.0113119878047
2013-02,2839.8021708979845
2013-03,2929.9034890258713
2013-04,2968.5225548806056
2013-05,2997.023904135414
2013-06,2915.4720660311787
2013-07,3085.1312800493606
2013-08,3023.2338145483163
2013-09,3231.1450476972705
2013-10,3333.9786815490343
2013-11,3385.1118517175482
2013-12,3458.856728874096
2014-01,3391.156758821818
2014-02,3568.2226432134685
2014-03,3561.4393796263344
2014-04,3506.61649081316
2014-05,3555.000320361763
2014-06,3689.7612852269785
2014-07,3556.9114923477205
2014-08,3662.7901659667823
2014-09,3462.3626263025553
2014-10,3513.1006831555846
2014-11,3525.6677921661794
2014-12,3533.8100822447873
2015-01,3478.280529170994
2015-02,3680.58673575557
2015-03,3685.9794850316202
2015-04,3746.1661970878454
2015-05,3798.3643566489054
2015-06,3746.089855271976
2015-07,3704.9474691591677
2015-08,3492.0365937661945
2015-09,3357.789897797589
2015-10,3554.365279529301
2015-11,3584.2455245257647
2015-12,3504.147056156417
2016-01,3229.0780963269854
2016-02,3253.571790288666
2016-03,3532.7756029914017
2016-04,3614.252188509781
2016-05,3646.030273499499
2016-06,3593.9724179885634
2016-07,3789.525525520047
2016-08,3807.1064678557236
2016-09,3864.726771060962
2016-10,3738.871608196227
2016-11,3865.99348406768
2016-12,3950.37194728345
2017-01,4052.3477945958
2017-02,4149.641889691778
2017-03,4189.8269298004125
2017-04,4272.628899
2017-05,4296.678374
2017-06,4364.188948
2017-07,4472.010809
2017-08,4481.649068
2017-09,4646.591134
2017-10,4719.530803
2017-11,4815.08826
2017-12,4900.484567
2018-01,5082.329475
2018-02,4883.381419
2018-03,4878.903167
2018-04,4919.185317061501
2018-05,5029.210435522564
2018-06,4991.898842839255
2018-07,5058.521778085595
2018-08,5147.951350266222
2018-09,5064.942615068502
2018-10,4571.249972569439
2018-11,4615.076399219918
2018-12,4217.232886
2019-01,4635.124723295738
2019-02,4800.75795323737
2019-03,4783.403678739026
2019-04,4923.9482064442245
2019-05,4616.648435205996
2019-06,4880.929302085678
2019-07,4907.415254434474
2019-08,4735.062685434387
2019-09,4833.017110476798
2019-10,4970.813989
2019-11,5117.9929425751625
2019-12,5307.406358995464
2020-01,5160.206864195645
2020-02,4697.525382380489
2020-03,3703.1335935849056
2020-04,4203.332417635189
2020-05,4482.839625091057
2020-06,4627.061961618307
2020-07,4825.758859927686
2020-08,5091.473399400965
2020-09,4984.419901
2020-10,4983.359243969423
2020-11,5744.815186309797
2020-12,6168.157058854837
2021-01,6289.897396951608
2021-02,6615.98785054859
2021-03,6751.537944275802
2021-04,7027.708595713576
2021-05,7099.650761711536
2021-06,7131.117453322277
2021-07,7079.946159464526
2021-08,7248.3088670192465
2021-09,7035.166055607764
2021-10,7266.957249378377
2021-11,6937.156813795537
2021-12,7195.86261434836
2022-01,6689.051404510136
2022-02,6680.009777126904
2022-03,6755.968891164341
2022-04,6252.232535079502
2022-05,6231.432184211493
2022-06,5620.087916388403
2022-07,6093.553542665903
2022-08,5936.084182082345
2022-09,5343.307843487024
2022-10,5723.386216039859
2022-11,6091.164694923575
2022-12,5899.925220585985
2023-01,6421.7373114986
2023-02,6287.344419355946
2023-03,6146.387034448162
2023-04,6151.58904333253
2023-05,6012.2250384666495
2023-06,6381.615754479114
2023-07,6701.978487229257
