Date,WORLD ex AUSTRALIA SMALL CAP
2000-12,100.0
2001-01,103.8390770540069
2001-02,100.98874188119619
2001-03,95.65383463500521
2001-04,103.26941295449755
2001-05,104.45544614079076
2001-06,104.04225671626855
2001-07,100.56034997346474
2001-08,100.20811264370732
2001-09,86.96537346966736
2001-10,92.76821691980577
2001-11,98.68315510049348
2001-12,101.32694376862632
2002-01,99.05430494675036
2002-02,98.10624905332482
2002-03,105.87918888819132
2002-04,107.74004974506198
2002-05,107.01916633999853
2002-06,101.43682684688974
2002-07,90.22355028371504
2002-08,89.59242855177928
2002-09,82.70546268458848
2002-10,83.73627310776705
2002-11,88.61977683937818
2002-12,84.35494214037877
2003-01,82.67244888376527
2003-02,81.25838957536637
2003-03,81.3966419500769
2003-04,89.87888126581973
2003-05,99.47255060303137
2003-06,102.64542333011198
2003-07,106.92408537884646
2003-08,113.77831678296576
2003-09,115.67571527477665
2003-10,125.8295739003209
2003-11,128.20383007972896
2003-12,133.45827341953967
2004-01,139.39663757619115
2004-02,142.15033329389948
2004-03,146.3259089714046
2004-04,139.794359069843
2004-05,140.50245875017944
2004-06,147.02799165187906
2004-07,138.97021064905493
2004-08,138.5678086863296
2004-09,143.4561031112344
2004-10,147.22354803557442
2004-11,159.10916902049078
2004-12,165.59510802720123
2005-01,163.2815222311889
2005-02,168.75339382333235
2005-03,164.91868183262878
2005-04,158.44969997730584
2005-05,163.54496949197784
2005-06,168.14472120884403
2005-07,176.881170008063
2005-08,178.63197215267002
2005-09,182.86580027995265
2005-10,176.97386240109194
2005-11,184.20010758530145
2005-12,191.9104198283602
2006-01,206.59936145981683
2006-02,204.9759727254893
2006-03,214.63172497064318
2006-04,219.82963417420456
2006-05,207.44155417304998
2006-06,204.1751577150407
2006-07,198.1611444228936
2006-08,203.6649222625908
2006-09,204.40507834507414
2006-10,213.04961538470215
2006-11,220.31026094327845
2006-12,223.98069492382632
2007-01,228.28045669569678
2007-02,229.87783842040827
2007-03,235.32105284370505
2007-04,242.522385539242
2007-05,248.74491657148016
2007-06,246.49385231225685
2007-07,238.02373269399396
2007-08,231.7475982705671
2007-09,235.5561488681132
2007-10,246.58302493231082
2007-11,228.1349413499027
2007-12,224.12675002211643
2008-01,206.74408520777692
2008-02,207.84030049378285
2008-03,206.25231089079992
2008-04,214.3994093037979
2008-05,222.44157292486773
2008-06,204.88806082937134
2008-07,201.40966813570128
2008-08,201.78039347825387
2008-09,175.46519165094165
2008-10,136.48416296494548
2008-11,125.0775771623196
2008-12,132.5930662490806
2009-01,122.74258263243155
2009-02,109.8850870147185
2009-03,118.6542473581988
2009-04,138.27487241043977
2009-05,150.13624981067312
2009-06,151.69091678258263
2009-07,164.8372535351511
2009-08,174.75184950077448
2009-09,184.87555665546185
2009-10,177.24762185664056
2009-11,181.40975756048593
2009-12,189.872825612638
2010-01,185.75180695962536
2010-02,190.1851666153202
