Date,AC PACIFIC ex JAPAN SMALL CAP
1994-05,464.8112698655456
1994-06,450.43726710949164
1994-07,462.6789684457275
1994-08,494.34605756931245
1994-09,505.85403465384644
1994-10,501.11484690267633
1994-11,461.4102469656141
1994-12,453.7270119587788
1995-01,406.9448421218239
1995-02,426.19842070472237
1995-03,423.12364951565166
1995-04,418.1762080895295
1995-05,441.0148233976885
1995-06,444.7559108636476
1995-07,469.1755042489006
1995-08,465.31106201091694
1995-09,465.3360762935037
1995-10,448.4278979872393
1995-11,441.91246939377265
1995-12,457.4310716447375
1996-01,490.944040285477
1996-02,498.8452139888465
1996-03,507.58282465662677
1996-04,539.8897841967789
1996-05,529.9654945670214
1996-06,527.9313136589903
1996-07,503.29862890367644
1996-08,528.6060539581323
1996-09,542.3049597659498
1996-10,547.4458794500687
1996-11,567.783062686156
1996-12,559.2316009432063
1997-01,572.2264994040976
1997-02,606.4226099198042
1997-03,591.3019436625127
1997-04,568.5809278697594
1997-05,572.083409849839
1997-06,575.4929871478198
1997-07,564.7063142413173
1997-08,501.688578124478
1997-09,484.4644674939375
1997-10,371.34072262031225
1997-11,334.61275694686543
1997-12,302.49545802741847
1998-01,278.3580176721461
1998-02,336.973916025193
1998-03,333.31514657947065
1998-04,305.20847525285643
1998-05,268.5737374205875
1998-06,236.38789878131402
1998-07,233.29315291076793
1998-08,196.76649422027484
1998-09,211.10659026618242
1998-10,250.35367557120307
1998-11,282.755294652262
1998-12,284.4424128350567
1999-01,285.4596140922418
1999-02,277.0955927904465
1999-03,296.86337928487933
1999-04,359.6202477791849
1999-05,358.67920450534973
1999-06,397.67369628092376
1999-07,385.08587521954837
1999-08,371.5764944086411
1999-09,352.3295725103362
1999-10,353.8810783479323
1999-11,367.15286382596634
1999-12,380.60925470755694
2000-01,370.27762697432297
2000-02,360.0334480988389
2000-03,363.22734857592894
2000-04,327.75133513634665
2000-05,298.4796855979256
2000-06,306.6131093771193
2000-07,298.8775102220633
2000-08,297.89339324574854
2000-09,264.73176090630403
2000-10,244.2280340161452
2000-11,238.7014888132402
2000-12,235.5870081843096
2001-01,258.267025752413
2001-02,257.38109580384696
2001-03,237.0431076390808
2001-04,243.33418039982024
2001-05,249.41980549157495
2001-06,250.03178232070246
2001-07,238.4614415266012
2001-08,243.19467467500377
2001-09,213.75559622598598
2001-10,224.4375803078844
2001-11,243.28818085236347
2001-12,255.73249260426564
2002-01,272.63421710062494
2002-02,276.1273467665707
2002-03,299.2804888631964
2002-04,300.29551663538814
2002-05,302.1400049834693
2002-06,287.2817303251636
2002-07,275.23178563231176
2002-08,278.13969935057526
2002-09,250.4108281908347
2002-10,258.3364371683395
2002-11,265.7819206559505
2002-12,260.87466454123603
2003-01,275.04768201003816
2003-02,267.2831227761809
2003-03,259.27851752849347
2003-04,270.73070255635605
2003-05,297.21686920961014
2003-06,314.8361213266973
2003-07,329.44739590060243
2003-08,343.83644085832685
2003-09,355.30655899830356
2003-10,381.300524657591
2003-11,381.7830693801995
