Date,ACWI ex EMU SMALL CAP
2007-05,1000.0
2007-06,993.822194666127
2007-07,970.6403327206901
2007-08,956.2358305088851
2007-09,986.5705315096208
2007-10,1029.0409814134873
2007-11,955.719743980903
2007-12,943.2143541502816
2008-01,868.7269084924949
2008-02,875.3516707049054
2008-03,857.941759517804
2008-04,897.5183284743002
2008-05,926.8659717120136
2008-06,849.5024917649359
2008-07,837.912588166722
2008-08,832.8883082150548
2008-09,722.3876115330916
2008-10,557.471325216598
2008-11,511.09368148758665
2008-12,543.4776664489624
2009-01,504.1601398222882
2009-02,454.28983521767174
2009-03,495.21135696276036
2009-04,578.9457276938175
2009-05,636.3451363030325
2009-06,643.6922779771306
2009-07,704.3869475140326
2009-08,738.9755077168116
2009-09,781.262737630853
2009-10,755.8615521071386
2009-11,776.7878216600867
2009-12,818.9820099970797
2010-01,797.9358902803458
2010-02,819.6624531393281
2010-03,884.6332292637023
2010-04,921.4502181621078
2010-05,836.8958701055396
2010-06,802.8310414522324
2010-07,861.5060138645365
2010-08,828.4995869512891
2010-09,922.4959727530182
2010-10,956.4360019805479
2010-11,967.0278429017142
2010-12,1050.5734836641202
2011-01,1052.517380080199
2011-02,1086.614728701192
2011-03,1101.6703991914162
2011-04,1140.9244180355845
2011-05,1119.0515508679878
2011-06,1094.9923733493733
2011-07,1080.9801203419252
2011-08,989.8735268877045
2011-09,876.0594141672979
2011-10,979.418327250671
2011-11,954.0081968818532
2011-12,948.5029584486716
2012-01,1021.8951037369307
2012-02,1071.3625198369614
2012-03,1077.9361708786278
2012-04,1070.814652531747
2012-05,980.2057074149678
2012-06,1013.9840500833053
2012-07,1013.5475725885661
2012-08,1044.8178735989518
2012-09,1083.4887570007593
2012-10,1073.3643053877447
2012-11,1084.4005928860831
2012-12,1119.2226861494155
2013-01,1177.3162555661754
2013-02,1190.5679806285596
2013-03,1234.210003716793
2013-04,1247.553725610705
2013-05,1256.6414646832507
2013-06,1222.1887875703917
2013-07,1290.7603143943954
2013-08,1262.2415758809911
2013-09,1347.0165769602002
2013-10,1385.1605916372346
2013-11,1405.7402751217228
2013-12,1435.3352904047656
2014-01,1405.8806166234701
2014-02,1474.7185424492448
2014-03,1471.4739078452267
2014-04,1448.5600625510965
2014-05,1469.1730791391262
2014-06,1530.809873158055
2014-07,1480.256814073234
2014-08,1530.256183587051
2014-09,1446.7942782436378
2014-10,1472.9342379192922
2014-11,1473.0019178866387
2014-12,1479.9962614759913
2015-01,1455.7018969567291
2015-02,1537.7579695483037
2015-03,1542.1169835916269
2015-04,1566.2999056213532
2015-05,1590.0160009528959
2015-06,1570.4870778656243
2015-07,1544.105037546868
2015-08,1453.4576516095583
2015-09,1398.8290979854812
2015-10,1479.0122151327191
2015-11,1493.730759238702
2015-12,1455.770163071534
2016-01,1342.89178580185
2016-02,1353.0656362099558
2016-03,1469.3815180940042
2016-04,1503.9102444372922
2016-05,1515.635055446374
2016-06,1503.5252634691983
2016-07,1582.922234726811
2016-08,1588.1950224770978
2016-09,1611.4915535495256
2016-10,1555.945908225066
2016-11,1617.5152386449208
2016-12,1647.5857365124039
2017-01,1688.207699985804
2017-02,1732.0710230017753
2017-03,1742.2339791089798
2017-04,1769.617644
2017-05,1772.056441
2017-06,1803.030148
2017-07,1842.342043
2017-08,1843.980857
2017-09,1907.938259
2017-10,1943.428901
2017-11,1987.593848
2017-12,2022.123259
2018-01,2092.198658
2018-02,2010.527879
2018-03,2011.955799
2018-04,2026.9666221923178
2018-05,2083.6603968241125
2018-06,2065.4133882417154
2018-07,2089.450049377965
2018-08,2133.4068165958934
2018-09,2101.0421615951664
2018-10,1892.391761037969
2018-11,1919.2281770603138
2018-12,1752.181615
2019-01,1925.6404625960342
2019-02,1995.6776482546688
2019-03,1986.2718361481752
2019-04,2039.8485954900698
2019-05,1911.6670249129004
2019-06,2017.7751587951186
2019-07,2029.3910470801995
2019-08,1956.2043227274542
2019-09,1998.4565246728066
2019-10,2052.901234
2019-11,2112.6869440886685
2019-12,2191.913943355222
2020-01,2128.715352353472
2020-02,1935.8973475243022
2020-03,1530.032438141712
2020-04,1741.7283428947594
2020-05,1856.1551479481438
2020-06,1915.4561236964764
2020-07,1999.7557809761968
2020-08,2110.641332757009
2020-09,2066.935249648061
2020-10,2076.970425338333
2020-11,2385.0641859844336
2020-12,2563.0440185915872
2021-01,2612.620938164937
2021-02,2749.1790960589115
2021-03,2806.9680222180564
2021-04,2920.1328114536213
2021-05,2944.281202454512
2021-06,2967.9441534283806
2021-07,2939.364591424655
2021-08,3005.7995139996624
2021-09,2922.1208132868637
2021-10,3017.43511001256
2021-11,2882.235577694414
2021-12,2989.189788486426
2022-01,2770.308125416847
2022-02,2773.791131101277
2022-03,2810.0813318012274
2022-04,2597.973685198885
2022-05,2585.058494783157
2022-06,2335.0762794230263
2022-07,2539.5093353100224
2022-08,2480.831364537223
2022-09,2230.6308177885044
2022-10,2385.006758462828
2022-11,2536.318499454454
2022-12,2449.673551810431
2023-01,2662.4456075699604
2023-02,2601.3621863273997
2023-03,2546.685215379219
2023-04,2543.2612835857503
2023-05,2493.8581145120556
2023-06,2647.49296042467
2023-07,2785.989602343315
