Date,FM AFRICA SMALL CAP
2010-11,1000.0
2010-12,990.5209038414829
2011-01,1019.7081455081993
2011-02,951.1237645461786
2011-03,889.213447095715
2011-04,938.81411600106
2011-05,945.6328724593051
2011-06,927.5648318191054
2011-07,863.1933776906684
2011-08,779.867169474822
2011-09,683.787227140306
2011-10,682.3638739982064
2011-11,642.7978723393596
2011-12,633.6504012139372
2012-01,622.7872637834921
2012-02,659.6793165638451
2012-03,645.8170523603621
2012-04,685.7093915744297
2012-05,670.5380174039431
2012-06,633.2830173951761
2012-07,651.6671703499578
2012-08,657.4934367565735
2012-09,701.8794901197339
2012-10,732.8946466379131
2012-11,730.2541248583074
2012-12,749.8232165241681
2013-01,884.5105413083257
2013-02,880.5247242572929
2013-03,910.1211988192954
2013-04,873.9619599959872
2013-05,974.0258478543526
2013-06,924.0353058952929
2013-07,945.612848102928
2013-08,879.5312254182354
2013-09,896.4559807539964
2013-10,956.1120219864138
2013-11,1010.8997856205382
2013-12,1083.7953178227638
2014-01,1037.4162107537713
2014-02,1030.8472475262731
2014-03,981.5060763804224
2014-04,986.4340387838164
2014-05,1020.143274288593
2014-06,1079.1384417110044
2014-07,1076.045820996635
2014-08,1092.1750644942088
2014-09,1075.5777992465119
2014-10,985.3336205409229
2014-11,895.015097577877
2014-12,808.0687974991104
2015-01,746.4783617361178
2015-02,719.2574986404918
2015-03,717.1294472410646
2015-04,750.1294633426837
2015-05,733.5328189484179
2015-06,731.793069845407
2015-07,677.8427581086924
2015-08,649.7468308458043
2015-09,630.4873808312866
2015-10,587.4895742728149
2015-11,563.2574736713013
2015-12,551.21751132787
2016-01,529.1008616329193
2016-02,507.71619228138997
2016-03,522.8121549343007
2016-04,539.2847821894266
2016-05,560.0451627485988
2016-06,506.51048462968134
2016-07,482.9942972633571
2016-08,471.1139428502845
2016-09,484.0734480295813
2016-10,477.07354401122996
2016-11,474.7562334070767
2016-12,495.8327576310195
2017-01,514.5136795954492
2017-02,507.67102997385336
2017-03,510.2434103796934
2017-04,528.98575
2017-05,558.901632
2017-06,591.109679
2017-07,614.76103
2017-08,606.957151
2017-09,589.949556
2017-10,593.618175
2017-11,612.738248
2017-12,628.743536
2018-01,691.089692
2018-02,673.63753
2018-03,681.650169
2018-04,666.1914081585195
2018-05,618.0857307408735
2018-06,620.6885561008633
2018-07,609.5721749086931
2018-08,586.8186265853234
2018-09,552.7975033320105
2018-10,527.9339120626769
2018-11,513.881349099528
2018-12,519.4848448798322
2019-01,521.8140692575196
2019-02,512.5771197645965
2019-03,490.07405541405063
2019-04,483.1696557509056
2019-05,470.16855856494516
2019-06,485.3065185030449
2019-07,481.9375550128044
2019-08,472.9321509850394
2019-09,471.88785156575597
2019-10,480.6064895134812
2019-11,496.4251299784104
2019-12,523.177611252412
2020-01,522.9933588915577
2020-02,474.7914343497655
2020-03,370.1851785464723
2020-04,387.3443135215181
2020-05,412.8176496370303
2020-06,414.20745672105255
2020-07,406.1062838727474
2020-08,416.7423508167357
2020-09,420.4699610128601
2020-10,435.6277145749366
2020-11,466.45068079537407
2020-12,485.6964666718367
2021-01,498.20101680174747
2021-02,484.16082687715857
2021-03,488.0822785085404
2021-04,512.7295163458059
2021-05,537.3188536789622
2021-06,543.680183551862
2021-07,558.331610496809
2021-08,575.8370675009147
2021-09,579.809481482607
2021-10,598.5073578018222
2021-11,577.9502494262055
2021-12,592.1072571360304
2022-01,608.0734314142632
2022-02,595.0155135857607
2022-03,583.7598332341312
2022-04,581.7509422383827
2022-05,576.2056922749402
2022-06,561.4269841682603
2022-07,553.718571422344
2022-08,548.8172180974045
2022-09,534.5110285779114
2022-10,514.117395040064
2022-11,517.4716537489805
2022-12,527.3861825939405
2023-01,538.9841506109653
2023-02,551.4507526307061
2023-03,537.174787540518
2023-04,553.3858475062291
2023-05,587.1899795497463
2023-06,557.5464373850266
2023-07,579.7023144401616
