Date,ACWI FM ex JAPAN SMALL CAP
2010-11,1000.0
2010-12,1088.1484298461062
2011-01,1091.7109531811489
2011-02,1123.8133504845084
2011-03,1149.7125301605763
2011-04,1198.065304109253
2011-05,1171.8877493367925
2011-06,1141.0082719273782
2011-07,1113.9666762829272
2011-08,1013.7568780125386
2011-09,882.459494568699
2011-10,1000.5401895078134
2011-11,970.0512808521389
2011-12,959.2561774258396
2012-01,1038.2045211240902
2012-02,1095.033578260668
2012-03,1098.4759012149548
2012-04,1090.5637629720925
2012-05,993.3518822033368
2012-06,1027.7919172098573
2012-07,1028.0139123245272
2012-08,1064.9590349967607
2012-09,1107.0211643367807
2012-10,1101.3466906855247
2012-11,1113.8032075002209
2012-12,1152.2411929274883
2013-01,1217.5003970812327
2013-02,1225.0841285475344
2013-03,1257.3251075621204
2013-04,1267.5734073970689
2013-05,1291.7468448198786
2013-06,1251.6706412361295
2013-07,1329.8207062939755
2013-08,1301.708256528397
2013-09,1385.345474897881
2013-10,1434.0633302714245
2013-11,1458.8874709734519
2013-12,1491.7551870409723
2014-01,1461.3629347370347
2014-02,1547.4628463570548
2014-03,1544.2860250876483
2014-04,1523.2700188280974
2014-05,1541.1703960004265
2014-06,1593.7221756611787
2014-07,1531.4937327714679
2014-08,1583.708327912817
2014-09,1494.9257028171276
2014-10,1520.7334074320331
2014-11,1526.492537746283
2014-12,1528.584095327631
2015-01,1498.8626931860558
2015-02,1588.4106493272877
2015-03,1588.5852142583478
2015-04,1616.8109935326231
2015-05,1639.4006812276473
2015-06,1613.5906959339911
2015-07,1592.6198945194903
2015-08,1497.5756617490622
2015-09,1440.2817256716999
2015-10,1521.5988673804889
2015-11,1532.1953877273031
2015-12,1493.2390590964364
2016-01,1375.312179348397
2016-02,1386.3356875883226
2016-03,1509.4429392549446
2016-04,1540.4070851752454
2016-05,1553.5806355918216
2016-06,1530.79916371503
2016-07,1613.1637850074733
2016-08,1626.644088122422
2016-09,1644.0764980860006
2016-10,1578.6513333796895
2016-11,1645.4214527626639
2016-12,1681.8814816813087
2017-01,1723.1283411192485
2017-02,1764.256038782234
2017-03,1784.1140227655515
2017-04,1819.04029
2017-05,1825.476211
2017-06,1854.519345
2017-07,1899.167344
2017-08,1899.014237
2017-09,1970.370341
2017-10,1999.384319
2017-11,2039.336126
2017-12,2076.412065
2018-01,2154.368908
2018-02,2060.856787
2018-03,2061.687504
2018-04,2080.500655940703
2018-05,2131.2183899226493
2018-06,2117.305573275256
2018-07,2148.8800155866
2018-08,2193.939090293299
2018-09,2151.5797079395916
2018-10,1936.7539838634743
2018-11,1954.1541356286834
2018-12,1789.359212
2019-01,1973.8821183632995
2019-02,2048.8432411827953
2019-03,2037.767363184131
2019-04,2100.6364005895293
2019-05,1963.1135743474476
2019-06,2081.5655743814964
2019-07,2087.469713510279
2019-08,2007.4139578146303
2019-09,2045.2973789529733
2019-10,2097.794973
2019-11,2163.4999612510214
2019-12,2250.2866475086516
2020-01,2186.9624820387376
2020-02,1999.3872895967675
2020-03,1545.6164327018344
2020-04,1770.326142513469
2020-05,1885.0942223183372
2020-06,1957.092592798834
2020-07,2061.876224415709
2020-08,2171.0014310210618
2020-09,2110.261966
2020-10,2115.466537128966
2020-11,2460.955439156963
2020-12,2653.014980562111
2021-01,2709.8153491694034
2021-02,2861.5338725679926
2021-03,2916.405806197357
2021-04,3053.2164421220164
2021-05,3091.854305456983
2021-06,3105.836989928625
2021-07,3082.17093454483
2021-08,3152.4240429184465
2021-09,3047.3799561698256
2021-10,3167.948883133755
2021-11,3027.20848658949
2021-12,3148.0209350497494
2022-01,2917.2246930072756
2022-02,2910.134887244721
2022-03,2957.670389066441
2022-04,2738.587060626392
2022-05,2725.966137533445
2022-06,2439.8725616045717
2022-07,2651.4060854658055
2022-08,2582.811148215062
2022-09,2311.9498473581666
2022-10,2491.1966688536168
2022-11,2648.4021869117355
2022-12,2550.73416833071
2023-01,2790.191046702265
2023-02,2733.9264499726337
2023-03,2662.089287485524
2023-04,2661.470326738132
2023-05,2601.4843007393647
2023-06,2770.891518703746
2023-07,2917.3726862782028
