Date,EUROPE ex SWITZERLAND SMALL CAP
2000-12,1000.0
2001-01,1056.4949940119625
2001-02,1012.9310014686647
2001-03,921.0088072925457
2001-04,978.8718962116328
2001-05,979.2802659433786
2001-06,932.1456266252645
2001-07,918.7878428430728
2001-08,926.8963257719564
2001-09,770.7524534887597
2001-10,824.3318183763814
2001-11,891.8963992057967
2001-12,906.9749904541446
2002-01,893.151759590299
2002-02,896.4662833701476
2002-03,956.0088213222982
2002-04,987.8151884278298
2002-05,994.3586473575896
2002-06,959.0366945446696
2002-07,858.2442030410749
2002-08,847.5441342954133
2002-09,755.390081958457
2002-10,787.6034216353682
2002-11,822.4051548037665
2002-12,800.2523606605696
2003-01,778.5871697900589
2003-02,745.7629760944528
2003-03,742.3916806991471
2003-04,851.4955567929222
2003-05,948.5589611951252
2003-06,970.9592023793051
2003-07,1013.6362142350976
2003-08,1048.2398855981407
2003-09,1093.5796924935134
2003-10,1181.9440212546774
2003-11,1225.5029804589701
2003-12,1291.4953179045615
2004-01,1370.9120152157675
2004-02,1434.9440777331542
2004-03,1403.3693779417117
2004-04,1371.5939266257242
2004-05,1374.2686683565644
2004-06,1424.0322863244821
2004-07,1367.0059206923042
2004-08,1364.1447841812974
2004-09,1431.4224439131965
2004-10,1492.3719901309023
2004-11,1644.915654474415
2004-12,1735.6874558508223
2005-01,1760.8823959540396
2005-02,1855.7079028546552
2005-03,1816.6746714943692
2005-04,1754.313834030076
2005-05,1772.259289526388
2005-06,1822.8572049038294
2005-07,1924.2357919291314
2005-08,1987.9391385427998
2005-09,2039.2343652172347
2005-10,1920.0158096457924
2005-11,1969.2388529189545
2005-12,2076.8164708941595
2006-01,2279.0994201937015
2006-02,2333.9175881803835
2006-03,2457.537433617472
2006-04,2620.3218166069632
2006-05,2511.3646540030218
2006-06,2465.7299328883414
2006-07,2438.6499435862033
2006-08,2503.0939544636562
2006-09,2544.9519353717697
2006-10,2685.923079619118
2006-11,2873.0810137668445
2006-12,3009.671221470386
2007-01,3060.229231387528
2007-02,3074.6030979665516
2007-03,3228.505828064206
2007-04,3414.2606156786655
2007-05,3467.8213943038822
2007-06,3410.941868399923
2007-07,3387.094301086713
2007-08,3243.7784117660613
2007-09,3227.3224252056475
2007-10,3471.214273936485
2007-11,3166.2341122057373
2007-12,3064.8444220869837
2008-01,2731.5863570201177
2008-02,2868.4497039636467
2008-03,2897.2772915967903
2008-04,2955.026883985329
2008-05,2996.2011083796347
2008-06,2737.625689169732
2008-07,2601.23957214989
2008-08,2530.7851477250783
2008-09,2005.9681268950346
2008-10,1437.794927825505
2008-11,1314.5773736806461
2008-12,1375.8369156382607
2009-01,1296.141102069718
2009-02,1212.1307642397983
2009-03,1299.24941950353
2009-04,1585.872659388588
2009-05,1800.1409675288455
2009-06,1792.9467548100429
2009-07,1957.0818191080052
2009-08,2153.521584925076
2009-09,2303.2325276159963
2009-10,2266.258277187025
2009-11,2289.0407318746165
2009-12,2316.7513796912654
2010-01,2288.6769584042204
2010-02,2206.7543457493052
2010-03,2384.9480021816016
2010-04,2414.8525940796217
2010-05,2070.7264737038495
2010-06,2044.9440130941045
2010-07,2299.2886176932384
2010-08,2198.7054821621095
2010-09,2509.9600217831644
2010-10,2654.623395349087
2010-11,2472.9011339666326
2010-12,2784.4101089835817
2011-01,2842.8616589472053
2011-02,2902.261865533391
2011-03,2946.4436462673802
2011-04,3175.4277602542556
2011-05,3077.2205209650197
2011-06,2984.597305049444
2011-07,2860.478441121393
2011-08,2564.9283640954877
2011-09,2230.0955030010405
2011-10,2474.703420617814
2011-11,2324.611711231312
2011-12,2245.529180657919
2012-01,2473.967939503083
2012-02,2682.3704140849777
2012-03,2671.6340415366953
2012-04,2659.3721080816676
2012-05,2309.5222312511332
2012-06,2428.2400249106963
2012-07,2446.5057582021864
2012-08,2567.275699501228
2012-09,2708.174016816993
2012-10,2760.980433600083
2012-11,2787.403169635648
2012-12,2931.53909946815
2013-01,3107.93372531978
2013-02,3106.953628455739
2013-03,3093.7947695454036
2013-04,3199.2528301287325
2013-05,3269.0173822332044
2013-06,3132.9387916568426
2013-07,3411.039447800335
2013-08,3420.8711261356566
2013-09,3704.5483466396236
2013-10,3891.318241974764
2013-11,3969.479781042955
2013-12,4105.912628889796
2014-01,4047.4111310760973
2014-02,4424.728002219179
2014-03,4362.775270525967
2014-04,4332.091133764934
2014-05,4374.295309099411
2014-06,4342.021605467285
2014-07,4134.0443196006245
2014-08,4127.5596201147455
2014-09,3898.4721933974924
2014-10,3805.355693570144
2014-11,3868.717003385464
2014-12,3840.7593973524185
2015-01,3802.97480781777
2015-02,4121.234023213869
2015-03,4009.0185884474395
2015-04,4241.0834797227435
2015-05,4309.487133072175
2015-06,4258.753927058711
2015-07,4369.540359764353
2015-08,4202.128065698344
2015-09,4059.543709032322
2015-10,4273.045925415451
2015-11,4254.553941145642
2015-12,4269.793154813191
2016-01,3899.7494385602536
2016-02,3884.7393623329367
2016-03,4206.2099746945405
2016-04,4269.110250247916
2016-05,4333.254691717649
2016-06,3912.651762361482
2016-07,4157.445527321194
2016-08,4209.550742939025
2016-09,4288.18422749256
2016-10,4071.6581054845715
2016-11,3984.5477883480626
2016-12,4158.426561369668
2017-01,4289.63737713362
2017-02,4349.086800655641
2017-03,4494.720094686263
2017-04,4799.44186
2017-05,5010.797731
2017-06,4953.317566
2017-07,5185.600652
2017-08,5204.56248
2017-09,5418.495682
2017-10,5446.692443
2017-11,5461.70376
2017-12,5634.382653
2018-01,5953.04833
2018-02,5653.311852
2018-03,5628.59965
2018-04,5783.436558089047
2018-05,5674.036364847147
2018-06,5621.061521946767
2018-07,5715.9794731314405
2018-08,5635.8554457156215
2018-09,5537.904230835451
2018-10,4993.827062330158
2018-11,4828.296631932743
2018-12,4566.559583744264
2019-01,4999.289297049833
2019-02,5136.899023316142
2019-03,5135.122025624063
2019-04,5363.373298101368
2019-05,5017.359447223139
2019-06,5270.063619321265
2019-07,5144.950281847932
2019-08,4995.432691174601
2019-09,5122.557004281395
2019-10,5384.3190338497
2019-11,5567.551165511631
