Date,ACWI + FRONTIER MKTS (ACWI FM) SMALL CAP
2010-11,1000.0
2010-12,1089.2083821904112
2011-01,1093.5629011831386
2011-02,1126.730319217679
2011-03,1144.5732391006304
2011-04,1189.0280150152885
2011-05,1163.6760429231645
2011-06,1138.932085813056
2011-07,1118.3037545446798
2011-08,1022.6980843421661
2011-09,903.102654180003
2011-10,1007.1515987723168
2011-11,976.7846970222822
2011-12,968.3867777774058
2012-01,1044.219153768109
2012-02,1097.100243603769
2012-03,1102.9548422010753
2012-04,1094.2720754378636
2012-05,997.352574641358
2012-06,1032.6984979879983
2012-07,1031.3629274193406
2012-08,1064.3738387348023
2012-09,1105.316870854238
2012-10,1098.0195430062838
2012-11,1110.008596836147
2012-12,1147.996660862758
2013-01,1211.0883369740377
2013-02,1221.5351442208107
2013-03,1259.6342934502254
2013-04,1276.606249214512
2013-05,1288.7526231400802
2013-06,1252.0618150929968
2013-07,1324.8771113182015
2013-08,1297.7759490462536
2013-09,1386.999057358801
2013-10,1430.6874631647709
2013-11,1452.3364902494457
2013-12,1483.1803385631247
2014-01,1455.2813104854765
2014-02,1530.3520944342183
2014-03,1527.9689315161695
2014-04,1506.5520249502836
2014-05,1526.9241802251236
2014-06,1583.8804926401474
2014-07,1528.3721360546976
2014-08,1574.5759126569124
2014-09,1489.640000192822
2014-10,1509.3147622618992
2014-11,1513.037973297025
2014-12,1516.3652516995742
2015-01,1494.157640050752
2015-02,1580.0984249912258
2015-03,1583.2768621850298
2015-04,1611.5581814178656
2015-05,1633.7658684278626
2015-06,1612.8812620382628
2015-07,1593.4033561432498
2015-08,1502.4197950404516
2015-09,1445.404316751413
2015-10,1528.5273028981508
2015-11,1540.0913591765175
2015-12,1506.2526599370754
2016-01,1389.744436426577
2016-02,1398.1312310307565
2016-03,1518.536976512083
2016-04,1553.3640901501062
2016-05,1565.2817541551153
2016-06,1543.8319903371907
2016-07,1626.8893943608307
2016-08,1632.7222038368461
2016-09,1657.7453850124696
2016-10,1601.2864891809934
2016-11,1652.8270025175866
2016-12,1688.780490973897
2017-01,1732.5660713715881
2017-02,1775.2358210847708
2017-03,1793.0446220128292
2017-04,1827.698387
2017-05,1840.518632
2017-06,1868.536246
2017-07,1914.060525
2017-08,1917.758934
2017-09,1985.446907
2017-10,2018.849005
2017-11,2062.54173
2017-12,2099.4563
2018-01,2179.432149
2018-02,2092.515011
2018-03,2091.482781
2018-04,2108.725803133679
2018-05,2153.725559064356
2018-06,2133.867378035504
2018-07,2160.185368493226
2018-08,2199.1041139117515
2018-09,2164.5620985861756
2018-10,1949.6733288213807
2018-11,1971.1049942298407
2018-12,1804.706694
2019-01,1981.1238476920983
2019-02,2050.728435665242
2019-03,2042.0400803025002
2019-04,2100.3008966444336
2019-05,1968.232067063927
2019-06,2079.4868567738145
2019-07,2087.562962949914
2019-08,2013.8073807906505
2019-09,2055.825166019693
2019-10,2115.000209
2019-11,2175.801147469715
2019-12,2257.6628160058403
2020-01,2192.8032304504186
2020-02,1996.9296256514324
2020-03,1578.3993165898398
2020-04,1791.3627237117123
2020-05,1909.9419886773533
2020-06,1971.9929223072108
2020-07,2060.377905309855
2020-08,2175.0111723516707
2020-09,2130.33711
2020-10,2129.083994937008
2020-11,2453.622222607294
2020-12,2636.450280123982
2021-01,2685.441140943741
2021-02,2822.661577227715
2021-03,2881.797877194719
2021-04,3001.3679606495657
2021-05,3034.226339221214
2021-06,3049.445404628293
2021-07,3027.06087265537
2021-08,3097.522743123923
2021-09,3007.0098868954797
2021-10,3104.343189806013
2021-11,2962.1582032294414
2021-12,3074.6631600146784
2022-01,2854.639662157924
2022-02,2852.3150751686176
2022-03,2886.288865857831
2022-04,2672.1823466588553
2022-05,2662.7979117361756
2022-06,2396.9066006291423
2022-07,2596.4833693384676
2022-08,2530.934577264796
2022-09,2273.3253852779267
2022-10,2432.117972008435
2022-11,2591.7474951877957
2022-12,2512.172299436402
2023-01,2734.2058624202355
2023-02,2676.492755030776
2023-03,2621.6785160618497
2023-04,2623.025775890235
2023-05,2565.3672007748078
2023-06,2721.261586315486
2023-07,2861.8492246804067
