Date,SWITZERLAND SMALL CAP
2000-12,100.0
2001-01,102.2465666197861
2001-02,101.37958915863076
2001-03,91.75504730290152
2001-04,95.1977576377441
2001-05,93.37815561374818
2001-06,91.40152123271676
2001-07,88.27336643955859
2001-08,88.13672612429707
2001-09,74.34786637433801
2001-10,74.51512248263441
2001-11,80.38672066586332
2001-12,82.34660432685456
2002-01,78.97253535147279
2002-02,78.88110610088646
2002-03,86.4541862841911
2002-04,87.21393523628564
2002-05,90.33761320615776
2002-06,88.60876590398446
2002-07,76.98372858501881
2002-08,72.99008424898092
2002-09,65.02121962678562
2002-10,66.68202207586089
2002-11,69.2624954128109
2002-12,69.46345204028955
2003-01,63.025193925450374
2003-02,62.81581136027582
2003-03,66.1823292646916
2003-04,74.13721952011808
2003-05,81.51965137640173
2003-06,80.28902839991416
2003-07,85.42280892458692
2003-08,89.77126143056135
2003-09,97.97979551777487
2003-10,108.78157567929854
2003-11,114.89859845584863
2003-12,120.81616303240119
2004-01,128.41587344184873
2004-02,131.28642818861755
2004-03,125.47837009300747
2004-04,124.85124370446943
2004-05,127.16750443018536
2004-06,130.92799309695658
2004-07,122.9615412071346
2004-08,122.29920405325511
2004-09,126.81560601209758
2004-10,129.83512884186277
2004-11,141.98750754038784
2004-12,145.16013119181505
2005-01,148.20121766977172
2005-02,157.90809086303796
2005-03,155.60088504121737
2005-04,152.11766688944465
2005-05,149.12965093160747
2005-06,150.7556765774567
2005-07,162.28224417036066
2005-08,170.29412005827615
2005-09,172.75929482977398
2005-10,163.17818776293265
2005-11,162.17108248485684
2005-12,168.90080699130857
2006-01,186.86357330397732
2006-02,192.58338381632979
2006-03,201.39607606691683
2006-04,216.19302236714032
2006-05,205.4186239567668
2006-06,203.02000050557706
2006-07,204.00278264374623
2006-08,213.06334473114262
2006-09,217.42812096837406
2006-10,228.06096733813277
2006-11,239.80229002682583
2006-12,250.16915650222327
2007-01,267.2964365324252
2007-02,266.06780357067066
2007-03,279.25376210594567
