Date,HONG KONG SMALL CAP
2000-12,100.0
2001-01,106.94566224700068
2001-02,110.53721115578543
2001-03,97.72129350153125
2001-04,106.7276833492883
2001-05,115.64581460721995
2001-06,110.82864293164153
2001-07,101.33409393089475
2001-08,94.20322101057609
2001-09,83.17541745747347
2001-10,89.87940741288931
2001-11,95.25135173957568
2001-12,99.46167784007986
2002-01,100.27294754646097
2002-02,99.67678434484925
2002-03,105.08164159272411
2002-04,112.05563351289855
2002-05,112.89470052274892
2002-06,110.36293061807874
2002-07,99.80682515092103
2002-08,93.76242825626467
2002-09,84.69218707902179
2002-10,86.9619316258459
2002-11,92.28475160104134
2002-12,88.84950053813293
2003-01,91.72623380689251
2003-02,90.24821401328934
2003-03,85.46584363489013
2003-04,83.05237528239967
2003-05,93.06790678921205
2003-06,96.32296901381633
2003-07,103.83849354243111
2003-08,118.91578174508359
2003-09,132.52666218554526
2003-10,139.89647779313884
2003-11,137.88785076498905
2003-12,147.9697285978199
2004-01,168.02512294988347
2004-02,173.3157131596368
2004-03,167.84862635458384
2004-04,157.6996131293981
2004-05,154.91596684382108
2004-06,153.93043048019072
2004-07,160.59058281967427
2004-08,162.77542190268917
2004-09,166.4294005645157
2004-10,170.55787921419932
2004-11,191.66308954655935
2004-12,191.62209451486422
2005-01,189.34439796245897
2005-02,203.26628580146718
2005-03,194.64388936089154
2005-04,196.41910065644527
2005-05,201.34305347207064
2005-06,203.4144204500528
2005-07,207.11599661290114
2005-08,199.79079793070377
2005-09,199.99887270601943
2005-10,181.75197548923518
2005-11,195.12723741106035
2005-12,199.85290584031642
2006-01,212.7563387769286
2006-02,218.74561294583535
2006-03,229.7090131690259
2006-04,236.43134401409245
2006-05,219.74198922379256
2006-06,211.90618422092243
2006-07,212.23180735658445
2006-08,216.32752693175144
2006-09,223.28988698591084
2006-10,228.6618516417221
2006-11,242.9864184193168
2006-12,251.43437130689844
2007-01,270.8126561285425
2007-02,278.0938166574199
2007-03,286.57218684419513
2007-04,299.61421208949685
2007-05,327.898658641331
2007-06,333.58357864151
2007-07,350.6643979568797
2007-08,331.68197189274105
2007-09,342.64087347315655
2007-10,357.5572618548477
2007-11,334.85742687721927
2007-12,332.8010277940072
2008-01,272.059390031989
2008-02,277.84591229435745
2008-03,248.9263481267238
2008-04,266.19826740163114
2008-05,266.8889769318702
2008-06,237.02963628291403
2008-07,222.77730959000255
2008-08,201.19592757125716
2008-09,160.02950103952836
2008-10,103.18047319070915
2008-11,97.8595437610555
2008-12,115.66851375739657
2009-01,113.70551876352127
2009-02,113.2146146417382
2009-03,115.0376559871629
2009-04,138.44524819873092
2009-05,184.95712391796462
2009-06,185.078649710271
2009-07,214.85309374090005
2009-08,205.00141157839286
2009-09,217.442659489957
2009-10,228.53126898082493
2009-11,234.72633031796877
2009-12,242.1170124502929
