Date,CHILE SMALL CAP
1994-05,163.76763924197087
1994-06,165.30571413326928
1994-07,159.75017077357393
1994-08,189.24856834225238
1994-09,219.49020938695656
1994-10,241.54278990876008
1994-11,246.89109237464518
1994-12,243.59662787848896
1995-01,241.22505723951534
1995-02,241.0606083260505
1995-03,246.2115521684128
1995-04,269.66525736343397
1995-05,323.5794952989852
1995-06,338.5480174999824
1995-07,336.81475129561676
1995-08,330.13660378383184
1995-09,337.8096371278565
1995-10,313.24810291371875
1995-11,295.5236740895093
1995-12,309.13425783190496
1996-01,311.95056345435046
1996-02,305.2335734131525
1996-03,291.2580901918758
1996-04,304.01563620929636
1996-05,294.91327157659714
1996-06,282.7180688567917
1996-07,277.43693092542276
1996-08,262.50766893104293
1996-09,261.2202730789902
1996-10,251.81856901174652
1996-11,242.77173681522677
1996-12,236.65034339131086
1997-01,250.06817765203348
1997-02,258.00969772841916
1997-03,249.7853514226513
1997-04,250.47475737240538
1997-05,258.8343391628518
1997-06,265.7993813544143
1997-07,263.16795151201615
1997-08,254.37125550588468
1997-09,251.6862231385563
1997-10,233.90628376556978
1997-11,220.54394336202495
1997-12,213.51913111204544
1998-01,188.09550572233871
1998-02,187.11519716269711
1998-03,195.34601248690348
1998-04,190.54309404125846
1998-05,181.62806025228582
1998-06,169.0923546552105
1998-07,170.60406180399616
1998-08,143.6317922030245
1998-09,137.83895313500005
1998-10,141.7507454575217
1998-11,164.99489539442794
1998-12,150.82264168911024
1999-01,140.82098643710316
1999-02,144.9377158021413
1999-03,161.364928313
1999-04,180.46316953058297
1999-05,184.35741613965723
1999-06,180.42217986266348
1999-07,184.06345964128266
1999-08,178.20641374701137
1999-09,172.71881554587188
1999-10,169.27665474405853
1999-11,178.53903075597412
1999-12,193.34035112067227
2000-01,218.29297593583965
2000-02,221.61447600735852
2000-03,218.2210169192152
2000-04,208.35402060696381
2000-05,202.38909593170712
2000-06,196.03907224051844
2000-07,186.93345672051476
2000-08,187.24645236292093
2000-09,184.15368805536653
2000-10,178.1834130443177
2000-11,182.30234859341797
2000-12,192.72327749800846
2001-01,207.23887919138238
2001-02,199.55819198577169
2001-03,195.05010660988242
2001-04,192.79600341572828
2001-05,210.88780097076562
2001-06,206.59220513101135
2001-07,199.2332307210018
2001-08,212.8733573271557
2001-09,188.14630351023297
2001-10,185.04882629491001
2001-11,206.05537061047934
2001-12,214.77683140936534
2002-01,208.029198697495
2002-02,209.10215508857013
2002-03,221.40562426625124
2002-04,222.07740038741264
2002-05,221.4152073275191
2002-06,206.1305867574783
2002-07,192.84091342239992
2002-08,199.36683710038474
2002-09,179.75130263402514
2002-10,192.90456785239317
2002-11,200.74106597477567
2002-12,210.45707541207838
2003-01,206.05658929543324
2003-02,200.33718739952837
2003-03,206.54001082645573
2003-04,241.20253691008307
2003-05,253.87540359055714
2003-06,260.5301278015791
2003-07,273.14138883831447
2003-08,291.1301811788898
2003-09,309.25695971152635
2003-10,358.87443231517943
2003-11,342.1144538839554
2003-12,357.1563311603883
2004-01,346.8468150857749
2004-02,375.3518514111323
2004-03,363.06380137893063
2004-04,354.4914162227519
2004-05,336.8942387011917
2004-06,351.7149106987617
2004-07,366.65262562205277
2004-08,432.1831718485085
2004-09,485.7873262273062
2004-10,523.4451605736494
2004-11,563.9293927009406
2004-12,581.9739671891286
2005-01,549.0780400865923
2005-02,588.4959469799926
2005-03,626.3313170572075
2005-04,615.9202025902539
2005-05,579.0523211019938
2005-06,606.6068761876614
2005-07,706.3919487338488
2005-08,686.7270934409488
2005-09,726.4528585434896
2005-10,662.1815424962094
2005-11,662.1458170203754
2005-12,641.7307368458297
2006-01,677.055416169942
2006-02,694.3545219907571
2006-03,699.0129809709105
2006-04,718.9675841229706
2006-05,686.9222280111516
2006-06,670.6654728802829
2006-07,657.4917097408088
2006-08,675.0376442361652
2006-09,691.6262872006445
2006-10,729.3187888458033
2006-11,778.7942246558222
2006-12,793.0373775184161
2007-01,860.1288519702277
2007-02,837.2589575154891
2007-03,862.5072087775939
2007-04,928.5691243185627
2007-05,1000.0
2007-06,1087.2176089596082
2007-07,1069.962361121974
2007-08,1081.307254930862
2007-09,1086.386396606067
2007-10,1168.8441690633865
2007-11,1061.4525453683111
2007-12,1021.8748431507848
2008-01,966.4087898234756
2008-02,1007.4639230491389
2008-03,1007.6557849984181
2008-04,1018.308686747547
2008-05,941.8689389293985
2008-06,798.4648559088879
2008-07,819.7779209315759
2008-08,807.870590578756
2008-09,674.2468528507471
2008-10,495.6268583371288
2008-11,514.3334311632638
2008-12,532.2017820885844
2009-01,592.8974819540034
2009-02,603.0602870359132
2009-03,609.9778880465409
2009-04,688.5574322161708
2009-05,842.8156571953476
2009-06,893.4318141399352
2009-07,895.6231561436914
2009-08,881.0700876920104
2009-09,943.6671810713539
2009-10,998.6850259174712
2009-11,1023.9778445050531
2009-12,1072.093518008945
2010-01,1082.7751341227367
2010-02,1138.4494944705602
2010-03,1132.6167592039872
2010-04,1185.8509035481143
2010-05,1137.436938344093
2010-06,1190.500069541991
2010-07,1332.0180668241157
2010-08,1479.238583790887
2010-09,1627.8580147438026
2010-10,1676.5601346985227
2010-11,1719.5844147458306
2010-12,1842.9431340657927
2011-01,1695.7656529530932
2011-02,1580.5160471967918
2011-03,1592.0312227620013
2011-04,1717.4843017216967
2011-05,1663.8769686043238
2011-06,1393.504468346101
2011-07,1319.090172887115
2011-08,1235.4748556275326
2011-09,929.9369055605497
2011-10,1103.039899053513
2011-11,1033.9697774472372
2011-12,986.4504146598414
2012-01,1057.221842128707
2012-02,1148.4263905935968
2012-03,1218.2258222454054
2012-04,1206.3655515676135
2012-05,1063.674480639366
2012-06,1111.5444657938622
2012-07,1136.582833055976
2012-08,1101.5018517684496
2012-09,1165.3767240379325
2012-10,1244.4365105559757
2012-11,1179.0131917964477
2012-12,1238.0407192520515
2013-01,1335.7780749120463
2013-02,1347.7442526244834
2013-03,1297.3375448726006
2013-04,1244.6242128136082
2013-05,1154.5503964040959
2013-06,1045.5830622238016
2013-07,946.8288703227346
2013-08,901.583494551865
2013-09,967.3658995743515
2013-10,950.5885834151464
2013-11,861.3314873856133
2013-12,867.6896140420071
2014-01,759.5317396921939
2014-02,790.7783706464886
2014-03,837.5918860753435
2014-04,825.4495782870628
2014-05,848.5766017436183
2014-06,817.2637221125043
2014-07,820.0129887769365
2014-08,823.3477337398211
2014-09,820.3403765536841
2014-10,851.0435553774478
2014-11,831.2078475515119
2014-12,804.28865279565
2015-01,769.9477198384194
2015-02,839.8244273403925
2015-03,811.4020770542721
2015-04,852.4206826911085
2015-05,826.3247759252826
2015-06,768.906665528884
2015-07,717.6844791488891
2015-08,688.6250037195667
2015-09,676.0582421474751
2015-10,692.1474084190958
2015-11,648.258176987019
2015-12,652.1012594421102
2016-01,646.9321658791429
2016-02,695.8564721653452
2016-03,764.1075302247497
2016-04,798.356295691449
2016-05,781.7313505911646
2016-06,802.9042710595899
2016-07,880.4623294525339
2016-08,864.3174311127104
2016-09,885.3789146270817
2016-10,956.6358840081061
2016-11,904.590364351001
2016-12,883.9291525475112
2017-01,924.0298332210862
2017-02,981.1685009997536
2017-03,1037.3552608028815
2017-04,1043.383614
2017-05,1031.170821
2017-06,1003.572321
2017-07,1125.137511
2017-08,1195.172278
2017-09,1202.363762
2017-10,1260.03534
2017-11,1093.48493
2017-12,1339.55776
2018-01,1416.770557
2018-02,1383.831653
2018-03,1301.303391
2018-04,1324.2049605201885
