Date,QATAR SMALL CAP
2002-05,180.3138151500084
2002-06,184.208679288498
2002-07,203.00759478167677
2002-08,213.11202474298165
2002-09,203.86625029561822
2002-10,200.170207210538
2002-11,199.87281510682
2002-12,210.0785719915517
2003-01,225.5075531427331
2003-02,206.5746229227744
2003-03,221.60662609279913
2003-04,239.05771897683624
2003-05,229.49387261262814
2003-06,257.96724951835023
2003-07,291.7922995787177
2003-08,315.09328674393043
2003-09,285.0986811984452
2003-10,296.6004803857316
2003-11,325.1300544484903
2003-12,313.85359935346156
2004-01,333.9607413912783
2004-02,404.003254320938
2004-03,491.7875453043867
2004-04,496.98498073686045
2004-05,450.2710789243996
2004-06,418.5406777335161
2004-07,416.0803505958437
2004-08,445.8254762391645
2004-09,431.90509265092663
2004-10,453.64982290612176
2004-11,473.6998114515957
2004-12,498.89194124242266
2005-01,612.3969969814347
2005-02,819.8091482584226
2005-03,1334.4832471770374
2005-04,863.3240111670215
2005-05,808.7631028685228
2005-06,1016.8003651424415
2005-07,997.6574012369167
2005-08,1227.0939099890384
2005-09,1297.3858213287685
2005-10,1324.8335079130732
2005-11,1096.8149649708437
2005-12,1093.6915995736854
2006-01,1010.1650601470029
2006-02,808.2508233970717
2006-03,865.9183901203099
2006-04,903.3032836934588
2006-05,774.0579973294716
2006-06,790.3984731593318
2006-07,820.5831902585041
2006-08,816.428439202223
2006-09,801.1156414655072
2006-10,756.7970506167804
2006-11,666.1352147139262
2006-12,769.8071510065811
2007-01,714.418248508424
2007-02,680.8508422060821
2007-03,675.4118348998437
2007-04,740.1276579589024
2007-05,788.5595891655429
2007-06,795.4262678150425
2007-07,824.2714741255759
2007-08,819.3107591352132
2007-09,860.0585203374812
2007-10,970.780110821321
2007-11,1000.0
2007-12,1042.4577754910242
2008-01,1008.0687029188394
2008-02,1097.2957619972835
2008-03,1042.9835141850551
2008-04,1176.202036779475
2008-05,1265.3688826329892
2008-06,1363.7389397057118
2008-07,1387.1474360070206
2008-08,1256.4001735272527
2008-09,1120.6248008445957
2008-10,801.5028804368827
2008-11,665.6119074217557
2008-12,716.8373925223182
2009-01,563.1272578375955
2009-02,578.0417444627483
2009-03,607.0239346748135
2009-04,767.9300241644878
2009-05,820.3796266429392
2009-06,782.5273830995482
2009-07,817.4022853148791
2009-08,836.0922784325572
2009-09,875.1826812578447
2009-10,867.9258019371351
2009-11,854.2684076915755
2009-12,835.5284137380269
2010-01,816.4660748271705
2010-02,832.6667562749888
2010-03,940.8270552171421
2010-04,964.639756271498
2010-05,885.103594624656
2010-06,889.2059838867303
2010-07,901.4424900867991
2010-08,946.4976398840602
2010-09,1007.9683734200448
2010-10,992.473248781085
2010-11,1013.6652692486521
2010-12,1092.7546540813842
2011-01,1119.040263547365
2011-02,1041.3099540998796
2011-03,1156.9117113829654
2011-04,1226.978179600333
2011-05,1205.1205011782085
2011-06,1199.1105722758437
2011-07,1209.0456925204821
2011-08,1197.8009012184868
2011-09,1227.2208166301323
2011-10,1222.1398312363992
2011-11,1224.4644118840306
2011-12,1230.2566128351646
2012-01,1232.7094867644723
2012-02,1281.9637936250538
2012-03,1357.5126974780792
2012-04,1412.8490582902798
2012-05,1419.2968109515043
2012-06,1385.0221127979032
2012-07,1399.4888133947657
2012-08,1446.1743229696901
2012-09,1442.272809315664
2012-10,1431.5666516952988
2012-11,1388.9896214547766
2012-12,1412.681869475788
2013-01,1427.1643709238356
2013-02,1451.1638560222693
2013-03,1461.5194461155052
2013-04,1498.3998507577644
2013-05,1648.936957535644
2013-06,1631.9506253507095
2013-07,1660.3001159105747
2013-08,1635.6468724161848
2013-09,1652.470607996002
2013-10,1726.35288846712
2013-11,1809.644429130035
2013-12,1859.875115366856
2014-01,2041.8141214922125
2014-02,2122.114460471329
2014-03,2277.7192882992226
2014-04,2703.5178109061326
2014-05,2777.603230749669
2014-06,2479.772180946775
2014-07,2805.2077616968236
2014-08,3018.5027090057833
2014-09,2999.5082076089034
2014-10,2842.7566142139576
2014-11,2765.1819519852374
2014-12,2592.8740232655746
2015-01,2610.3718023639317
2015-02,2762.104590382085
2015-03,2579.7717103682926
2015-04,2827.1197402815856
2015-05,2869.7374122862543
2015-06,2979.9774916701485
2015-07,2973.6804231047868
2015-08,2731.0778476476976
2015-09,2708.3293298404415
2015-10,2738.8462364526117
2015-11,2377.3370189295556
