Date,DENMARK SMALL CAP
2000-12,100.0
2001-01,118.84515846517512
2001-02,111.6205473397753
2001-03,101.10694834185578
2001-04,108.95806645157012
2001-05,110.65646482953242
2001-06,98.73330914684068
2001-07,98.6843876796012
2001-08,95.65055908888813
2001-09,86.34308750879568
2001-10,87.7660363813408
2001-11,88.51233385387151
2001-12,89.69792104754488
2002-01,94.03272883423676
2002-02,93.89591634834018
2002-03,102.35267280857258
2002-04,107.65022274534923
2002-05,112.9832048088094
2002-06,108.60738221471968
2002-07,98.1372495953343
2002-08,94.28491812211458
2002-09,85.71705165029464
2002-10,87.46802470473426
2002-11,91.98406155912927
2002-12,94.7004870220794
2003-01,88.81128796462082
2003-02,86.97530308304106
2003-03,91.53948109311422
2003-04,103.57661335406252
2003-05,113.56856217066012
2003-06,115.13998112541721
2003-07,114.68949203888879
2003-08,129.4007517019758
2003-09,138.68809930636561
2003-10,150.49217319611986
2003-11,152.8929878822186
2003-12,164.25198195575595
2004-01,176.3751043146029
2004-02,180.494767674587
2004-03,178.47522993986135
2004-04,178.70868759973823
2004-05,183.0272074565841
2004-06,191.99954838573572
2004-07,189.67282104754014
2004-08,194.10963431545508
2004-09,208.5461745045535
2004-10,217.5682307559309
2004-11,243.66021052759723
2004-12,257.52034627126454
2005-01,259.5208973636786
2005-02,275.591426022694
2005-03,277.21531155847345
2005-04,280.49091223193716
2005-05,288.0849576907445
2005-06,310.0586115861398
2005-07,328.0715232547183
2005-08,337.2487585185737
2005-09,345.93497552467477
2005-10,332.30421886596196
2005-11,344.82885371640845
2005-12,382.8430505742139
2006-01,419.57439807496337
2006-02,442.2610825064196
2006-03,468.98327667627996
2006-04,527.1031218620043
2006-05,508.4769931542955
2006-06,476.9391719491745
2006-07,472.71621942411093
2006-08,487.3014228744373
2006-09,510.83072001515876
2006-10,533.522365489283
2006-11,599.6665486120985
2006-12,630.9621928033937
2007-01,626.3150257834913
2007-02,598.4851798228392
2007-03,609.858787454094
2007-04,667.3996909225007
2007-05,686.8275545372021
2007-06,669.6826994859317
2007-07,664.2371661585463
2007-08,633.3515228277097
2007-09,641.1530978027808
2007-10,674.7925144206318
2007-11,571.5230179452639
2007-12,548.0848433945547
2008-01,458.98169327315867
2008-02,491.05742958928903
2008-03,497.4281523777938
2008-04,505.0543241504506
2008-05,510.5920508531449
2008-06,450.37432045043704
2008-07,435.2671061417585
2008-08,413.63255390150965
2008-09,301.83745326357433
2008-10,212.16952480927233
2008-11,188.44415590250452
2008-12,186.58448658510247
2009-01,191.44880294063785
2009-02,166.59138238049078
2009-03,164.62250413725988
2009-04,203.36790757166267
2009-05,239.90434934941186
2009-06,231.63755128678025
2009-07,265.31419911882404
2009-08,289.39867835722777
2009-09,303.6879096745083
2009-10,297.9852458324177
2009-11,298.33592173948836
2009-12,312.74875996271027
2010-01,313.88289353942446
2010-02,302.9611237037926
2010-03,323.27087773532946
2010-04,338.9567645843664
2010-05,278.89155870915687
2010-06,272.7805222161229
2010-07,304.730623175643
2010-08,277.2053256953315
2010-09,328.6082810698655
2010-10,341.371331088492
2010-11,325.3209273141363
2010-12,367.8503315158879
2011-01,385.2267397449586
2011-02,382.47593266979555
2011-03,384.7465422389011
2011-04,412.58674453088577
2011-05,400.1537285650607
2011-06,384.4619246679271
2011-07,370.9226552619859
2011-08,309.1448678366143
2011-09,276.263847093708
2011-10,306.34332519283396
2011-11,296.81120656205263
2011-12,279.0468408023328
2012-01,320.97448241425224
2012-02,350.67558712074236
2012-03,341.310072961943
2012-04,346.09908834977193
2012-05,309.2110858144166
2012-06,311.79849748994195
2012-07,316.4211675186139
2012-08,341.5160558652198
2012-09,360.4654457931054
2012-10,363.0752260652478
2012-11,358.6703349594358
2012-12,368.8500413694261
2013-01,403.0035861135161
2013-02,424.87773465900887
2013-03,432.0768073500271
2013-04,452.3483822713309
2013-05,479.62792949633825
2013-06,459.0745921205148
2013-07,512.2422288952437
2013-08,512.9899115126038
2013-09,568.6127233169836
2013-10,601.5087153752085
2013-11,617.8874191525896
2013-12,637.5278244454489
2014-01,643.2348317269682
2014-02,704.218244444434
2014-03,703.8012431530408
2014-04,726.6276229772636
2014-05,783.9441421124263
2014-06,787.1149654023387
2014-07,751.5234076867087
2014-08,742.1483893364054
2014-09,707.020872949639
2014-10,718.7672738759402
2014-11,716.6866324223845
2014-12,729.2517417644206
2015-01,715.5899829271882
2015-02,757.1470596896667
2015-03,765.8228604135066
2015-04,806.5501879637907
2015-05,825.4199715930624
2015-06,823.5314052112707
2015-07,857.555250675955
2015-08,830.5491556193334
2015-09,835.157382127542
2015-10,837.6988024159829
2015-11,885.8589591006914
2015-12,905.4642510262058
2016-01,856.66020635674
2016-02,848.6912268282954
2016-03,911.6188345939914
2016-04,895.0635927026644
2016-05,926.9797764095598
2016-06,855.4248423317263
2016-07,903.4534124553684
2016-08,964.5945212190069
2016-09,977.4308321750549
2016-10,948.6834923079829
2016-11,890.0102087577657
2016-12,937.4202272849218
2017-01,996.0310658955888
2017-02,1007.5913429500919
2017-03,1059.2844241052267
2017-04,1137.60592
2017-05,1189.950822
2017-06,1210.280378
2017-07,1279.613043
2017-08,1313.614161
2017-09,1325.090958
2017-10,1329.356857
2017-11,1289.324316
2017-12,1322.412555
2018-01,1392.86162
2018-02,1380.015499
2018-03,1380.4652693305673
2018-04,1411.3618874670026
2018-05,1459.8975581290865
2018-06,1531.4349837928671
2018-07,1627.6908996168816
2018-08,1595.570517648722
2018-09,1478.653469675185
2018-10,1288.0278437258264
2018-11,1180.2285931988856
2018-12,1177.8832736138665
2019-01,1284.8777847900037
2019-02,1312.7154576434805
2019-03,1303.4045152733722
2019-04,1384.4290290577308
2019-05,1254.250301438155
2019-06,1281.0484470817219
2019-07,1236.4029704392274
2019-08,1175.6393113331505
2019-09,1188.8418913588275
2019-10,1202.4839744206652
2019-11,1288.8070734447604
2019-12,1358.3858003250814
2020-01,1361.6698550313772
2020-02,1308.8093739617154
2020-03,1095.5931487502203
2020-04,1236.8525602678565
2020-05,1384.663954276192
2020-06,1386.4784596492493
2020-07,1513.6958632652702
2020-08,1634.9534216149261
2020-09,1599.6282430675726
2020-10,1525.7955972942234
2020-11,1746.9555319098522
2020-12,1886.021664726267
2021-01,1781.027494913521
2021-02,1860.8946530115293
2021-03,1936.8477669843967
2021-04,2081.0363163396187
2021-05,2180.611242677449
2021-06,2164.323870064706
2021-07,2236.2226272858056
2021-08,2243.1041484995176
2021-09,2096.274334082479
2021-10,2166.6179913036735
2021-11,2018.339016008247
2021-12,2096.5457639301962
2022-01,1921.4089952642455
2022-02,1835.5854023352206
2022-03,1851.118832095311
2022-04,1774.2421140818326
2022-05,1825.139090680821
2022-06,1626.8353717668172
2022-07,1769.7949948301953
2022-08,1656.8039182695588
2022-09,1450.3031976651532
2022-10,1568.7257817620423
2022-11,1742.638236981881
2022-12,1809.97739202126
2023-01,1885.2643873557909
2023-02,1928.521017108926
2023-03,1924.6921993984365
2023-04,2024.596003883531
2023-05,1949.8070422616609
2023-06,2029.7779472855016
2023-07,2001.674771544024
