Date,HUNGARY SMALL CAP
1994-05,302.2100382963185
1994-06,260.5972675247507
1994-07,291.8673968680767
1994-08,319.20500003789437
1994-09,298.61895261403805
1994-10,311.42361964648967
1994-11,298.01672758262237
1994-12,275.89823426679555
1995-01,243.14034992578658
1995-02,246.685826700357
1995-03,243.48859610527532
1995-04,271.25901888899466
1995-05,297.332791642691
1995-06,291.8488931489203
1995-07,300.45996386551303
1995-08,290.87766412550997
1995-09,286.8598407160675
1995-10,286.1980449980354
1995-11,265.8864930153047
1995-12,259.850304527792
1996-01,310.3835126658187
1996-02,316.5710599025488
1996-03,333.0038680330227
1996-04,352.52228513177863
1996-05,385.20709528385737
1996-06,381.09946662693426
1996-07,366.5347689136664
1996-08,391.8516316673348
1996-09,403.49747808028945
1996-10,400.6390230928548
1996-11,400.92363576099484
1996-12,459.1935348252684
1997-01,562.1945642654405
1997-02,564.2998856064607
1997-03,560.8518465645554
1997-04,569.202408172217
1997-05,568.7612981852774
1997-06,587.4230721003961
1997-07,653.924519722453
1997-08,606.0997056400435
1997-09,633.7305067630381
1997-10,602.2601104147656
1997-11,518.7990970186512
1997-12,571.3203942290936
1998-01,511.61969035724053
1998-02,518.060385994506
1998-03,478.70259962021987
1998-04,475.18123047887485
1998-05,384.32709066245934
1998-06,398.94019919339485
1998-07,418.6549317813705
1998-08,283.21286734662186
1998-09,235.2206034349111
1998-10,271.33593021898315
1998-11,287.05698782480124
1998-12,293.79948775922264
1999-01,273.31652480578316
1999-02,235.46883248863588
1999-03,230.87311760644445
1999-04,249.32926102712352
1999-05,261.95474276729783
1999-06,258.1608855899535
1999-07,283.9685787395281
1999-08,294.0955375906384
1999-09,276.30735463491243
1999-10,283.241163212325
1999-11,284.14568207453567
1999-12,311.9849200020101
2000-01,320.36091057663856
2000-02,325.6320909584737
2000-03,347.50400390877496
2000-04,304.35993018214486
2000-05,291.0465719336629
2000-06,283.04420120735136
2000-07,268.05723779621366
2000-08,257.3143449348771
2000-09,243.47186234450484
2000-10,261.9848058205263
2000-11,226.16375711088128
2000-12,255.7682012588206
2001-01,236.9129965856246
2001-02,205.09969873181163
2001-03,191.02784443906322
2001-04,187.518826167341
2001-05,191.81513587042593
2001-06,193.35924957954154
2001-07,186.4665904863814
2001-08,184.43561406412945
2001-09,170.3511633554933
2001-10,182.13873920287597
2001-11,202.0398331200932
2001-12,204.71891903049772
2002-01,214.91871480359896
2002-02,215.0330533194062
2002-03,222.19169460052677
2002-04,265.07368194033074
2002-05,277.4638086928886
2002-06,278.3971684389316
2002-07,262.0438172383662
2002-08,257.4938174357198
2002-09,237.14646881781675
2002-10,269.6895840966018
2002-11,309.38770233570204
2002-12,357.9821831121035
2003-01,327.13901572458803
2003-02,325.5825663027777
2003-03,338.3533063603024
2003-04,374.8679174278419
2003-05,409.03300164087943
2003-06,408.518494017549
2003-07,453.44761054599894
2003-08,463.8171342344121
2003-09,476.97334081579623
2003-10,463.08919568555984
2003-11,477.91497889143585
2003-12,514.3500043586301
2004-01,510.6319291154216
2004-02,525.6501689421254
2004-03,513.7643841779054
2004-04,524.2588775928328
2004-05,509.4350806781132
2004-06,524.1585923860772
2004-07,522.7870463614489
2004-08,549.7822364358763
2004-09,612.9430419927475
2004-10,567.8759176320652
2004-11,601.7585870150738
2004-12,624.3891910922126
2005-01,699.0404506078846
2005-02,809.105371359149
2005-03,750.9543639130051
2005-04,659.9083465717803
2005-05,638.3922690152309
2005-06,687.6397546052101
2005-07,773.652723797626
2005-08,756.9875766673864
2005-09,717.2375196714523
2005-10,661.1274692920479
2005-11,719.6796692239767
2005-12,711.924690629314
2006-01,804.1204632795915
2006-02,851.4991981749938
2006-03,842.7687785960519
2006-04,881.2535847811205
2006-05,806.5536479153259
2006-06,778.9256449036471
2006-07,883.9124093006352
2006-08,899.3031661001095
2006-09,908.4680918769013
2006-10,915.4192789811648
2006-11,965.359684812131
2006-12,993.132415806965
2007-01,928.620980295729
2007-02,954.3573535044677
2007-03,944.2140782360954
2007-04,981.4067541671672
2007-05,1000.0
2007-06,1038.6837247066555
2007-07,1047.488132274629
2007-08,983.9373263209346
2007-09,1064.7133999845687
2007-10,1046.8113135589126
2007-11,918.5808591254842
2007-12,957.3074095968275
2008-01,825.7976673016562
2008-02,833.0455011206105
2008-03,796.9732436008361
2008-04,834.1543442876368
2008-05,826.1170151175045
2008-06,776.357380794773
2008-07,802.9411452417002
2008-08,699.7403572834706
2008-09,571.6420630034776
2008-10,414.3097408418047
2008-11,408.52906952922507
2008-12,393.6513470156045
2009-01,332.97112968971754
2009-02,284.3381955351458
2009-03,304.25233213109243
2009-04,335.87772781563194
2009-05,425.96129362469935
2009-06,493.3341035180425
2009-07,537.9784719909595
2009-08,608.4207096689391
2009-09,678.5854202020313
2009-10,657.8246409075139
2009-11,660.8356033096609
2009-12,645.4879773574675
2010-01,631.7205079374775
2010-02,647.0319901267326
2010-03,695.3284062902914
2010-04,681.7828332547535
2010-05,567.2514975571373
2010-06,493.35014921682244
2010-07,583.2752240049897
2010-08,554.0768546530201
2010-09,658.7340247131298
2010-10,694.8798929365572
2010-11,525.6267882555737
2010-12,566.217045194246
2011-01,623.1722271726818
2011-02,619.0939443862345
2011-03,627.5572647534258
2011-04,660.9496546932548
2011-05,623.8110091641524
2011-06,619.0878813143374
2011-07,568.6881744384735
2011-08,479.2577694495217
2011-09,381.50079068883343
2011-10,409.00951343265103
2011-11,389.37868096597197
2011-12,339.9248707453418
2012-01,350.05339825513437
2012-02,362.1171710812689
2012-03,306.8182683461296
2012-04,314.3358932928376
2012-05,236.0619800738143
2012-06,276.16145583685886
2012-07,297.16947158910494
2012-08,311.821476772564
2012-09,337.14082027948467
2012-10,341.3414646495048
2012-11,329.8150648952708
2012-12,337.92175788332264
2013-01,364.4097455552112
2013-02,352.23198132437926
