Date,BAHRAIN DOMESTIC SMALL CAP
2002-11,374.6328483061431
2002-12,382.96604476449045
2003-01,404.9542273416118
2003-02,400.4154546569793
2003-03,414.33957338061913
2003-04,444.652970842529
2003-05,471.1560149745138
2003-06,488.5590941302978
2003-07,498.96926164521847
2003-08,493.1459139840473
2003-09,506.76081461122175
2003-10,532.7801844212469
2003-11,540.670441901679
2003-12,599.0675113351522
2004-01,624.963720526973
2004-02,649.5598841590798
2004-03,600.7773928437875
2004-04,581.1673307667986
2004-05,601.1849199729696
2004-06,610.6388002843502
2004-07,625.9078068177976
2004-08,653.164089408852
2004-09,716.3497382941603
2004-10,772.0554467521953
2004-11,816.562503758204
2004-12,835.5096985317695
2005-01,883.9389661982725
2005-02,966.3015588710406
2005-03,933.1019008747262
2005-04,964.4289495642118
2005-05,933.375695331738
2005-06,959.1914613823241
2005-07,935.2096012103927
2005-08,919.726697669771
2005-09,950.0234575269519
2005-10,948.9386848401483
2005-11,956.4196018178857
2005-12,934.8085934164258
2006-01,973.6930245212623
2006-02,948.1973176412362
2006-03,829.7554377525287
2006-04,796.6784749304821
2006-05,774.744371932386
2006-06,742.7985589593745
2006-07,746.3281431770224
2006-08,764.5657944708237
2006-09,785.4632711986374
2006-10,783.6721341325393
2006-11,760.6233752648279
2006-12,761.5712426032864
2007-01,725.9181368620235
2007-02,729.1907766911087
2007-03,774.9794846262361
2007-04,745.7777618735245
2007-05,813.877811364743
2007-06,848.8257651364935
2007-07,892.6065909984715
2007-08,960.7804124846932
2007-09,989.0604401462928
2007-10,1061.0864980324222
2007-11,1000.0000000000013
2007-12,1016.8867545473125
2008-01,1033.953042332484
2008-02,1126.994703932275
2008-03,1154.9916005121925
2008-04,1137.790301960833
2008-05,1175.0423660662343
2008-06,1234.2421796912952
2008-07,1292.881089913382
2008-08,1270.701132472524
2008-09,1142.183382119117
2008-10,973.2223009268291
2008-11,850.7575524513031
2008-12,817.2630047528111
2009-01,716.1300909648297
2009-02,719.4300488647053
2009-03,700.3198392853037
2009-04,745.4747111208909
2009-05,777.0507946226079
2009-06,772.2514967058689
2009-07,732.8710879677226
2009-08,749.0772697200731
2009-09,735.4722180199619
2009-10,703.2896867474282
2009-11,716.3383381837488
2009-12,704.7383785447792
2010-01,700.0736725306998
2010-02,686.0192488800795
2010-03,708.3284553833629
2010-04,678.8209785765702
2010-05,555.4684510106549
2010-06,537.5458892604023
2010-07,555.027987912894
2010-08,537.6522908675529
2010-09,528.6313739738004
2010-10,531.2156713040289
2010-11,523.739348001497
2010-12,504.07207531420147
2011-01,468.26751143837896
2011-02,426.83687154088415
2011-03,460.2314928624286
2011-04,431.5332258909712
2011-05,388.6943731848609
2011-06,372.9986524757185
2011-07,366.89841868528583
2011-08,362.56478289587244
2011-09,346.2361054406337
2011-10,339.1266123607332
2011-11,337.26000283162494
2011-12,334.99515847537225
2012-01,323.29569697511994
2012-02,460.3972049758136
2012-03,437.55666547847005
2012-04,537.6525594541723
2012-05,479.403091077704
2012-06,452.60302328600943
