Date,PAKISTAN SMALL CAP
2010-11,1000.0
2010-12,1039.1708989469848
2011-01,1089.5765882396643
2011-02,982.6949130542421
2011-03,1050.1059359392243
2011-04,1078.2365455765237
2011-05,1055.9675531231812
2011-06,1013.779510932394
2011-07,998.4977905173462
2011-08,958.6715938579653
2011-09,1036.8569088236065
2011-10,1064.0956348465077
2011-11,994.7809023211684
2011-12,945.6853136818087
2012-01,995.5928670971513
2012-02,1082.633561669541
2012-03,1209.2898639963175
2012-04,1251.9419050838897
2012-05,1196.2606409408215
2012-06,1129.6127755824991
2012-07,1208.514541052077
2012-08,1245.954189792362
2012-09,1217.4996064636453
2012-10,1276.7508392264058
2012-11,1321.7398137796124
2012-12,1339.8681337657486
2013-01,1375.2415674367933
2013-02,1409.3258141162694
2013-03,1426.5284956880387
2013-04,1435.4748546062713
2013-05,1580.764044797901
2013-06,1617.6088199692751
2013-07,1737.7051483295525
2013-08,1560.152032276898
2013-09,1529.0162739885309
2013-10,1591.9157733758746
2013-11,1727.2708784789206
2013-12,1903.0163537067724
2014-01,1955.3095150196236
2014-02,1972.6078099836827
2014-03,2199.318553682996
2014-04,2307.9391269703738
2014-05,2371.615242506711
2014-06,2357.7496445322154
2014-07,2430.4501600541566
2014-08,2206.9962481725825
2014-09,2361.3286450143373
2014-10,2474.185385233004
2014-11,2631.2431019658407
2014-12,2790.2653153909846
2015-01,2949.2555253848623
2015-02,2871.586335971155
2015-03,2613.3096977056625
2015-04,2920.134619399084
2015-05,2839.6030670953714
2015-06,2994.2319336830797
2015-07,3110.580554660441
2015-08,3040.8550696302214
2015-09,2822.3700149156807
2015-10,2945.504325536685
2015-11,2839.3854119014723
2015-12,2933.1465321046853
2016-01,2890.553894015579
2016-02,2842.440662987351
2016-03,2983.5982876880075
2016-04,3092.105081392669
2016-05,3105.2966425604163
2016-06,3234.4403552031017
2016-07,3440.9895220407493
2016-08,3479.0292703028936
2016-09,3538.980880126921
2016-10,3419.042419390083
2016-11,3803.590223869661
2016-12,4188.10627264685
2017-01,4409.183641865661
2017-02,4349.600687835552
2017-03,4377.596293939385
2017-04,4605.437071
2017-05,4583.336105
2017-06,4087.814116
2017-07,4039.249416
2017-08,3652.873322
2017-09,3728.078992
2017-10,3535.985909
2017-11,3514.650114
2017-12,3300.448569
2018-01,3630.92869
2018-02,3509.754237
2018-03,3529.240831
2018-04,3569.2310926963337
2018-05,3401.2872357274873
2018-06,3162.393495743137
2018-07,3174.676812071929
2018-08,3159.890314935702
2018-09,3042.846527805686
2018-10,2959.303085448671
2018-11,2775.1555758769296
2018-12,2439.247065034317
2019-01,2723.2294594473246
2019-02,2613.7931971955777
2019-03,2521.980286280769
2019-04,2400.975929725673
2019-05,2288.800785578274
2019-06,1987.1858237238587
2019-07,1895.9540517901662
2019-08,1807.6967703629787
2019-09,1949.3912528743447
2019-10,2078.1187452848926
2019-11,2432.3730651068954
2019-12,2495.18274998543
2020-01,2554.885581880318
2020-02,2370.406416816233
2020-03,1703.3792741793927
2020-04,2085.9877850674625
2020-05,2002.3974333704743
2020-06,1963.2409610478867
2020-07,2241.883018801081
2020-08,2315.6515417460582
2020-09,2293.1956301205696
2020-10,2323.170076693273
2020-11,2423.558999087364
2020-12,2527.4448884730646
2021-01,2615.055193254601
2021-02,2715.7923017418034
2021-03,2706.89094560767
2021-04,2687.065617444345
2021-05,2870.7117480641887
2021-06,2757.7288819941605
2021-07,2643.7222929495665
2021-08,2606.124523136056
2021-09,2480.91080829329
2021-10,2545.414339248251
2021-11,2392.293837625785
2021-12,2390.7205509011633
2022-01,2445.794720117733
2022-02,2413.102235746957
2022-03,2383.528135819294
2022-04,2418.743199006995
2022-05,2205.9656889150783
2022-06,2076.6369271145213
2022-07,1712.7124608239299
2022-08,1952.8152350775833
2022-09,1824.1068933292518
2022-10,1937.822895105736
2022-11,2008.6694604259715
2022-12,1867.139563245641
2023-01,1625.572410679395
2023-02,1693.45076185516
2023-03,1583.7554490551274
2023-04,1636.1504763086066
2023-05,1615.1183884206127
2023-06,1619.6758398413783
2023-07,1899.6836530214493
