Date,UNITED ARAB EMIRATES DOMESTIC SMALL CAP
2002-05,116.92354754410565
2002-06,122.65724205877997
2002-07,123.44520201699184
2002-08,132.05406251145808
2002-09,131.0065900355892
2002-10,130.48465142986956
2002-11,135.17841855413127
2002-12,135.27970501921757
2003-01,138.55500727915177
2003-02,136.73060131853754
2003-03,128.07536280762676
2003-04,136.64149721196307
2003-05,137.24368624623
2003-06,131.61692667812355
2003-07,160.60875402279132
2003-08,174.52347104761387
2003-09,194.48885184052827
2003-10,200.7357283029613
2003-11,200.91618864181
2003-12,205.38918716851555
2004-01,224.75490285345882
2004-02,231.84759311907976
2004-03,216.4146935207139
2004-04,211.9166154318458
2004-05,224.2458812163237
2004-06,232.381300319921
2004-07,252.5933473354994
2004-08,251.54892960356426
2004-09,295.21267695295217
2004-10,280.9063749686365
2004-11,319.44198876659976
2004-12,388.14849526412735
2005-01,404.78532787363156
2005-02,505.71706353443784
2005-03,601.6354814386133
2005-04,858.7475750417545
2005-05,933.2500293346498
2005-06,1182.6134178534487
2005-07,996.7321484286588
2005-08,1261.2897531871606
2005-09,1351.4963707979637
2005-10,1412.0533025733282
2005-11,1348.2190913773607
2005-12,1278.5127707818374
2006-01,1176.1859615444973
2006-02,1170.9782766103672
2006-03,1048.5530539439974
2006-04,919.9786729087228
2006-05,801.439239153547
2006-06,788.9443013250253
2006-07,747.2268344012554
2006-08,796.6053254443935
2006-09,839.0098327515082
2006-10,819.1884705085552
2006-11,737.9238445748093
2006-12,707.7719551608627
2007-01,675.0182264280413
2007-02,692.2469546373494
2007-03,667.1556757073411
2007-04,724.1123092576929
2007-05,812.123371460132
2007-06,827.9019678977506
2007-07,847.3460646206943
2007-08,855.9602634992356
2007-09,874.3718621563645
2007-10,1048.5329089309266
2007-11,1000.0000000000009
2007-12,1088.460496926559
2008-01,1101.508145311118
2008-02,1189.6948898835421
2008-03,1075.5560343252564
2008-04,1207.0564503037701
2008-05,1282.34636403386
2008-06,1254.8603849849665
2008-07,1219.8531889063026
2008-08,1100.9642812486777
2008-09,981.8332439572091
2008-10,734.6653683586435
2008-11,563.9206997800801
2008-12,476.87272501477287
2009-01,457.30676413686655
2009-02,459.7805534750874
2009-03,484.49845528102134
2009-04,532.8549345256581
2009-05,604.6379423256603
2009-06,608.6532953478522
2009-07,647.5738065563932
2009-08,621.9782552042336
2009-09,677.924142642027
2009-10,639.1781326483665
2009-11,555.8967267726439
2009-12,546.325078588945
2010-01,508.45943927818905
2010-02,507.7909066890547
2010-03,550.9682911945349
2010-04,521.2144314662379
2010-05,465.25414165201727
2010-06,422.00078927718187
2010-07,445.42917402440463
2010-08,433.18803227679666
2010-09,497.3683223980491
2010-10,524.140320572913
2010-11,481.84103062530886
2010-12,484.7368520952278
2011-01,446.71059021994824
2011-02,382.0414579262011
2011-03,438.7061547976389
2011-04,468.3864807761616
2011-05,456.25838473952024
2011-06,433.04446233751366
2011-07,433.8076046607023
2011-08,421.16117929733605
2011-09,407.3792522940261
2011-10,397.9354667918662
2011-11,388.73399434456024
2011-12,374.6934980436653
2012-01,399.10777268351427
2012-02,543.04252153474
2012-03,518.6471519941831
2012-04,512.5703684901216
2012-05,467.4558708982529
2012-06,471.65570396580574
2012-07,492.5238434560611
2012-08,502.1773303658325
2012-09,523.506337370207
2012-10,551.810087306532
2012-11,534.370960310879
2012-12,548.3043723940684
2013-01,632.5174586398127
2013-02,649.3158405868742
2013-03,619.9554292307466
2013-04,716.913793291116
2013-05,866.739723590363
2013-06,850.9560484604425
2013-07,1045.5039998644868
2013-08,1019.8430355238942
2013-09,1165.9739893265923
2013-10,1258.651579788453
2013-11,1272.3879668009681
2013-12,1497.4880907424345
2014-01,1713.3631918227723
2014-02,1908.4851576110616
2014-03,1945.9760108796906
2014-04,2102.4833593155004
2014-05,1933.2097812331347
2014-06,1489.9988366264745
2014-07,1816.8983736925527
2014-08,1783.7361162985458
2014-09,1751.6145263007263
2014-10,1577.3910447953556
2014-11,1593.6019367021058
2014-12,1470.1016157471195
2015-01,1478.3362887486878
2015-02,1478.5066453191537
2015-03,1358.225548976132
2015-04,1615.861066907033
2015-05,1471.5735904257676
2015-06,1526.678716212107
2015-07,1570.7669390736278
2015-08,1376.072820086528
2015-09,1373.934740996445
2015-10,1303.9849676503522
2015-11,1186.8787180341724
2015-12,1211.330138983079
2016-01,1075.376302556933
2016-02,1254.3122289778419
2016-03,1317.548156224113
2016-04,1350.6398260011229
2016-05,1310.7787498439113
2016-06,1337.8319113950045
2016-07,1410.4475213913265
2016-08,1410.4484649015662
2016-09,1411.4214288151666
2016-10,1341.8137498181684
2016-11,1441.2740483091904
2016-12,1514.716695287322
2017-01,1601.4663974902758
2017-02,1551.4243291728196
2017-03,1490.225037882216
2017-04,1513.925752
2017-05,1444.403569
2017-06,1507.020256
2017-07,1590.589766
2017-08,1555.50889
2017-09,1561.483873
2017-10,1630.727039
2017-11,1560.377467
2017-12,1681.09475
2018-01,1730.343229
2018-02,1674.586797
2018-03,1654.474369
2018-04,1663.5455207650225
2018-05,1677.974065926148
2018-06,1519.9194359918347
2018-07,1540.831837164619
2018-08,1476.809762362812
2018-09,1448.167501690154
2018-10,1462.6314233428545
2018-11,1345.837798373863
2018-12,1276.115048297562
2019-01,1290.7210926853195
2019-02,1241.436622399095
2019-03,1251.5349348074383
2019-04,1306.8054265216767
2019-05,1193.5929962694547
2019-06,1193.5864482331565
2019-07,1319.6382476083172
2019-08,1275.2140752796538
2019-09,1272.3310856967428
2019-10,1309.1170588676791
2019-11,1284.0008664212555
2019-12,1298.6549928922545
2020-01,1239.8620078016156
2020-02,1153.3405036492154
2020-03,856.1999518825553
2020-04,1094.4288359244051
2020-05,1040.2201326778138
2020-06,1109.34351800191
2020-07,1138.8348064287622
2020-08,1193.7868773649452
2020-09,1229.728629480346
2020-10,1206.490222449344
2020-11,1259.710673485317
2020-12,1349.277520580127
2021-01,1417.8682550391197
2021-02,1309.5629931762585
2021-03,1379.6103012271308
2021-04,1405.8095448212546
2021-05,1484.1423218692855
2021-06,1479.9912386749238
2021-07,1478.0418523033015
2021-08,1612.1160546072665
2021-09,1525.4871956174754
2021-10,1570.7429084935375
2021-11,1728.6985300855633
2021-12,1793.9725044465717
2022-01,1796.5254558516915
2022-02,1816.9683223948578
2022-03,1890.3306748575167
2022-04,2073.5049171301503
2022-05,1926.862159814773
2022-06,1880.208700937566
2022-07,1917.1047211766086
2022-08,1930.4047592966672
2022-09,1875.1690254222958
2022-10,1870.252019311375
2022-11,1844.5949797153319
2022-12,1819.3519206089177
2023-01,1871.8786648900623
2023-02,1979.3380658791968
2023-03,1871.6534065789272
2023-04,1936.7872926606447
2023-05,1938.7460099180903
2023-06,2014.3014163865553
2023-07,2200.3008175603127
