Date,PORTUGAL SMALL CAP
2000-12,99.99999999999999
2001-01,108.01966515687543
2001-02,102.19013224878455
2001-03,91.04812425302795
2001-04,90.56172326547991
2001-05,85.3723341229663
2001-06,76.02118432742719
2001-07,79.08169259133723
2001-08,79.64229866079337
2001-09,77.37966992165259
2001-10,91.83939971854949
2001-11,93.91940980668045
2001-12,95.2963242624501
2002-01,93.03458643934704
2002-02,92.82224609259569
2002-03,102.03513959601356
2002-04,104.29927183839948
2002-05,103.97366260335227
2002-06,101.0115881678674
2002-07,91.04222555728374
2002-08,89.49542733656479
2002-09,77.15085385874652
2002-10,82.19035827822867
2002-11,90.60582033910684
2002-12,95.05333380800222
2003-01,97.92939714015307
2003-02,97.12266976776631
2003-03,100.0613193367287
2003-04,116.36304231168252
2003-05,127.00344361789311
2003-06,129.89820204393348
2003-07,121.85677995900531
2003-08,121.94661964900577
2003-09,126.20315873857709
2003-10,140.45156648686392
2003-11,158.50427584929244
2003-12,168.4215647937265
2004-01,190.71888128682397
2004-02,213.38818998137427
2004-03,199.73989984630214
2004-04,195.3712143827725
2004-05,190.34587399891726
2004-06,200.5675590685241
2004-07,194.76080169007238
2004-08,194.90699275608213
2004-09,205.39090901003263
2004-10,218.6945157888979
2004-11,235.6020974471788
2004-12,247.7865275117058
2005-01,258.8198148998453
2005-02,264.37832407324936
2005-03,263.75469595500437
2005-04,264.8618831727033
2005-05,242.7507448221648
2005-06,236.58830164036758
2005-07,241.7134860948676
2005-08,241.4677813475221
2005-09,244.46060977718534
2005-10,235.7257701192082
2005-11,238.87115513537427
2005-12,246.08845527632695
2006-01,252.84052832678435
2006-02,254.00851742964025
2006-03,278.72488793926755
2006-04,275.6763769533852
2006-05,247.94868660241545
2006-06,250.9391457791642
2006-07,242.4400680350988
2006-08,264.8043337953019
2006-09,249.97991910293325
2006-10,245.4873420337601
2006-11,256.02962434287946
2006-12,263.6138721527828
2007-01,279.5610282838169
2007-02,297.277597709693
2007-03,308.05735327994546
2007-04,330.88643276932333
2007-05,361.47242446571477
2007-06,363.68565293575733
2007-07,362.82994173614617
2007-08,328.0114413456853
2007-09,305.93441185322246
2007-10,327.48019239740273
2007-11,302.98030738695877
2007-12,281.71644252593035
2008-01,242.7427216237339
2008-02,254.4666604361017
2008-03,268.6911517548058
2008-04,283.0672006477776
2008-05,267.51548202716367
2008-06,233.75285767274454
2008-07,230.68762648104786
2008-08,229.63217559386746
2008-09,194.2895761091922
2008-10,157.05837028914982
2008-11,144.43228992629562
2008-12,163.57804991264408
2009-01,154.35120386184897
2009-02,147.12791467184326
2009-03,162.88932877140732
2009-04,191.3552805111321
2009-05,212.0191314233753
2009-06,204.46986815988134
2009-07,210.89772252989863
2009-08,235.30677482941744
2009-09,264.2654662382744
2009-10,255.85692653753586
2009-11,256.3762413602299
2009-12,249.35870765789142
2010-01,233.13954789440103
2010-02,212.8234665410445
2010-03,227.05732316835582
2010-04,205.3825115792743
2010-05,178.0908034865249
2010-06,181.02234573218206
2010-07,199.40790556760018
2010-08,194.04897487776742
2010-09,201.11649070517583
2010-10,223.82303646791868
2010-11,179.27795736903678
2010-12,196.0588972899102
2011-01,207.78552351476802
2011-02,211.96978070089048
2011-03,209.41408809265263
2011-04,219.5988010671846
2011-05,204.74606204487537
2011-06,195.7501275886062
2011-07,172.01912708271317
2011-08,151.94480744981857
2011-09,128.58522059862975
2011-10,130.83745307928794
2011-11,119.88746194539993
2011-12,120.07449409264859
2012-01,117.56906839092518
2012-02,130.70167490907724
2012-03,127.77247206179673
2012-04,118.65147748287798
2012-05,103.74254576892434
2012-06,113.60452724535098
2012-07,110.08373698944338
2012-08,119.71900637852663
2012-09,129.86626511226794
2012-10,140.90422663529128
2012-11,142.01786898646398
2012-12,158.96504376633067
2013-01,193.97987104754824
2013-02,190.41430509208678
2013-03,176.11603978738415
2013-04,192.80941226265162
2013-05,191.289906744733
2013-06,182.39207661667902
2013-07,196.00189270392292
2013-08,195.44110039287773
2013-09,208.78056462559474
2013-10,238.10993761804397
2013-11,260.73892778338524
2013-12,283.19459655740894
2014-01,293.5246298860724
2014-02,336.87435594225593
2014-03,362.7854635610318
2014-04,354.4192674457025
2014-05,329.14033685874165
2014-06,324.27608046586244
2014-07,316.076181481336
2014-08,309.89941373680756
2014-09,302.7012457369534
2014-10,275.4435787862109
2014-11,278.97404860699703
2014-12,248.64836795310575
2015-01,246.2321069591968
2015-02,273.08336156337947
2015-03,275.13269383155017
2015-04,281.1067417797643
2015-05,271.4861502241555
2015-06,263.1916911260693
2015-07,271.3318318216913
2015-08,256.5358769691464
2015-09,255.2678722210945
2015-10,271.20796067447526
2015-11,249.61553932422635
2015-12,253.53085603035842
2016-01,229.0222288754088
2016-02,217.90201434680696
2016-03,242.78310174429959
2016-04,236.82290622989078
2016-05,239.14729942661285
2016-06,192.99889638730986
2016-07,209.725390384228
2016-08,204.8214528766091
2016-09,195.0061924742652
2016-10,194.8138348252403
2016-11,184.7135249503624
2016-12,193.42707440221326
2017-01,182.6886139725629
2017-02,185.10237435233736
